Year,Type of residence,Household type,Value
2015,,,1.4
2015,,households with children,0.9
2015,,households without children,1.8
2015,urban,,1.3
2015,rural,,1.6
2016,,,5.1
2016,,households with children,4.4
2016,,households without children,5.7
2016,urban,,4.3
2016,rural,,6.9
2017,,,5.3
2017,,households with children,4.5
2017,,households without children,6.1
2017,urban,,4.9
2017,rural,,6.3
2018,,,3.3
2018,,households with children,2.5
2018,,households without children,4.0
2018,urban,,3.0
2018,rural,,4.0
2019,,,0.9
2019,,households with children,0.7
2019,,households without children,1.1
2019,urban,,0.9
2019,rural,,1.0
2020,,,0.1
2020,,households with children,0.1
2020,,households without children,0.2
2020,urban,,0.2
2020,rural,,0.1
2021,,,0.1
2021,,households with children,0.1
2021,,households without children,0.2
2021,urban,,0.1
2021,rural,,0.1
2022,,,
2022,,households with children,
2022,,households without children,
2022,urban,,
2022,rural,,
2023,,,
2023,,households with children,
2023,,households without children,
2023,urban,,
2023,rural,,
2024,,,
2024,,households with children,
2024,,households without children,
2024,urban,,
2024,rural,,
