Year,Category,Sector,Value
2015,,,
2016,,,
2017,,,
2018,,,43.0
2018,,electric energy,41.0
2018,,natural gas,52.0
2018,,oil and liquid fuels,31.0
2018,,thermal energy,47.0
2018,authorities,,36.0
2018,balances,,50.0
2018,consumption,,47.0
2018,natural monopolies,,43.0
2018,policy,,20.0
2018,reliability and safety,,47.0
2018,reporting,,53.0
2018,supply,,38.0
2019,,,48.0
2019,,electric energy,49.0
2019,,natural gas,54.0
2019,,oil and liquid fuels,27.0
2019,,thermal coal,48.0
2019,,thermal energy,48.0
2019,authorities,,50.0
2019,balances,,58.0
2019,consumption,,53.0
2019,natural monopolies,,46.0
2019,policy,,56.0
2019,reliability and safety,,50.0
2019,reporting,,27.0
2019,supply,,49.0
2020,,,58.0
2020,,electric energy,66.0
2020,,natural gas,64.0
2020,,oil and liquid fuels,22.0
2020,,thermal coal,48.0
2020,,thermal energy,74.0
2020,authorities,,56.0
2020,balances,,58.0
2020,consumption,,68.0
2020,natural monopolies,,59.0
2020,policy,,59.0
2020,reliability and safety,,53.0
2020,reporting,,35.0
2020,supply,,58.0
2021,,,63.0
2021,,electric energy,73.0
2021,,natural gas,72.0
2021,,oil and liquid fuels,23.0
2021,,thermal coal,60.0
2021,,thermal energy,69.0
2021,authorities,,57.0
2021,balances,,58.0
2021,consumption,,70.0
2021,natural monopolies,,70.0
2021,policy,,54.0
2021,reliability and safety,,54.0
2021,reporting,,53.0
2021,supply,,63.0
2022,,,39.0
2022,,electric energy,41.0
2022,,natural gas,47.0
2022,,oil and liquid fuels,14.0
2022,,thermal coal,26.0
2022,,thermal energy,43.0
2022,authorities,,32.0
2022,balances,,21.0
2022,consumption,,49.0
2022,natural monopolies,,44.0
2022,policy,,44.0
2022,reliability and safety,,25.0
2022,reporting,,33.0
2022,supply,,37.0
2023,,,41.0
2023,,electric energy,37.0
2023,,natural gas,48.0
2023,,oil and liquid fuels,14.0
2023,,thermal coal,25.0
2023,,thermal energy,42.0
2023,authorities,,50.0
2023,balances,,17.0
2023,consumption,,49.0
2023,natural monopolies,,39.0
2023,policy,,43.0
2023,reliability and safety,,25.0
2023,reporting,,30.0
2023,supply,,43.0
2024,,,44.0
2024,,electric energy,40.0
2024,,natural gas,54.0
2024,,oil and liquid fuels,19.0
2024,,thermal coal,25.0
2024,,thermal energy,43.0
2024,authorities,,55.0
2024,balances,,16.0
2024,consumption,,55.0
2024,natural monopolies,,42.0
2024,policy,,51.0
2024,reliability and safety,,37.0
2024,reporting,,18.0
2024,supply,,46.0
