Indicator,Disaggregations,Number of disaggregations
#1-1-1,"Sex, Type of residence, Age, Households",4
#1-1-1-a,"Sex, Age, Households",3
#1-1-2,"Sex, Type of residence, Age, Households",4
#1-1-3,"Sex, Type of residence, Households",3
#1-2-1,"Sex, Type of residence, Age, Households",4
#1-2-1-a,"Sex, Age, Households",3
#1-3-1-a,"Type of residence, Sex of the head of household",2
#1-3-2-a,"Type of residence, Decile groups",2
#1-3-3,"Type of residence, Households, Decile groups",3
#1-3-4,"Sex, Type of residence, Age, Households, Reason of disability",5
#10-1-1,"Region, Category",2
#10-1-1-a,Type of residence,1
#10-1-2,"Sex, Region",2
#10-2-2,"Sex, By form of discrimination, By spheres of public relations, by type of residence",4
#10-3-1,by type of residence,1
#10-4-1,Wage replacement rate by pensions,1
#10-4-1-a,Region,1
#10-4-2,Sex,1
#11-1-1,"Group, Sex, Type of residence",3
#11-4-1,"Region, Category",2
#11-4-2,By type of shelters,1
#11-4-4,By type of shelters,1
#11-4-5,Region,1
#11-4-7,"Region, Category",2
#11-5-2-a,Pollutants,1
#12-1-1,"Region, By safety",2
#12-1-1-a,Res_inten,1
#12-1-2,Region,1
#12-3-1,Group,1
#12-5-1,By level of education,1
#13-1-1-a,GHG_ratio,1
#13-2-1,Region,1
#14-1-1,group_1,1
#14-1-3,"Region, group_2",2
#14-2-2,group_label_92,1
#14-2-3,group_3,1
#14-3-1,"group_label_90, group_label_91, group_4, group_5, group_6, group_7, group_8, group_9",8
#15-1-1,Region,1
#15-3-1,"Region, group_10",2
#15-3-1-a,Zone,1
#15-4-1,group_11,1
#15-4-2,group_11,1
#15-5-1,Region,1
#15-5-2,Region,1
#16-1-1-a,"Article, Unit",2
#16-1-2-a,"Article, Group, Unit",3
#16-1-3-a,"Group, Unit",2
#16-10-5,"Region, Age, Gender, group_14, group_15",5
#16-11-1,"Region, Age, Gender, group_16, group_17",5
#16-12-1,"Region, group_18",2
#16-13-1,"Region, Age, Gender, group_16, 23_educ, group_20, group_21, group_22",8
#16-13-2,"Region, Age, Gender, group_16, 23_educ, group_20, group_21, group_22",8
#16-2-1,Region,1
#16-2-1-a,"Group, Unit",2
#16-2-2,Region,1
#16-2-3,Region,1
#16-2-4,Region,1
#16-3-1,Region,1
#16-3-1-a,Group,1
#16-3-2,"Region, group_label_229",2
#16-3-2-a,"Sex, Age",2
#16-3-3,Region,1
#16-4-2,Region,1
#16-5-1-a,Type_weapon,1
#16-5-2-a,"Region, Ammunition",2
#16-5-3-a,"Article, Unit",2
#16-6-1,"Region, Age, group_label_230, Gender, group_16, group_24, group_25",7
#16-6-2,"Region, Age, Gender, group_16, group_21",5
#16-7-1,group_26,1
#16-8-1-a,"Sex, Age",2
#16-8-2-a,"Sex, Type of residence, Age",3
#16-8-3-a,Region,1
#16-8-4-a,"Unit, Organization",2
#16-9-1-a,"Region, Age, Gender, Component",4
