Year,Categories of the wage replacement rate by pensions,Value
2015,relative to 0.5 average wage,81.0
2016,relative to 0.5 average wage,70.6
2017,relative to 0.5 average wage,69.8
2018,relative to 0.5 average wage,59.7
2019,relative to 0.5 average wage,58.7
2020,relative to 0.5 average wage,60.5
2021,relative to 0.5 average wage,57.0
2022,relative to 0.5 average wage,62.3
2023,relative to 0.5 average wage,61.8
2024,relative to 0.5 average wage,53.9
2015,relative to full average wage,40.5
2016,relative to full average wage,35.3
2017,relative to full average wage,34.9
2018,relative to full average wage,29.8
2019,relative to full average wage,29.4
2020,relative to full average wage,30.3
2021,relative to full average wage,28.5
2022,relative to full average wage,31.1
2023,relative to full average wage,30.9
2024,relative to full average wage,27.0
2015,relative to 1.5 average wage,27.0
2016,relative to 1.5 average wage,23.5
2017,relative to 1.5 average wage,23.3
2018,relative to 1.5 average wage,19.9
2019,relative to 1.5 average wage,19.6
2020,relative to 1.5 average wage,20.2
2021,relative to 1.5 average wage,19.0
2022,relative to 1.5 average wage,20.8
2023,relative to 1.5 average wage,20.6
2024,relative to 1.5 average wage,18.0
