Year,Group,Type of residence,Age,Sex,By age of the housing provided to the participants,Value
2015,,,,,,0.8
2016,,,,,,0.6
2017,,,,,,2.8
2018,,,,,,1.9
2019,,,,,,3.8
2020,,,,,,0.4
2021,,,,,,0.7
2022,,,,,,0.7
2023,,,,,,0.4
2024,,,,,,0.7
2015,of which internally displaced persons,,,,,
2016,of which internally displaced persons,,,,,
2017,of which internally displaced persons,,,,,29.2
2018,of which internally displaced persons,,,,,56.3
2019,of which internally displaced persons,,,,,63.6
2020,of which internally displaced persons,,,,,33.3
2021,of which internally displaced persons,,,,,79.2
2022,of which internally displaced persons,,,,,84.8
2023,of which internally displaced persons,,,,,40.7
2024,of which internally displaced persons,,,,,68.8
2015,,urban,,,,
2016,,urban,,,,
2017,,urban,,,,
2018,,urban,,,,
2019,,urban,,,,
2020,,urban,,,,
2021,,urban,,,,
2022,,urban,,,,
2023,,urban,,,,
2024,,urban,,,,
2015,,rural,,,,
2016,,rural,,,,
2017,,rural,,,,
2018,,rural,,,,
2019,,rural,,,,
2020,,rural,,,,
2021,,rural,,,,
2022,,rural,,,,
2023,,rural,,,,
2024,,rural,,,,
2015,,,,women,,
2016,,,,women,,
2017,,,,women,,
2018,,,,women,,
2019,,,,women,,
2020,,,,women,,
2021,,,,women,,
2022,,,,women,,
2023,,,,women,,
2024,,,,women,,
2015,,,,men,,
2016,,,,men,,
2017,,,,men,,
2018,,,,men,,
2019,,,,men,,
2020,,,,men,,
2021,,,,men,,
2022,,,,men,,
2023,,,,men,,
2024,,,,men,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
