Year,Group,Value
2015,energy intensity of the gross domestic product,100.0
2016,energy intensity of the gross domestic product,102.3
2017,energy intensity of the gross domestic product,94.7
2018,energy intensity of the gross domestic product,95.2
2019,energy intensity of the gross domestic product,88.5
2020,energy intensity of the gross domestic product,88.9
2021,energy intensity of the gross domestic product,
2022,energy intensity of the gross domestic product,
2023,energy intensity of the gross domestic product,
2024,energy intensity of the gross domestic product,
2015,material intensity of the gross domestic product,100.0
2016,material intensity of the gross domestic product,100.0
2017,material intensity of the gross domestic product,98.2
2018,material intensity of the gross domestic product,97.2
2019,material intensity of the gross domestic product,100.4
2020,material intensity of the gross domestic product,99.9
2021,material intensity of the gross domestic product,108.2
2022,material intensity of the gross domestic product,57.6
2023,material intensity of the gross domestic product,40.4
2024,material intensity of the gross domestic product,
2015,carbon intensity of the gross domestic product,100.0
2016,carbon intensity of the gross domestic product,105.8
2017,carbon intensity of the gross domestic product,85.1
2018,carbon intensity of the gross domestic product,83.8
2019,carbon intensity of the gross domestic product,77.9
2020,carbon intensity of the gross domestic product,72.8
2021,carbon intensity of the gross domestic product,72.2
2022,carbon intensity of the gross domestic product,57.4
2023,carbon intensity of the gross domestic product,58.1
2024,carbon intensity of the gross domestic product,
2015,water intensity of the gross domestic product,100.0
2016,water intensity of the gross domestic product,98.2
2017,water intensity of the gross domestic product,91.7
2018,water intensity of the gross domestic product,95.1
2019,water intensity of the gross domestic product,91.6
2020,water intensity of the gross domestic product,94.2
2021,water intensity of the gross domestic product,77.3
2022,water intensity of the gross domestic product,60.1
2023,water intensity of the gross domestic product,
2024,water intensity of the gross domestic product,
2015,waste intensity of the gross domestic product,100.0
2016,waste intensity of the gross domestic product,92.5
2017,waste intensity of the gross domestic product,111.6
2018,waste intensity of the gross domestic product,103.9
2019,waste intensity of the gross domestic product,126.1
2020,waste intensity of the gross domestic product,137.3
2021,waste intensity of the gross domestic product,141.6
2022,waste intensity of the gross domestic product,82.1
2023,waste intensity of the gross domestic product,67.4
2024,waste intensity of the gross domestic product,
