Year,Including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,Age,Sex,Type of residence,Number of registered client requests for free legal assistance,Type of legal aid,Category of questions for which the person is applying,Number of registered client requests for free legal assistance by regions,Value
2015,,,,,,,,,38303.0
2015,Including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,,,
2015,,up to 18 years,,,,,,,169.0
2015,,18–35 years,,,,,,,5827.0
2015,,36–60 years,,,,,,,18009.0
2015,,61 years and older,,,,,,,14298.0
2015,,,men,,,,,,15673.0
2015,,,women,,,,,,22630.0
2015,,,,urban,,,,,
2015,,,,rural,,,,,
2015,,,,,Number of registered client requests for free legal assistance,,,,41309.0
2015,,,,,,primary legal aid,,,28444.0
2015,,,,,,secondary legal aid,,,8911.0
2015,,,,,,,social security,,6534.0
2015,,,,,,,inheritance law,,3996.0
2015,,,,,,,family law,,4129.0
2015,,,,,,,medical law,,369.0
2015,,,,,,,labor law,,2151.0
2015,,,,,,,administrative law and administrative process,,1181.0
2015,,,,,,,land law,,3376.0
2015,,,,,,,contract law,,3130.0
2015,,,,,,,housing law,,5168.0
2015,,,,,,,civil law and civil process,,5997.0
2015,,,,,,,enforcement of court decisions,,1016.0
2015,,,,,,,non-legal issue,,360.0
2015,,,,,,,other,,4249.0
2015,,,,,,,criminal law and criminal process,,
2015,,,,,,,pension law,,
2015,,,,,,,tax law,,
2015,,,,,,,election law,,
2015,,,,,,,economic law,,
2015,,,,,,,issues related to armed aggression,,
2015,,,,,,,,Autonomous Republic of Crimea,
2015,,,,,,,,Vinnytsya,1866.0
2015,,,,,,,,Volyn,1232.0
2015,,,,,,,,Dnipropetrovsk,4069.0
2015,,,,,,,,Donetsk,711.0
2015,,,,,,,,Zhytomyr,1316.0
2015,,,,,,,,Zakarpattya,829.0
2015,,,,,,,,Zaporizhzhya,2094.0
2015,,,,,,,,Ivano-Frankivsk,1062.0
2015,,,,,,,,Kyiv,1223.0
2015,,,,,,,,Kirovohrad,2054.0
2015,,,,,,,,Luhansk,250.0
2015,,,,,,,,Lviv,1969.0
2015,,,,,,,,Mykolayiv,929.0
2015,,,,,,,,Odesa,2175.0
2015,,,,,,,,Poltava,1960.0
2015,,,,,,,,Rivne,2067.0
2015,,,,,,,,Sumy,2881.0
2015,,,,,,,,Ternopil,948.0
2015,,,,,,,,Kharkiv,2680.0
2015,,,,,,,,Kherson,1072.0
2015,,,,,,,,Khmelnytskiy,1599.0
2015,,,,,,,,Cherkasy,1444.0
2015,,,,,,,,Chernivtsi,1147.0
2015,,,,,,,,Chernihiv,1184.0
2015,,,,,,,,city Kyiv,2548.0
2015,,,,,,,,city Sevastopol,
2016,,,,,,,,,219981.0
2016,Including who have applied to a single contact number of the free legal aid system 0-800-213-103 2,,,,,,,,
2016,,up to 18 years,,,,,,,1413.0
2016,,18–35 years,,,,,,,48456.0
2016,,36–60 years,,,,,,,110488.0
2016,,61 years and older,,,,,,,59624.0
2016,,,men,,,,,,93488.0
2016,,,women,,,,,,126493.0
2016,,,,urban,,,,,
2016,,,,rural,,,,,
2016,,,,,Number of registered client requests for free legal assistance,,,,275039.0
2016,,,,,,primary legal aid,,,239164.0
2016,,,,,,secondary legal aid,,,34126.0
2016,,,,,,,social security,,50898.0
2016,,,,,,,inheritance law,,29722.0
2016,,,,,,,family law,,29671.0
2016,,,,,,,medical law,,2265.0
2016,,,,,,,labor law,,14023.0
2016,,,,,,,administrative law and administrative process,,10217.0
2016,,,,,,,land law,,23269.0
2016,,,,,,,contract law,,18617.0
2016,,,,,,,housing law,,21979.0
2016,,,,,,,civil law and civil process,,43639.0
2016,,,,,,,enforcement of court decisions,,7323.0
2016,,,,,,,non-legal issue,,3163.0
2016,,,,,,,other,,20545.0
2016,,,,,,,criminal law and criminal process,,
2016,,,,,,,pension law,,
2016,,,,,,,tax law,,
2016,,,,,,,election law,,
2016,,,,,,,economic law,,
2016,,,,,,,issues related to armed aggression,,
2016,,,,,,,,Autonomous Republic of Crimea,
2016,,,,,,,,Vinnytsya,20836.0
2016,,,,,,,,Volyn,8859.0
2016,,,,,,,,Dnipropetrovsk,28506.0
2016,,,,,,,,Donetsk,5703.0
2016,,,,,,,,Zhytomyr,10343.0
2016,,,,,,,,Zakarpattya,4847.0
2016,,,,,,,,Zaporizhzhya,14941.0
2016,,,,,,,,Ivano-Frankivsk,9858.0
2016,,,,,,,,Kyiv,8040.0
2016,,,,,,,,Kirovohrad,12539.0
2016,,,,,,,,Luhansk,3497.0
2016,,,,,,,,Lviv,15887.0
2016,,,,,,,,Mykolayiv,9661.0
2016,,,,,,,,Odesa,18664.0
2016,,,,,,,,Poltava,11465.0
2016,,,,,,,,Rivne,10194.0
2016,,,,,,,,Sumy,12580.0
2016,,,,,,,,Ternopil,9833.0
2016,,,,,,,,Kharkiv,9275.0
2016,,,,,,,,Kherson,7240.0
2016,,,,,,,,Khmelnytskiy,11274.0
2016,,,,,,,,Cherkasy,8859.0
2016,,,,,,,,Chernivtsi,5565.0
