Year,by type of educational institution,Region,Value
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2015,General secondary educational institutions with Internet access (without specifying the speed),Ukraine,86.74
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Autonomous Republic of Crimea,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2015,General secondary educational institutions with Internet access (without specifying the speed),Vinnytsya,83.91
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2015,General secondary educational institutions with Internet access (without specifying the speed),Volyn,74.86
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2015,General secondary educational institutions with Internet access (without specifying the speed),Dnipropetrovsk,97.71
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2015,General secondary educational institutions with Internet access (without specifying the speed),Donetsk,90.98
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2015,General secondary educational institutions with Internet access (without specifying the speed),Zhytomyr,63.21
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2015,General secondary educational institutions with Internet access (without specifying the speed),Zakarpattya,76.75
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2015,General secondary educational institutions with Internet access (without specifying the speed),Zaporizhzhya,100.0
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
