Year,Sex,Type of residence,Value
2015,,,70.16
2016,,,69.88
2017,,,68.83
2018,,,61.67
2019,,,59.25
2020,,,56.4
2021,,,51.7
2022,,,36.06
2023,,,36.19
2024,,,38.98
2015,girls,,
2016,girls,,
2017,girls,,61.27
2018,girls,,61.35
2019,girls,,60.0
2020,girls,,59.85
2021,girls,,61.26
2022,girls,,62.3
2023,girls,,62.39
2024,girls,,63.02
2015,boys,,
2016,boys,,
2017,boys,,38.73
2018,boys,,38.65
2019,boys,,40.0
2020,boys,,40.15
2021,boys,,38.74
2022,boys,,37.7
2023,boys,,37.61
2024,boys,,36.98
2015,,urban,91.04
2016,,urban,90.88
2017,,urban,94.79
2018,,urban,94.41
2019,,urban,93.45
2020,,urban,94.7
2021,,urban,96.32
2022,,urban,96.37
2023,,urban,96.04
2024,,urban,90.03
2015,,rural,8.96
2016,,rural,9.12
2017,,rural,5.21
2018,,rural,5.59
2019,,rural,6.55
2020,,rural,5.3
2021,,rural,3.68
2022,,rural,3.63
2023,,rural,3.96
2024,,rural,9.97
