Year,Type of residence,Region,Value
2015,,,14.4
2015,urban,,18.5
2015,rural,,6.7
2015,,Autonomous Republic of Crimea,
2015,,Vinnytsya,18.1
2015,,Volyn,12.2
2015,,Dnipropetrovsk,19.0
2015,,Donetsk,
2015,,Zhytomyr,15.6
2015,,Zakarpattya,12.7
2015,,Zaporizhzhya,16.6
2015,,Ivano-Frankivsk,6.8
2015,,Kyiv,15.0
2015,,Kirovohrad,16.8
2015,,Luhansk,
2015,,Lviv,9.7
2015,,Mykolayiv,19.4
2015,,Odesa,13.0
2015,,Poltava,18.6
2015,,Rivne,9.0
2015,,Sumy,20.7
2015,,Ternopil,11.1
2015,,Kharkiv,13.8
2015,,Kherson,18.4
2015,,Khmelnytskiy,12.6
2015,,Cherkasy,21.0
2015,,Chernivtsi,13.8
2015,,Chernihiv,17.2
2015,,city Kyiv,17.7
2015,,city Sevastopol,
2016,,,15.3
2016,urban,,19.7
2016,rural,,7.2
2016,,Autonomous Republic of Crimea,
2016,,Vinnytsya,18.7
2016,,Volyn,12.3
2016,,Dnipropetrovsk,19.6
2016,,Donetsk,
2016,,Zhytomyr,16.5
2016,,Zakarpattya,13.1
2016,,Zaporizhzhya,17.0
2016,,Ivano-Frankivsk,7.5
2016,,Kyiv,15.2
2016,,Kirovohrad,17.7
2016,,Luhansk,
2016,,Lviv,10.3
2016,,Mykolayiv,21.4
2016,,Odesa,13.7
2016,,Poltava,19.1
2016,,Rivne,9.4
2016,,Sumy,21.9
2016,,Ternopil,12.2
2016,,Kharkiv,15.1
2016,,Kherson,17.9
2016,,Khmelnytskiy,11.2
2016,,Cherkasy,23.0
2016,,Chernivtsi,15.1
2016,,Chernihiv,18.0
2016,,city Kyiv,17.1
2016,,city Sevastopol,
2017,,,16.0
2017,urban,,20.6
2017,rural,,7.6
2017,,Autonomous Republic of Crimea,
2017,,Vinnytsya,20.7
2017,,Volyn,13.1
2017,,Dnipropetrovsk,20.5
2017,,Donetsk,
2017,,Zhytomyr,16.7
2017,,Zakarpattya,14.2
2017,,Zaporizhzhya,17.8
2017,,Ivano-Frankivsk,7.5
2017,,Kyiv,15.7
2017,,Kirovohrad,17.9
2017,,Luhansk,
2017,,Lviv,10.8
2017,,Mykolayiv,22.1
2017,,Odesa,13.7
2017,,Poltava,20.3
2017,,Rivne,9.4
2017,,Sumy,23.4
2017,,Ternopil,12.3
2017,,Kharkiv,15.9
2017,,Kherson,18.2
2017,,Khmelnytskiy,12.6
2017,,Cherkasy,23.7
2017,,Chernivtsi,15.8
2017,,Chernihiv,18.4
2017,,city Kyiv,16.9
2017,,city Sevastopol,
2018,,,16.9
2018,urban,,21.7
2018,rural,,8.0
2018,,Autonomous Republic of Crimea,
2018,,Vinnytsya,22.7
2018,,Volyn,13.6
2018,,Dnipropetrovsk,21.0
2018,,Donetsk,
2018,,Zhytomyr,18.4
2018,,Zakarpattya,14.8
2018,,Zaporizhzhya,19.1
2018,,Ivano-Frankivsk,7.9
2018,,Kyiv,16.3
2018,,Kirovohrad,19.8
2018,,Luhansk,
2018,,Lviv,11.9
2018,,Mykolayiv,21.9
2018,,Odesa,14.2
2018,,Poltava,20.1
2018,,Rivne,10.3
2018,,Sumy,25.7
2018,,Ternopil,11.5
2018,,Kharkiv,17.5
2018,,Kherson,19.3
2018,,Khmelnytskiy,14.7
2018,,Cherkasy,24.0
2018,,Chernivtsi,16.8
2018,,Chernihiv,20.0
2018,,city Kyiv,18.6
2018,,city Sevastopol,
2019,,,17.9
2019,urban,,23.0
2019,rural,,8.4
2019,,Autonomous Republic of Crimea,
2019,,Vinnytsya,22.9
2019,,Volyn,14.2
2019,,Dnipropetrovsk,21.3
