Year,Methods of supplying drinking water,Type of residence,Value
2015,,,100.0
2016,,,100.0
2017,,,100.0
2018,,,100.0
2019,,,100.0
2020,,,100.0
2021,,,100.0
2022,,,100.0
2023,,,100.0
2015,centralized water supply,urban,99.0
2016,centralized water supply,urban,87.3
2017,centralized water supply,urban,87.7
2018,centralized water supply,urban,86.6
2019,centralized water supply,urban,81.1
2020,centralized water supply,urban,87.3
2021,centralized water supply,urban,88.9
2022,centralized water supply,urban,88.1
2023,centralized water supply,urban,88.8
2015,centralized water supply,rural,25.0
2016,centralized water supply,rural,21.2
2017,centralized water supply,rural,22.1
2018,centralized water supply,rural,21.1
2019,centralized water supply,rural,25.8
2020,centralized water supply,rural,26.5
2021,centralized water supply,rural,22.7
2022,centralized water supply,rural,25.1
2023,centralized water supply,rural,25.7
2015,non-centralized water supply,urban,1.0
2016,non-centralized water supply,urban,12.7
2017,non-centralized water supply,urban,12.3
2018,non-centralized water supply,urban,13.4
2019,non-centralized water supply,urban,18.9
2020,non-centralized water supply,urban,12.7
2021,non-centralized water supply,urban,11.1
2022,non-centralized water supply,urban,11.9
2023,non-centralized water supply,urban,11.2
2015,non-centralized water supply,rural,75.0
2016,non-centralized water supply,rural,78.8
2017,non-centralized water supply,rural,77.9
2018,non-centralized water supply,rural,78.9
2019,non-centralized water supply,rural,74.2
2020,non-centralized water supply,rural,73.5
2021,non-centralized water supply,rural,77.3
2022,non-centralized water supply,rural,74.9
2023,non-centralized water supply,rural,74.3
2015,,urban,69.1
2016,,urban,69.2
2017,,urban,69.2
2018,,urban,69.3
2019,,urban,69.4
2020,,urban,69.5
2021,,urban,69.6
2022,,urban,69.7
2023,,urban,
2015,,rural,30.9
2016,,rural,30.8
2017,,rural,30.8
2018,,rural,30.7
2019,,rural,30.6
2020,,rural,30.5
2021,,rural,30.4
2022,,rural,30.3
2023,,rural,
