Year,Type of residence,Age,Sex,Region,Value
2015,,,,,24.2
2015,,,women,,25.6
2015,,,men,,23.0
2015,,up to 18 years,,,23.3
2015,,18–29 years,,,21.5
2015,,30–59 years,,,23.8
2015,,60 years and older,,,27.6
2015,urban,,,,20.1
2015,rural,,,,32.3
2015,,,,Autonomous Republic of Crimea,
2015,,,,Vinnytsya,18.9
2015,,,,Volyn,19.9
2015,,,,Dnipropetrovsk,30.1
2015,,,,Donetsk,33.4
2015,,,,Zhytomyr,6.3
2015,,,,Zakarpattya,88.2
2015,,,,Zaporizhzhya,13.4
2015,,,,Ivano-Frankivsk,49.1
2015,,,,Kyiv,8.9
2015,,,,Kirovohrad,29.0
2015,,,,Luhansk,44.2
2015,,,,Lviv,11.6
2015,,,,Mykolayiv,28.9
2015,,,,Odesa,17.7
2015,,,,Poltava,14.2
2015,,,,Rivne,10.8
2015,,,,Sumy,13.5
2015,,,,Ternopil,30.4
2015,,,,Kharkiv,22.1
2015,,,,Kherson,66.5
2015,,,,Khmelnytskiy,25.8
2015,,,,Cherkasy,34.2
2015,,,,Chernivtsi,7.3
2015,,,,Chernihiv,21.8
2015,,,,city Kyiv,5.9
2015,,,,city Sevastopol,
2016,,,,,
2016,,,women,,
2016,,,men,,
2016,,up to 18 years,,,
2016,,18–29 years,,,
2016,,30–59 years,,,
2016,,60 years and older,,,
2016,urban,,,,
2016,rural,,,,
2016,,,,Autonomous Republic of Crimea,
2016,,,,Vinnytsya,
2016,,,,Volyn,
2016,,,,Dnipropetrovsk,
2016,,,,Donetsk,
2016,,,,Zhytomyr,
2016,,,,Zakarpattya,
2016,,,,Zaporizhzhya,
2016,,,,Ivano-Frankivsk,
2016,,,,Kyiv,
2016,,,,Kirovohrad,
2016,,,,Luhansk,
2016,,,,Lviv,
2016,,,,Mykolayiv,
2016,,,,Odesa,
2016,,,,Poltava,
2016,,,,Rivne,
2016,,,,Sumy,
2016,,,,Ternopil,
2016,,,,Kharkiv,
2016,,,,Kherson,
2016,,,,Khmelnytskiy,
2016,,,,Cherkasy,
2016,,,,Chernivtsi,
2016,,,,Chernihiv,
2016,,,,city Kyiv,
2016,,,,city Sevastopol,
2017,,,,,25.6
2017,,,women,,26.3
2017,,,men,,24.8
