Year,Types of economic activity,Value
2015,,1.4
2016,,
2017,,0.7
2018,,0.8
2019,,1.3
2020,,1.9
2021,,0.9
2022,,1.0
2023,,0.5
2024,,3.0
2015,Mining and quarrying (Code NACE Rev.2 – B),0.0
2016,Mining and quarrying (Code NACE Rev.2 – B),
2017,Mining and quarrying (Code NACE Rev.2 – B),0.1
2018,Mining and quarrying (Code NACE Rev.2 – B),0.1
2019,Mining and quarrying (Code NACE Rev.2 – B),0.2
2020,Mining and quarrying (Code NACE Rev.2 – B),1.8
2021,Mining and quarrying (Code NACE Rev.2 – B),c
2022,Mining and quarrying (Code NACE Rev.2 – B),c
2023,Mining and quarrying (Code NACE Rev.2 – B),c
2024,Mining and quarrying (Code NACE Rev.2 – B),c
2015,Mining of coal and lignite (Code NACE Rev.2 – 05),
2016,Mining of coal and lignite (Code NACE Rev.2 – 05),
2017,Mining of coal and lignite (Code NACE Rev.2 – 05),c
2018,Mining of coal and lignite (Code NACE Rev.2 – 05),
2019,Mining of coal and lignite (Code NACE Rev.2 – 05),
2020,Mining of coal and lignite (Code NACE Rev.2 – 05),
2021,Mining of coal and lignite (Code NACE Rev.2 – 05),c
2022,Mining of coal and lignite (Code NACE Rev.2 – 05),
2023,Mining of coal and lignite (Code NACE Rev.2 – 05),
2024,Mining of coal and lignite (Code NACE Rev.2 – 05),
2015,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2016,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2017,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2018,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),0.0
2019,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2020,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),c
2021,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),c
2022,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2023,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2024,Extraction of crude petroleum and natural gas (Code NACE Rev.2 – 06),
2015,Mining of metal ores (Code NACE Rev.2 – 07),
2016,Mining of metal ores (Code NACE Rev.2 – 07),
2017,Mining of metal ores (Code NACE Rev.2 – 07),
2018,Mining of metal ores (Code NACE Rev.2 – 07),0.2
2019,Mining of metal ores (Code NACE Rev.2 – 07),0.3
2020,Mining of metal ores (Code NACE Rev.2 – 07),c
2021,Mining of metal ores (Code NACE Rev.2 – 07),c
2022,Mining of metal ores (Code NACE Rev.2 – 07),c
2023,Mining of metal ores (Code NACE Rev.2 – 07),
2024,Mining of metal ores (Code NACE Rev.2 – 07),c
2015,Other mining and quarrying (Code NACE Rev.2 – 08),0.5
2016,Other mining and quarrying (Code NACE Rev.2 – 08),
2017,Other mining and quarrying (Code NACE Rev.2 – 08),0.3
2018,Other mining and quarrying (Code NACE Rev.2 – 08),0.1
2019,Other mining and quarrying (Code NACE Rev.2 – 08),0.4
2020,Other mining and quarrying (Code NACE Rev.2 – 08),c
2021,Other mining and quarrying (Code NACE Rev.2 – 08),c
2022,Other mining and quarrying (Code NACE Rev.2 – 08),c
2023,Other mining and quarrying (Code NACE Rev.2 – 08),c
2024,Other mining and quarrying (Code NACE Rev.2 – 08),c
2015,Mining support service activities (Code NACE Rev.2 – 09),0.0
2016,Mining support service activities (Code NACE Rev.2 – 09),
