Year,Region,Value
2015,Ukraine,3803.132
2015,Autonomous Republic of Crimea,219.319
2015,Vinnytsya,59.394
2015,Volyn,223.849
2015,Dnipropetrovsk,93.252
2015,Donetsk,92.959
2015,Zhytomyr,136.582
2015,Zakarpattya,178.563
2015,Zaporizhzhya,124.657
2015,Ivano-Frankivsk,218.825
2015,Kyiv,113.655
2015,Kirovohrad,99.408
2015,Luhansk,92.258
2015,Lviv,155.729
2015,Mykolayiv,75.45
2015,Odesa,150.841
2015,Poltava,142.413
2015,Rivne,177.45
2015,Sumy,176.509
2015,Ternopil,122.908
2015,Kharkiv,74.151
2015,Kherson,302.679
2015,Khmelnytskiy,312.48
2015,Cherkasy,63.118
2015,Chernivtsi,103.598
2015,Chernihiv,249.285
2015,city Kyiv,17.559
2015,city Sevastopol,26.241
2016,Ukraine,3985.605
2016,Autonomous Republic of Crimea,219.319
2016,Vinnytsya,59.623
2016,Volyn,223.849
2016,Dnipropetrovsk,96.008
2016,Donetsk,93.102
2016,Zhytomyr,136.582
2016,Zakarpattya,178.841
2016,Zaporizhzhya,124.97
2016,Ivano-Frankivsk,218.823
2016,Kyiv,290.235
2016,Kirovohrad,99.408
2016,Luhansk,92.625
2016,Lviv,155.899
2016,Mykolayiv,75.488
2016,Odesa,150.841
2016,Poltava,142.447
2016,Rivne,177.463
2016,Sumy,176.7
2016,Ternopil,123.219
2016,Kharkiv,74.151
2016,Kherson,302.783
2016,Khmelnytskiy,312.482
2016,Cherkasy,63.907
2016,Chernivtsi,103.598
2016,Chernihiv,249.29
2016,city Kyiv,17.711
2016,city Sevastopol,26.241
2017,Ukraine,3985.022
2017,Autonomous Republic of Crimea,219.319
2017,Vinnytsya,59.792
2017,Volyn,219.356
2017,Dnipropetrovsk,96.008
2017,Donetsk,93.51
2017,Zhytomyr,136.752
2017,Zakarpattya,180.506
2017,Zaporizhzhya,125.056
2017,Ivano-Frankivsk,218.817
2017,Kyiv,290.746
2017,Kirovohrad,99.408
2017,Luhansk,92.933
2017,Lviv,155.879
2017,Mykolayiv,75.488
2017,Odesa,150.838
2017,Poltava,142.447
2017,Rivne,177.456
2017,Sumy,176.813
2017,Ternopil,123.273
2017,Kharkiv,74.437
2017,Kherson,302.783
2017,Khmelnytskiy,312.482
2017,Cherkasy,64.008
2017,Chernivtsi,103.598
2017,Chernihiv,249.365
2017,city Kyiv,17.711
2017,city Sevastopol,26.241
2018,Ukraine,3991.638
2018,Autonomous Republic of Crimea,219.319
2018,Vinnytsya,59.772
2018,Volyn,219.465
2018,Dnipropetrovsk,96.008
2018,Donetsk,97.261
2018,Zhytomyr,137.12
2018,Zakarpattya,180.699
2018,Zaporizhzhya,125.068
2018,Ivano-Frankivsk,218.882
2018,Kyiv,291.958
2018,Kirovohrad,99.411
2018,Luhansk,92.933
2018,Lviv,156.064
2018,Mykolayiv,75.488
2018,Odesa,150.838
2018,Poltava,142.473
2018,Rivne,177.459
2018,Sumy,177.033
2018,Ternopil,123.212
2018,Kharkiv,74.844
2018,Kherson,302.783
2018,Khmelnytskiy,312.482
2018,Cherkasy,64.119
2018,Chernivtsi,103.598
2018,Chernihiv,249.381
2018,city Kyiv,17.727
2018,city Sevastopol,26.241
2019,Ukraine,4085.861
2019,Autonomous Republic of Crimea,219.319
2019,Vinnytsya,60.106
2019,Volyn,219.465
2019,Dnipropetrovsk,99.623
2019,Donetsk,99.997
2019,Zhytomyr,137.646
2019,Zakarpattya,192.439
2019,Zaporizhzhya,138.183
2019,Ivano-Frankivsk,218.882
2019,Kyiv,292.209
2019,Kirovohrad,100.319
2019,Luhansk,93.195
2019,Lviv,168.864
2019,Mykolayiv,77.238
2019,Odesa,154.39
2019,Poltava,142.55
2019,Rivne,199.478
2019,Sumy,178.589
2019,Ternopil,124.186
2019,Kharkiv,74.844
2019,Kherson,318.695
2019,Khmelnytskiy,312.579
2019,Cherkasy,64.596
2019,Chernivtsi,103.599
2019,Chernihiv,250.537
2019,city Kyiv,18.092
2019,city Sevastopol,26.241
2020,Ukraine,4105.522
2020,Autonomous Republic of Crimea,219.319
2020,Vinnytsya,60.189
2020,Volyn,220.232
2020,Dnipropetrovsk,99.757
2020,Donetsk,100.36
2020,Zhytomyr,138.258
2020,Zakarpattya,193.319
2020,Zaporizhzhya,138.183
2020,Ivano-Frankivsk,222.383
2020,Kyiv,292.44
2020,Kirovohrad,100.319
2020,Luhansk,93.219
2020,Lviv,177.944
2020,Mykolayiv,77.238
2020,Odesa,154.39
2020,Poltava,142.79
2020,Rivne,199.545
2020,Sumy,178.589
2020,Ternopil,123.349
2020,Kharkiv,74.844
2020,Kherson,319.316
2020,Khmelnytskiy,313.084
2020,Cherkasy,64.746
2020,Chernivtsi,103.599
2020,Chernihiv,250.72
2020,city Kyiv,21.149
2020,city Sevastopol,26.241
2021,Ukraine,4117.607
2021,Autonomous Republic of Crimea,219.319
2021,Vinnytsya,60.184
2021,Volyn,220.325
2021,Dnipropetrovsk,100.071
2021,Donetsk,100.855
2021,Zhytomyr,141.652
2021,Zakarpattya,197.903
2021,Zaporizhzhya,138.518
2021,Ivano-Frankivsk,225.543
2021,Kyiv,292.706
2021,Kirovohrad,100.405
2021,Luhansk,93.221
2021,Lviv,173.613
2021,Mykolayiv,78.048
2021,Odesa,154.686
2021,Poltava,142.79
2021,Rivne,199.88
2021,Sumy,179.421
2021,Ternopil,123.629
2021,Kharkiv,74.877
2021,Kherson,319.316
2021,Khmelnytskiy,313.084
2021,Cherkasy,64.86
2021,Chernivtsi,104.326
2021,Chernihiv,250.867
2021,city Kyiv,21.267
2021,city Sevastopol,26.241
2022,Ukraine,4173.018
2022,Autonomous Republic of Crimea,219.319
2022,Vinnytsya,60.184
2022,Volyn,220.388
2022,Dnipropetrovsk,100.071
2022,Donetsk,101.575
2022,Zhytomyr,142.2
2022,Zakarpattya,206.375
2022,Zaporizhzhya,138.518
2022,Ivano-Frankivsk,225.543
2022,Kyiv,293.1
2022,Kirovohrad,100.517
2022,Luhansk,93.221
2022,Lviv,173.614
2022,Mykolayiv,78.048
2022,Odesa,166.343
2022,Poltava,143.157
2022,Rivne,225.028
2022,Sumy,179.421
2022,Ternopil,123.907
2022,Kharkiv,74.877
2022,Kherson,319.316
2022,Khmelnytskiy,313.084
2022,Cherkasy,71.717
2022,Chernivtsi,104.457
2022,Chernihiv,251.23
2022,city Kyiv,21.567
2022,city Sevastopol,26.241
2023,Ukraine,4183.851
2023,Autonomous Republic of Crimea,219.319
2023,Vinnytsya,60.213
2023,Volyn,220.388
2023,Dnipropetrovsk,100.071
2023,Donetsk,101.642
2023,Zhytomyr,143.167
2023,Zakarpattya,206.376
2023,Zaporizhzhya,138.518
2023,Ivano-Frankivsk,229.527
2023,Kyiv,296.317
2023,Kirovohrad,100.948
2023,Luhansk,93.221
2023,Lviv,175.241
2023,Mykolayiv,78.336
2023,Odesa,166.343
2023,Poltava,144.18
2023,Rivne,225.028
2023,Sumy,179.538
2023,Ternopil,123.883
2023,Kharkiv,74.877
2023,Kherson,319.316
2023,Khmelnytskiy,313.105
2023,Cherkasy,70.36
2023,Chernivtsi,104.457
2023,Chernihiv,251.443
2023,city Kyiv,21.796
2023,city Sevastopol,26.241
2024,Ukraine,4188.05
2024,Autonomous Republic of Crimea,219.319
2024,Vinnytsya,60.214
2024,Volyn,220.388
2024,Dnipropetrovsk,100.071
2024,Donetsk,110.364
2024,Zhytomyr,143.205
2024,Zakarpattya,206.351
2024,Zaporizhzhya,138.518
2024,Ivano-Frankivsk,227.4
2024,Kyiv,295.695
2024,Kirovohrad,101.557
2024,Luhansk,92.685
2024,Lviv,172.036
2024,Mykolayiv,78.572
2024,Odesa,166.979
2024,Poltava,144.189
2024,Rivne,225.042
2024,Sumy,179.633
2024,Ternopil,123.88
2024,Kharkiv,74.888
2024,Kherson,319.316
2024,Khmelnytskiy,313.148
2024,Cherkasy,70.482
2024,Chernivtsi,104.457
2024,Chernihiv,251.646
2024,city Kyiv,21.774
2024,city Sevastopol,26.241
