Year,"Share of the population/business representatives who had personal experience with corruption, based on a standard survey on corruption in Ukraine conducted under the methodology approved by the National Agency on Corruption Prevention, percent",Value
2015,Share of population,
2016,Share of population,
2017,Share of population,
2018,Share of population,
2019,Share of population,
2020,Share of population,27.0
2021,Share of population,26.0
2022,Share of population,17.7
2023,Share of population,19.5
2024,Share of population,18.7
2015,Share of business representatives,
2016,Share of business representatives,
2017,Share of business representatives,
2018,Share of business representatives,
2019,Share of business representatives,
2020,Share of business representatives,
2021,Share of business representatives,21.6
2022,Share of business representatives,15.4
2023,Share of business representatives,22.2
2024,Share of business representatives,23.2
