Year,Type of residence,by type of educational institution,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,
2021,,,
2022,,,4579.0
2023,,,64322.0
2024,,,77507.0
2015,urban,,
2016,urban,,
2017,urban,,
2018,urban,,
2019,urban,,
2020,urban,,
2021,urban,,
2022,urban,,3390.0
2023,urban,,45631.0
2024,urban,,60023.0
2015,rural,,
2016,rural,,
2017,rural,,
2018,rural,,
2019,rural,,
2020,rural,,
2021,rural,,
2022,rural,,1189.0
2023,rural,,18691.0
2024,rural,,17484.0
2015,,general secondary educational institutions (GSEI),
2016,,general secondary educational institutions (GSEI),
2017,,general secondary educational institutions (GSEI),
2018,,general secondary educational institutions (GSEI),
2019,,general secondary educational institutions (GSEI),
2020,,general secondary educational institutions (GSEI),
2021,,general secondary educational institutions (GSEI),
2022,,general secondary educational institutions (GSEI),4284.0
2023,,general secondary educational institutions (GSEI),60809.0
2024,,general secondary educational institutions (GSEI),71401.0
2015,,professional (vocational and technical) educational institutions (P(VT)EI),
2016,,professional (vocational and technical) educational institutions (P(VT)EI),
2017,,professional (vocational and technical) educational institutions (P(VT)EI),
2018,,professional (vocational and technical) educational institutions (P(VT)EI),
2019,,professional (vocational and technical) educational institutions (P(VT)EI),
2020,,professional (vocational and technical) educational institutions (P(VT)EI),
2021,,professional (vocational and technical) educational institutions (P(VT)EI),
2022,,professional (vocational and technical) educational institutions (P(VT)EI),
2023,,professional (vocational and technical) educational institutions (P(VT)EI),2950.0
2024,,professional (vocational and technical) educational institutions (P(VT)EI),4032.0
2015,,institutions of professional pre-tertiary education (IPPTE),
2016,,institutions of professional pre-tertiary education (IPPTE),
2017,,institutions of professional pre-tertiary education (IPPTE),
2018,,institutions of professional pre-tertiary education (IPPTE),
2019,,institutions of professional pre-tertiary education (IPPTE),
2020,,institutions of professional pre-tertiary education (IPPTE),
2021,,institutions of professional pre-tertiary education (IPPTE),
2022,,institutions of professional pre-tertiary education (IPPTE),
2023,,institutions of professional pre-tertiary education (IPPTE),237.0
2024,,institutions of professional pre-tertiary education (IPPTE),1038.0
2015,,other institutions 2,
2016,,other institutions 2,
2017,,other institutions 2,
2018,,other institutions 2,
2019,,other institutions 2,
2020,,other institutions 2,
2021,,other institutions 2,
2022,,other institutions 2,295.0
2023,,other institutions 2,326.0
2024,,other institutions 2,1036.0
