Year,Specialties of fields of knowledge,Level (degree) of education,Value
2015,,,41.27
2016,,,24.04
2017,,,23.72
2018,,,23.36
2019,,,23.24
2020,,,23.08
2021,,,22.98
2022,,,21.57
2023,,,19.4
2024,,,19.0
2015,101 Ecology,,100.0
2016,101 Ecology,,59.08
2017,101 Ecology,,58.76
2018,101 Ecology,,57.4
2019,101 Ecology,,55.95
2020,101 Ecology,,54.88
2021,101 Ecology,,54.77
2022,101 Ecology,,46.74
2023,101 Ecology,,41.01
2024,101 Ecology,,38.33
2015,102 Chemistry,,
2016,102 Chemistry,,74.21
2017,102 Chemistry,,72.23
2018,102 Chemistry,,71.45
2019,102 Chemistry,,70.45
2020,102 Chemistry,,66.47
2021,102 Chemistry,,62.58
2022,102 Chemistry,,60.32
2023,102 Chemistry,,55.29
2024,102 Chemistry,,53.11
2015,103 Earth sciences,,100.0
2016,103 Earth sciences,,49.75
2017,103 Earth sciences,,46.82
2018,103 Earth sciences,,43.48
2019,103 Earth sciences,,42.44
2020,103 Earth sciences,,42.35
2021,103 Earth sciences,,42.26
2022,103 Earth sciences,,37.23
2023,103 Earth sciences,,27.32
2024,103 Earth sciences,,26.48
2015,104 Physics and astronomy,,50.0
2016,104 Physics and astronomy,,37.99
2017,104 Physics and astronomy,,38.5
2018,104 Physics and astronomy,,37.53
2019,104 Physics and astronomy,,34.62
2020,104 Physics and astronomy,,33.05
2021,104 Physics and astronomy,,33.17
2022,104 Physics and astronomy,,30.23
2023,104 Physics and astronomy,,24.95
2024,104 Physics and astronomy,,23.23
2015,105 Applied physics and nanomaterials,,
2016,105 Applied physics and nanomaterials,,22.8
2017,105 Applied physics and nanomaterials,,24.05
2018,105 Applied physics and nanomaterials,,24.09
2019,105 Applied physics and nanomaterials,,23.49
2020,105 Applied physics and nanomaterials,,23.16
2021,105 Applied physics and nanomaterials,,23.67
2022,105 Applied physics and nanomaterials,,23.26
2023,105 Applied physics and nanomaterials,,20.52
2024,105 Applied physics and nanomaterials,,19.49
2015,106 Geography,,
2016,106 Geography,,
2017,106 Geography,,63.99
2018,106 Geography,,61.32
2019,106 Geography,,61.08
2020,106 Geography,,60.75
2021,106 Geography,,55.26
2022,106 Geography,,47.54
2023,106 Geography,,42.62
2024,106 Geography,,40.44
2015,111 Mathematics,,100.0
2016,111 Mathematics,,67.35
2017,111 Mathematics,,64.39
2018,111 Mathematics,,61.94
2019,111 Mathematics,,58.25
2020,111 Mathematics,,53.3
2021,111 Mathematics,,51.05
2022,111 Mathematics,,48.75
2023,111 Mathematics,,45.28
2024,111 Mathematics,,45.91
2015,112 Statistics,,
2016,112 Statistics,,55.15
2017,112 Statistics,,55.38
2018,112 Statistics,,54.04
2019,112 Statistics,,50.84
2020,112 Statistics,,44.55
2021,112 Statistics,,43.84
2022,112 Statistics,,43.89
2023,112 Statistics,,31.1
2024,112 Statistics,,28.66
2015,113 Applied mathematics,,
2016,113 Applied mathematics,,33.89
2017,113 Applied mathematics,,32.54
2018,113 Applied mathematics,,32.23
2019,113 Applied mathematics,,31.73
2020,113 Applied mathematics,,30.95
2021,113 Applied mathematics,,31.31
2022,113 Applied mathematics,,29.85
2023,113 Applied mathematics,,29.05
2024,113 Applied mathematics,,31.14
2015,121 Software engineering,,
2016,121 Software engineering,,16.02
2017,121 Software engineering,,14.92
2018,121 Software engineering,,14.6
2019,121 Software engineering,,14.62
2020,121 Software engineering,,14.55
2021,121 Software engineering,,14.79
2022,121 Software engineering,,14.57
2023,121 Software engineering,,14.96
2024,121 Software engineering,,16.17
2015,122 Computer science and information technologies,,
2016,122 Computer science and information technologies,,22.47
2017,122 Computer science and information technologies,,22.79
2018,122 Computer science and information technologies,,22.3
2019,122 Computer science and information technologies,,22.95
2020,122 Computer science and information technologies,,15.99
2021,122 Computer science and information technologies,,13.56
2022,122 Computer science and information technologies,,9.09
2023,122 Computer science and information technologies,,7.41
2024,122 Computer science and information technologies,,9.09
2015,122 Computer science,,
2016,122 Computer science,,19.05
2017,122 Computer science,,20.37
2018,122 Computer science,,20.27
2019,122 Computer science,,19.74
2020,122 Computer science,,20.12
2021,122 Computer science,,20.28
2022,122 Computer science,,19.03
2023,122 Computer science,,18.99
2024,122 Computer science,,20.42
2015,123 Computer engineering,,
2016,123 Computer engineering,,11.85
2017,123 Computer engineering,,11.77
2018,123 Computer engineering,,11.5
2019,123 Computer engineering,,11.21
2020,123 Computer engineering,,11.09
2021,123 Computer engineering,,11.31
2022,123 Computer engineering,,10.87
2023,123 Computer engineering,,10.78
2024,123 Computer engineering,,10.77
2015,124 Systems analysis,,
2016,124 Systems analysis,,34.06
2017,124 Systems analysis,,34.57
2018,124 Systems analysis,,33.57
2019,124 Systems analysis,,32.96
2020,124 Systems analysis,,32.94
2021,124 Systems analysis,,32.62
2022,124 Systems analysis,,31.58
2023,124 Systems analysis,,30.37
2024,124 Systems analysis,,34.43
2015,126 Cyber security,,
2016,126 Cyber security,,19.58
2017,126 Cyber security,,19.54
2018,126 Cyber security,,18.64
2019,126 Cyber security,,18.12
2020,126 Cyber security,,17.4
2021,126 Cyber security,,17.73
2022,126 Cyber security,,17.06
2023,126 Cyber security,,16.92
2024,126 Cyber security,,19.62
2015,125 Cyber security and information protection,,
2016,125 Cyber security and information protection,,
2017,125 Cyber security and information protection,,
2018,125 Cyber security and information protection,,
2019,125 Cyber security and information protection,,
2020,125 Cyber security and information protection,,
2021,125 Cyber security and information protection,,
2022,125 Cyber security and information protection,,
2023,125 Cyber security and information protection,,17.0
2024,125 Cyber security and information protection,,17.74
2015,126 Information systems and technologies,,
2016,126 Information systems and technologies,,
