Year,by level of councils,Region,Sex,Value
2015,regional councils,,women,14.95
2015,regional councils,,men,85.05
2015,district councils,,women,24.02
2015,district councils,,men,75.98
2015,city councils (including Kyiv City council),,women,29.07
2015,city councils (including Kyiv City council),,men,70.93
2015,district councils in cities,,women,33.3
2015,district councils in cities,,men,66.7
2015,settlement councils,,women,46.11
2015,settlement councils,,men,53.89
2015,village councils,,women,55.66
2015,village councils,,men,44.34
2015,,Ukraine,women,49.53
2015,,Ukraine,men,50.47
2015,,Autonomous Republic of Crimea,women,
2015,,Autonomous Republic of Crimea,men,
2015,,Vinnytsya,women,49.72
2015,,Vinnytsya,men,50.28
2015,,Volyn,women,51.16
2015,,Volyn,men,48.84
2015,,Dnipropetrovsk,women,48.49
2015,,Dnipropetrovsk,men,51.51
2015,,Donetsk,women,55.59
2015,,Donetsk,men,44.41
2015,,Zhytomyr,women,54.51
2015,,Zhytomyr,men,45.49
2015,,Zakarpattya,women,35.73
2015,,Zakarpattya,men,64.27
2015,,Zaporizhzhya,women,51.87
2015,,Zaporizhzhya,men,48.13
2015,,Ivano-Frankivsk,women,39.69
2015,,Ivano-Frankivsk,men,60.31
2015,,Kyiv,women,48.54
2015,,Kyiv,men,51.46
2015,,Kirovohrad,women,53.6
2015,,Kirovohrad,men,46.4
2015,,Luhansk,women,57.68
2015,,Luhansk,men,42.32
2015,,Lviv,women,37.95
2015,,Lviv,men,62.05
2015,,Mykolayiv,women,58.72
2015,,Mykolayiv,men,41.28
2015,,Odesa,women,47.99
2015,,Odesa,men,52.01
2015,,Poltava,women,48.83
2015,,Poltava,men,51.17
2015,,Rivne,women,49.47
2015,,Rivne,men,50.53
2015,,Sumy,women,56.0
2015,,Sumy,men,44.0
2015,,Ternopil,women,46.65
2015,,Ternopil,men,53.35
2015,,Kharkiv,women,51.7
2015,,Kharkiv,men,48.3
2015,,Kherson,women,56.96
2015,,Kherson,men,43.04
2015,,Khmelnytskiy,women,50.84
2015,,Khmelnytskiy,men,49.16
2015,,Cherkasy,women,53.83
2015,,Cherkasy,men,46.17
2015,,Chernivtsi,women,37.7
2015,,Chernivtsi,men,62.3
2015,,Chernihiv,women,58.64
2015,,Chernihiv,men,41.36
2015,,the city of Kyiv,women,18.33
2015,,the city of Kyiv,men,81.67
2015,,city Sevastopol,women,
2015,,city Sevastopol,men,
2016,regional councils,,women,14.96
2016,regional councils,,men,85.04
2016,district councils,,women,24.11
2016,district councils,,men,75.89
2016,city councils (including Kyiv City council),,women,28.7
2016,city councils (including Kyiv City council),,men,71.3
2016,district councils in cities,,women,33.59
2016,district councils in cities,,men,66.41
2016,settlement councils,,women,45.19
2016,settlement councils,,men,54.81
2016,village councils,,women,55.12
2016,village councils,,men,44.88
2016,,Ukraine,women,48.71
2016,,Ukraine,men,51.29
2016,,Autonomous Republic of Crimea,women,
2016,,Autonomous Republic of Crimea,men,
2016,,Vinnytsya,women,48.95
