Year,Indicators of production and technological costs in natural gas supply grids,Value
2015,production and technological costs during natural gas transportation,1466
2016,production and technological costs during natural gas transportation,1610
2017,production and technological costs during natural gas transportation,2116
2018,production and technological costs during natural gas transportation,1760
2019,production and technological costs during natural gas transportation,1809
2020,production and technological costs during natural gas transportation,807
2021,production and technological costs during natural gas transportation,659
2022,production and technological costs during natural gas transportation,447
2023,production and technological costs during natural gas transportation,302
2024,production and technological costs during natural gas transportation,170
2025,production and technological costs during natural gas transportation,166
2015,production and technological costs during natural gas distribution,1041
2016,production and technological costs during natural gas distribution,978
2017,production and technological costs during natural gas distribution,973
2018,production and technological costs during natural gas distribution,1026
2019,production and technological costs during natural gas distribution,1377
2020,production and technological costs during natural gas distribution,1342
2021,production and technological costs during natural gas distribution,1713
2022,production and technological costs during natural gas distribution,1244
2023,production and technological costs during natural gas distribution,1047
2024,production and technological costs during natural gas distribution,950
2025,production and technological costs during natural gas distribution,911
