Year,Types of producers,Types of renewable energy generation (RES),Value
2019,electricity producers,,9.11
2020,electricity producers,,13.32
2021,electricity producers,,14.12
2022,electricity producers,,14.7
2023,electricity producers,,14.61
2024,electricity producers,,14.09
2021,"consumers/users with their own electrical installations for the production of electricity, which are connected to the networks of the distribution system operator",,3.02
2022,"consumers/users with their own electrical installations for the production of electricity, which are connected to the networks of the distribution system operator",,3.03
2023,"consumers/users with their own electrical installations for the production of electricity, which are connected to the networks of the distribution system operator",,3.18
2024,"consumers/users with their own electrical installations for the production of electricity, which are connected to the networks of the distribution system operator",,3.66
2019,,solar power plants (SPP),6.5
2020,,solar power plants (SPP),10.67
2021,,solar power plants (SPP),13.64
2022,,solar power plants (SPP),14.26
2023,,solar power plants (SPP),13.77
2024,,solar power plants (SPP),13.96
2019,,wind power plants (WPP),2.26
2020,,wind power plants (WPP),2.21
2021,,wind power plants (WPP),2.97
2022,,wind power plants (WPP),2.9
2023,,wind power plants (WPP),3.42
2024,,wind power plants (WPP),2.87
2019,,"micro, mini and small hydroelectric power plants (mHPP)",0.11
2020,,"micro, mini and small hydroelectric power plants (mHPP)",0.13
2021,,"micro, mini and small hydroelectric power plants (mHPP)",0.13
2022,,"micro, mini and small hydroelectric power plants (mHPP)",0.14
2023,,"micro, mini and small hydroelectric power plants (mHPP)",0.13
2024,,"micro, mini and small hydroelectric power plants (mHPP)",0.12
2019,,biomass,0.13
2020,,biomass,0.14
2021,,biomass,0.21
2022,,biomass,0.22
2023,,biomass,0.27
2024,,biomass,0.32
2019,,biogas,0.11
2020,,biogas,0.17
2021,,biogas,0.19
2022,,biogas,0.21
2023,,biogas,0.2
2024,,biogas,0.22
2019,,geothermal power plants (GPP),0.0
2020,,geothermal power plants (GPP),0.0
2021,,geothermal power plants (GPP),0.0
2022,,geothermal power plants (GPP),0.0
2023,,geothermal power plants (GPP),0.0
2024,,geothermal power plants (GPP),0.0
2023,,other_res,0.0
2024,,other_res,0.26
