Year,Type of equipment,Types of buildings,Value
2015,heat energy,in non-residential buildings,
2016,heat energy,in non-residential buildings,
2017,heat energy,in non-residential buildings,
2018,heat energy,in non-residential buildings,77.7
2019,heat energy,in non-residential buildings,79.3
2020,heat energy,in non-residential buildings,81.7
2021,heat energy,in non-residential buildings,82.5
2022,heat energy,in non-residential buildings,83.0
2023,heat energy,in non-residential buildings,83.9
2024,heat energy,in non-residential buildings,84.6
2015,heat energy,in residential buildings,
2016,heat energy,in residential buildings,67.6
2017,heat energy,in residential buildings,80.0
2018,heat energy,in residential buildings,78.6
2019,heat energy,in residential buildings,80.8
2020,heat energy,in residential buildings,82.4
2021,heat energy,in residential buildings,83.5
2022,heat energy,in residential buildings,84.4
2023,heat energy,in residential buildings,84.9
2024,heat energy,in residential buildings,85.0
2015,hot water,in non-residential buildings,
2016,hot water,in non-residential buildings,
2017,hot water,in non-residential buildings,
2018,hot water,in non-residential buildings,53.5
2019,hot water,in non-residential buildings,51.3
2020,hot water,in non-residential buildings,53.0
2021,hot water,in non-residential buildings,51.4
2022,hot water,in non-residential buildings,51.4
2023,hot water,in non-residential buildings,51.7
2024,hot water,in non-residential buildings,50.8
2015,hot water,in residential buildings,
2016,hot water,in residential buildings,
2017,hot water,in residential buildings,
2018,hot water,in residential buildings,15.9
2019,hot water,in residential buildings,16.4
2020,hot water,in residential buildings,18.0
2021,hot water,in residential buildings,17.5
2022,hot water,in residential buildings,20.1
2023,hot water,in residential buildings,19.9
2024,hot water,in residential buildings,20.2
2015,drinking water,in non-residential buildings,
2016,drinking water,in non-residential buildings,
2017,drinking water,in non-residential buildings,
2018,drinking water,in non-residential buildings,93.6
2019,drinking water,in non-residential buildings,94.9
2020,drinking water,in non-residential buildings,95.5
2021,drinking water,in non-residential buildings,95.8
2022,drinking water,in non-residential buildings,95.7
2023,drinking water,in non-residential buildings,95.9
2024,drinking water,in non-residential buildings,95.4
2015,drinking water,in residential buildings,
2016,drinking water,in residential buildings,
2017,drinking water,in residential buildings,
2018,drinking water,in residential buildings,71.0
2019,drinking water,in residential buildings,73.1
2020,drinking water,in residential buildings,76.1
2021,drinking water,in residential buildings,79.1
2022,drinking water,in residential buildings,78.9
2023,drinking water,in residential buildings,79.3
2024,drinking water,in residential buildings,80.0
