Year,Type of residence,Age,Sex,Region,Value
2015,,,,,19.6
2015,,,women,,20.2
2015,,,men,,19.1
2015,,under 18 years old,,,21.9
2015,,18-29 years,,,18.9
2015,,30-59 years,,,18.2
2015,,60 years and older,,,20.7
2015,rural,,,,18.8
2015,urban,,,,20.0
2015,,,,Autonomous Republic of Crimea,
2015,,,,Vinnytsya,18.9
2015,,,,Volyn,13.3
2015,,,,Dnipropetrovsk,29.8
2015,,,,Donetsk,20.1
2015,,,,Zhytomyr,14.6
2015,,,,Zakarpattya,61.7
2015,,,,Zaporizhzhya,19.6
2015,,,,Ivano-Frankivsk,34.9
2015,,,,Kyiv,3.7
2015,,,,Kirovohrad,18.4
2015,,,,Luhansk,36.3
2015,,,,Lviv,5.4
2015,,,,Mykolayiv,
2015,,,,Odesa,20.0
2015,,,,Poltava,9.4
2015,,,,Rivne,6.2
2015,,,,Sumy,8.9
2015,,,,Ternopil,24.2
2015,,,,Kharkiv,17.7
2015,,,,Kherson,40.7
2015,,,,Khmelnytskiy,
2015,,,,Cherkasy,39.1
2015,,,,Chernivtsi,3.2
2015,,,,Chernihiv,15.5
2015,,,,the city of Kyiv,6.7
2015,,,,city Sevastopol,
2015,,,,Mykolayiv,23.6
2015,,,,Khmelnytskiy,20.2
2017,,,,,25.3
2017,,,women,,26.5
2017,,,men,,23.9
2017,,under 18 years old,,,25.4
2017,,18-29 years,,,23.8
2017,,30-59 years,,,23.5
2017,,60 years and older,,,29.5
2017,rural,,,,25.0
2017,urban,,,,25.5
2017,,,,Autonomous Republic of Crimea,
2017,,,,Vinnytsya,29.0
2017,,,,Volyn,7.2
2017,,,,Dnipropetrovsk,21.9
2017,,,,Donetsk,22.9
2017,,,,Zhytomyr,11.0
2017,,,,Zakarpattya,66.0
2017,,,,Zaporizhzhya,22.3
2017,,,,Ivano-Frankivsk,64.4
2017,,,,Kyiv,11.1
2017,,,,Kirovohrad,9.2
2017,,,,Luhansk,25.8
2017,,,,Lviv,3.6
2017,,,,Mykolayiv,
2017,,,,Odesa,19.2
2017,,,,Poltava,15.4
2017,,,,Rivne,7.8
2017,,,,Sumy,59.7
2017,,,,Ternopil,14.7
2017,,,,Kharkiv,34.2
2017,,,,Kherson,59.4
2017,,,,Khmelnytskiy,
2017,,,,Cherkasy,61.0
2017,,,,Chernivtsi,12.9
2017,,,,Chernihiv,67.8
2017,,,,the city of Kyiv,8.4
2017,,,,city Sevastopol,
2017,,,,Mykolayiv,27.4
2017,,,,Khmelnytskiy,5.7
2019,,,,,18.8
2019,,,women,,19.6
2019,,,men,,18.0
2019,,under 18 years old,,,18.4
2019,,18-29 years,,,15.7
2019,,30-59 years,,,16.6
2019,,60 years and older,,,25.0
2019,rural,,,,18.3
2019,urban,,,,19.1
2019,,,,Autonomous Republic of Crimea,
2019,,,,Vinnytsya,28.8
2019,,,,Volyn,3.5
2019,,,,Dnipropetrovsk,27.8
2019,,,,Donetsk,25.7
2019,,,,Zhytomyr,20.7
2019,,,,Zakarpattya,34.0
2019,,,,Zaporizhzhya,20.6
2019,,,,Ivano-Frankivsk,37.4
2019,,,,Kyiv,24.3
2019,,,,Kirovohrad,10.3
2019,,,,Luhansk,17.1
2019,,,,Lviv,4.6
2019,,,,Mykolayiv,
2019,,,,Odesa,7.4
2019,,,,Poltava,7.9
2019,,,,Rivne,8.5
2019,,,,Sumy,25.3
2019,,,,Ternopil,11.6
2019,,,,Kharkiv,21.7
2019,,,,Kherson,52.6
2019,,,,Khmelnytskiy,
2019,,,,Cherkasy,39.8
2019,,,,Chernivtsi,2.4
2019,,,,Chernihiv,25.1
2019,,,,the city of Kyiv,3.5
2019,,,,city Sevastopol,
2019,,,,Mykolayiv,18.0
2019,,,,Khmelnytskiy,5.7
2021,,,,,15.4
2021,,,women,,16.3
2021,,,men,,14.3
2021,,under 18 years old,,,14.1
2021,,18-29 years,,,15.5
2021,,30-59 years,,,13.7
2021,,60 years and older,,,19.5
2021,rural,,,,18.3
2021,urban,,,,13.9
2021,,,,Autonomous Republic of Crimea,
2021,,,,Vinnytsya,27.8
2021,,,,Volyn,2.2
2021,,,,Dnipropetrovsk,13.5
2021,,,,Donetsk,18.7
2021,,,,Zhytomyr,5.1
2021,,,,Zakarpattya,51.9
2021,,,,Zaporizhzhya,20.0
2021,,,,Ivano-Frankivsk,46.7
2021,,,,Kyiv,14.3
2021,,,,Kirovohrad,2.9
2021,,,,Luhansk,11.0
2021,,,,Lviv,2.8
2021,,,,Mykolayiv,
2021,,,,Odesa,10.7
2021,,,,Poltava,8.5
2021,,,,Rivne,5.4
2021,,,,Sumy,3.2
2021,,,,Ternopil,16.0
2021,,,,Kharkiv,13.0
2021,,,,Kherson,43.7
2021,,,,Khmelnytskiy,
2021,,,,Cherkasy,28.1
2021,,,,Chernivtsi,4.1
2021,,,,Chernihiv,27.5
2021,,,,the city of Kyiv,8.3
2021,,,,city Sevastopol,
2021,,,,Mykolayiv,10.7
2021,,,,Khmelnytskiy,6.7
