Year,Special aggregations (production using technologies of),Value
2015,,65.7
2016,,65.7
2017,,67.2
2018,,68.7
2019,,68.7
2020,,68.2
2021,,67.7
2022,,66.7
2023,,65.2
2024,,67.1
2015,high level,4.8
2016,high level,4.7
2017,high level,4.8
2018,high level,4.5
2019,high level,4.7
2020,high level,4.4
2021,high level,4.4
2022,high level,4.6
2023,high level,4.7
2024,high level,5.4
2015,medium-high level,16.4
2016,medium-high level,16.4
2017,medium-high level,16.7
2018,medium-high level,17.1
2019,medium-high level,16.9
2020,medium-high level,16.1
2021,medium-high level,15.7
2022,medium-high level,15.2
2023,medium-high level,14.3
2024,medium-high level,15.1
2015,medium-low level,20.9
2016,medium-low level,20.3
2017,medium-low level,20.1
2018,medium-low level,20.6
2019,medium-low level,20.5
2020,medium-low level,20.4
2021,medium-low level,20.6
2022,medium-low level,19.0
2023,medium-low level,17.5
2024,medium-low level,17.4
2015,low level,23.6
2016,low level,24.3
2017,low level,25.6
2018,low level,26.5
2019,low level,26.6
2020,low level,27.3
2021,low level,27.0
2022,low level,27.9
2023,low level,28.7
2024,low level,29.2
