Year,Категорії коефіцієнта заміщення заробітної плати пенсіями,Value
2015,"відносно до 0,5 середньої заробітної плати",81.0
2016,"відносно до 0,5 середньої заробітної плати",70.6
2017,"відносно до 0,5 середньої заробітної плати",69.8
2018,"відносно до 0,5 середньої заробітної плати",59.7
2019,"відносно до 0,5 середньої заробітної плати",58.7
2020,"відносно до 0,5 середньої заробітної плати",60.5
2021,"відносно до 0,5 середньої заробітної плати",57.0
2022,"відносно до 0,5 середньої заробітної плати",62.3
2023,"відносно до 0,5 середньої заробітної плати",61.8
2024,"відносно до 0,5 середньої заробітної плати",53.9
2015,відносно до повної середньої заробітної плати,40.5
2016,відносно до повної середньої заробітної плати,35.3
2017,відносно до повної середньої заробітної плати,34.9
2018,відносно до повної середньої заробітної плати,29.8
2019,відносно до повної середньої заробітної плати,29.4
2020,відносно до повної середньої заробітної плати,30.3
2021,відносно до повної середньої заробітної плати,28.5
2022,відносно до повної середньої заробітної плати,31.1
2023,відносно до повної середньої заробітної плати,30.9
2024,відносно до повної середньої заробітної плати,27.0
2015,"відносно до 1,5 середньої заробітної плати",27.0
2016,"відносно до 1,5 середньої заробітної плати",23.5
2017,"відносно до 1,5 середньої заробітної плати",23.3
2018,"відносно до 1,5 середньої заробітної плати",19.9
2019,"відносно до 1,5 середньої заробітної плати",19.6
2020,"відносно до 1,5 середньої заробітної плати",20.2
2021,"відносно до 1,5 середньої заробітної плати",19.0
2022,"відносно до 1,5 середньої заробітної плати",20.8
2023,"відносно до 1,5 середньої заробітної плати",20.6
2024,"відносно до 1,5 середньої заробітної плати",18.0
