Year,за приморськими областями в цілому,Value
2015,,5.81
2016,,5.82
2017,,5.82
2018,,5.84
2019,,5.93
2020,,6.69
2021,,6.69
2022,,7.09
2023,,7.091
2024,,7.098
2015,за приморськими областями в цілому,
2016,за приморськими областями в цілому,
2017,за приморськими областями в цілому,
2018,за приморськими областями в цілому,
2019,за приморськими областями в цілому,
2020,за приморськими областями в цілому,
2021,за приморськими областями в цілому,
2022,за приморськими областями в цілому,
2023,за приморськими областями в цілому,
2024,за приморськими областями в цілому,
