Year,Азовське море,Чорне море,Дніпровсько-Бузька естуарна система,Пониззя Дністра з озерами та Дністровський лиман,Тузловська група лиманів,Будацький (Шаболатський) лиман,Березанський лиман,Тилігульський лиман,Value
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,33.63
2018,,,,,,,,,21.1
2019,,,,,,,,,47.41
2020,,,,,,,,,14.27
2021,,,,,,,,,18.0
2022,,,,,,,,,1.26
2023,,,,,,,,,2.37
2024,,,,,,,,,0.3
2015,Азовський калкан,,,,,,,,
2016,Азовський калкан,,,,,,,,
2017,Азовський калкан,,,,,,,,40.06
2018,Азовський калкан,,,,,,,,67.59
2019,Азовський калкан,,,,,,,,97.28
2020,Азовський калкан,,,,,,,,76.18
2021,Азовський калкан,,,,,,,,
2022,Азовський калкан,,,,,,,,
2023,Азовський калкан,,,,,,,,
2024,Азовський калкан,,,,,,,,
2015,Артемія саліна (рачки),,,,,,,,
2016,Артемія саліна (рачки),,,,,,,,
2017,Артемія саліна (рачки),,,,,,,,
2018,Артемія саліна (рачки),,,,,,,,
2019,Артемія саліна (рачки),,,,,,,,
2020,Артемія саліна (рачки),,,,,,,,
2021,Артемія саліна (рачки),,,,,,,,
2022,Артемія саліна (рачки),,,,,,,,
2023,Артемія саліна (рачки),,,,,,,,
2024,Артемія саліна (рачки),,,,,,,,
2015,Артемія саліна (яйця),,,,,,,,
2016,Артемія саліна (яйця),,,,,,,,
2017,Артемія саліна (яйця),,,,,,,,
2018,Артемія саліна (яйця),,,,,,,,
2019,Артемія саліна (яйця),,,,,,,,
2020,Артемія саліна (яйця),,,,,,,,
2021,Артемія саліна (яйця),,,,,,,,
2022,Артемія саліна (яйця),,,,,,,,
2023,Артемія саліна (яйця),,,,,,,,
2024,Артемія саліна (яйця),,,,,,,,
2015,Бички,,,,,,,,
2016,Бички,,,,,,,,
2017,Бички,,,,,,,,65.73
2018,Бички,,,,,,,,47.55
2019,Бички,,,,,,,,64.83
2020,Бички,,,,,,,,72.96
2021,Бички,,,,,,,,55.73
2022,Бички,,,,,,,,
2023,Бички,,,,,,,,
2024,Бички,,,,,,,,
2015,Гамариди,,,,,,,,
2016,Гамариди,,,,,,,,
2017,Гамариди,,,,,,,,
2018,Гамариди,,,,,,,,
2019,Гамариди,,,,,,,,
