Year,Область,Value
2015,Україна,100.0
2015,Автономна Республіка Крим,
2015,Вінницька,100.0
2015,Волинська,
2015,Дніпропетровська,
2015,Донецька,
2015,Житомирська,
2015,Закарпатська,
2015,Запорізька,
2015,Івано-Франківська,
2015,Київська,
2015,Кіровоградська,
2015,Луганська,
2015,Львівська,
2015,Миколаївська,
2015,Одеська,
2015,Полтавська,
2015,Рівненська,
2015,Сумська,100.0
2015,Тернопільська,100.0
2015,Харківська,
2015,Херсонська,
2015,Хмельницька,
2015,Черкаська,
2015,Чернівецька,
2015,Чернігівська,100.0
2015,м. Київ,
2015,м. Севастополь,
2016,Україна,100.0
2016,Автономна Республіка Крим,
2016,Вінницька,100.0
2016,Волинська,
2016,Дніпропетровська,
2016,Донецька,
2016,Житомирська,
2016,Закарпатська,100.0
2016,Запорізька,
2016,Івано-Франківська,
2016,Київська,
2016,Кіровоградська,
2016,Луганська,
2016,Львівська,
2016,Миколаївська,
2016,Одеська,100.0
2016,Полтавська,
2016,Рівненська,
2016,Сумська,100.0
2016,Тернопільська,100.0
2016,Харківська,
2016,Херсонська,
2016,Хмельницька,
2016,Черкаська,
2016,Чернівецька,
2016,Чернігівська,
2016,м. Київ,
2016,м. Севастополь,
2017,Україна,94.3
2017,Автономна Республіка Крим,
2017,Вінницька,91.0
2017,Волинська,
2017,Дніпропетровська,
2017,Донецька,75.0
2017,Житомирська,
2017,Закарпатська,
2017,Запорізька,
2017,Івано-Франківська,
2017,Київська,
2017,Кіровоградська,
2017,Луганська,
2017,Львівська,
2017,Миколаївська,
2017,Одеська,100.0
2017,Полтавська,
2017,Рівненська,
2017,Сумська,100.0
2017,Тернопільська,100.0
2017,Харківська,
2017,Херсонська,
2017,Хмельницька,
2017,Черкаська,
2017,Чернівецька,
2017,Чернігівська,100.0
2017,м. Київ,
2017,м. Севастополь,
2018,Україна,81.6
2018,Автономна Республіка Крим,
2018,Вінницька,97.0
2018,Волинська,
2018,Дніпропетровська,
2018,Донецька,
2018,Житомирська,
2018,Закарпатська,
2018,Запорізька,
2018,Івано-Франківська,
2018,Київська,
2018,Кіровоградська,
2018,Луганська,
2018,Львівська,
2018,Миколаївська,
2018,Одеська,100.0
2018,Полтавська,
2018,Рівненська,
2018,Сумська,100.0
2018,Тернопільська,100.0
2018,Харківська,
2018,Херсонська,
2018,Хмельницька,
2018,Черкаська,
2018,Чернівецька,
2018,Чернігівська,11.0
2018,м. Київ,
2018,м. Севастополь,
2019,Україна,95.7
2019,Автономна Республіка Крим,
2019,Вінницька,100.0
2019,Волинська,
2019,Дніпропетровська,
2019,Донецька,48.0
2019,Житомирська,
2019,Закарпатська,
2019,Запорізька,
2019,Івано-Франківська,100.0
2019,Київська,100.0
2019,Кіровоградська,
2019,Луганська,100.0
2019,Львівська,
2019,Миколаївська,
2019,Одеська,100.0
2019,Полтавська,100.0
2019,Рівненська,
2019,Сумська,100.0
2019,Тернопільська,100.0
2019,Харківська,
2019,Херсонська,
2019,Хмельницька,
2019,Черкаська,100.0
2019,Чернівецька,100.0
2019,Чернігівська,100.0
2019,м. Київ,
2019,м. Севастополь,
2020,Україна,91.6
2020,Автономна Республіка Крим,
2020,Вінницька,100.0
2020,Волинська,
2020,Дніпропетровська,
2020,Донецька,32.0
2020,Житомирська,
2020,Закарпатська,
2020,Запорізька,
2020,Івано-Франківська,
2020,Київська,100.0
2020,Кіровоградська,
2020,Луганська,100.0
2020,Львівська,
2020,Миколаївська,
2020,Одеська,100.0
2020,Полтавська,100.0
2020,Рівненська,
2020,Сумська,100.0
2020,Тернопільська,100.0
2020,Харківська,100.0
2020,Херсонська,
2020,Хмельницька,100.0
2020,Черкаська,100.0
2020,Чернівецька,100.0
2020,Чернігівська,59.0
2020,м. Київ,
2020,м. Севастополь,
2021,Україна,95.5
2021,Автономна Республіка Крим,
2021,Вінницька,88.0
2021,Волинська,
2021,Дніпропетровська,
2021,Донецька,49.0
2021,Житомирська,
2021,Закарпатська,
2021,Запорізька,
2021,Івано-Франківська,100.0
2021,Київська,100.0
2021,Кіровоградська,
2021,Луганська,100.0
2021,Львівська,
2021,Миколаївська,
2021,Одеська,100.0
2021,Полтавська,100.0
2021,Рівненська,
2021,Сумська,100.0
2021,Тернопільська,100.0
2021,Харківська,100.0
2021,Херсонська,
2021,Хмельницька,100.0
2021,Черкаська,100.0
2021,Чернівецька,100.0
2021,Чернігівська,100.0
2021,м. Київ,
2021,м. Севастополь,
2022,Україна,95.3
2022,Автономна Республіка Крим,
2022,Вінницька,95.0
2022,Волинська,48.0
2022,Дніпропетровська,
2022,Донецька,
2022,Житомирська,
2022,Закарпатська,
2022,Запорізька,
2022,Івано-Франківська,
2022,Київська,100.0
2022,Кіровоградська,
2022,Луганська,
2022,Львівська,
2022,Миколаївська,
2022,Одеська,100.0
2022,Полтавська,100.0
2022,Рівненська,
2022,Сумська,100.0
2022,Тернопільська,100.0
2022,Харківська,100.0
2022,Херсонська,
2022,Хмельницька,100.0
2022,Черкаська,100.0
2022,Чернівецька,100.0
2022,Чернігівська,100.0
2022,м. Київ,
2022,м. Севастополь,
2023,Україна,98.0
2023,Автономна Республіка Крим,
2023,Вінницька,68.0
2023,Волинська,100.0
2023,Дніпропетровська,
2023,Донецька,
2023,Житомирська,
2023,Закарпатська,
2023,Запорізька,100.0
2023,Івано-Франківська,100.0
2023,Київська,100.0
2023,Кіровоградська,
2023,Луганська,
2023,Львівська,
2023,Миколаївська,100.0
2023,Одеська,100.0
2023,Полтавська,100.0
2023,Рівненська,
2023,Сумська,100.0
2023,Тернопільська,100.0
2023,Харківська,100.0
2023,Херсонська,100.0
2023,Хмельницька,100.0
2023,Черкаська,100.0
2023,Чернівецька,100.0
2023,Чернігівська,100.0
2023,м. Київ,
2023,м. Севастополь,
