Year,Стать,Вік,Місцевість проживання,Область,Value
2015,,,,,77.69
2015,дівчатка,,,,77.91
2015,хлопчики,,,,75.76
2015,,6 років,,,58.43
2015,,7 років,,,91.54
2015,,8 років,,,92.4
2015,,9 років,,,91.46
2015,,10 років,,,91.32
2015,,11 років,,,92.83
2015,,12 років,,,92.65
2015,,13 років,,,93.87
2015,,14 років,,,93.15
2015,,15 років,,,68.44
2015,,16 років,,,55.42
2015,,17 років,,,17.23
2015,,,міська,,79.26
2015,,,сільська,,72.2
2015,,,,Автономна Республіка Крим,
2015,,,,Вінницька,80.76
2015,,,,Волинська,83.63
2015,,,,Дніпропетровська,85.1
2015,,,,Донецька,37.95
2015,,,,Житомирська,83.21
2015,,,,Закарпатська,85.17
2015,,,,Запорізька,85.52
2015,,,,Івано-Франківська,81.27
2015,,,,Київська,92.53
2015,,,,Кіровоградська,83.53
2015,,,,Луганська,27.85
2015,,,,Львівська,82.77
2015,,,,Миколаївська,82.26
2015,,,,Одеська,85.65
2015,,,,Полтавська,84.5
2015,,,,Рівненська,83.85
2015,,,,Сумська,81.89
2015,,,,Тернопільська,80.55
2015,,,,Харківська,85.14
2015,,,,Херсонська,84.4
2015,,,,Хмельницька,83.31
2015,,,,Черкаська,82.95
2015,,,,Чернівецька,82.16
2015,,,,Чернігівська,85.51
2015,,,,м. Київ,84.83
2015,,,,м. Севастополь,
2016,,,,,77.21
2016,дівчатка,,,,77.42
2016,хлопчики,,,,75.29
2016,,6 років,,,58.68
2016,,7 років,,,89.03
2016,,8 років,,,91.61
2016,,9 років,,,91.23
2016,,10 років,,,90.2
2016,,11 років,,,90.25
2016,,12 років,,,91.68
2016,,13 років,,,91.81
2016,,14 років,,,92.0
2016,,15 років,,,67.89
2016,,16 років,,,54.02
2016,,17 років,,,16.53
2016,,,міська,,78.95
2016,,,сільська,,71.28
2016,,,,Автономна Республіка Крим,
2016,,,,Вінницька,81.01
2016,,,,Волинська,83.97
2016,,,,Дніпропетровська,84.82
2016,,,,Донецька,35.2
2016,,,,Житомирська,83.18
2016,,,,Закарпатська,85.12
2016,,,,Запорізька,84.28
2016,,,,Івано-Франківська,81.41
2016,,,,Київська,93.35
2016,,,,Кіровоградська,83.2
2016,,,,Луганська,24.09
2016,,,,Львівська,83.45
2016,,,,Миколаївська,81.98
2016,,,,Одеська,85.11
2016,,,,Полтавська,84.24
2016,,,,Рівненська,84.19
2016,,,,Сумська,81.9
2016,,,,Тернопільська,80.04
2016,,,,Харківська,84.39
2016,,,,Херсонська,83.3
2016,,,,Хмельницька,83.39
2016,,,,Черкаська,83.39
2016,,,,Чернівецька,82.38
2016,,,,Чернігівська,85.69
2016,,,,м. Київ,85.01
2016,,,,м. Севастополь,
2017,,,,,77.39
2017,дівчатка,,,,77.65
2017,хлопчики,,,,75.41
2017,,6 років,,,58.08
2017,,7 років,,,89.2
2017,,8 років,,,90.16
2017,,9 років,,,91.25
2017,,10 років,,,90.77
2017,,11 років,,,89.74
2017,,12 років,,,90.08
2017,,13 років,,,91.48
2017,,14 років,,,90.72
2017,,15 років,,,66.36
2017,,16 років,,,53.75
2017,,17 років,,,16.12
2017,,,міська,,79.94
2017,,,сільська,,69.82
2017,,,,Автономна Республіка Крим,
2017,,,,Вінницька,81.61
2017,,,,Волинська,84.1
2017,,,,Дніпропетровська,84.65
2017,,,,Донецька,35.29
2017,,,,Житомирська,83.21
2017,,,,Закарпатська,84.84
2017,,,,Запорізька,83.91
2017,,,,Івано-Франківська,81.87
2017,,,,Київська,93.72
2017,,,,Кіровоградська,82.48
2017,,,,Луганська,24.04
2017,,,,Львівська,84.12
2017,,,,Миколаївська,81.74
2017,,,,Одеська,85.15
2017,,,,Полтавська,84.34
2017,,,,Рівненська,84.7
2017,,,,Сумська,81.94
2017,,,,Тернопільська,80.48
2017,,,,Харківська,85.26
2017,,,,Херсонська,82.6
2017,,,,Хмельницька,83.15
2017,,,,Черкаська,83.45
2017,,,,Чернівецька,83.22
2017,,,,Чернігівська,85.44
2017,,,,м. Київ,85.83
2017,,,,м. Севастополь,
2018,,,,,77.37
2018,дівчатка,,,,77.7
2018,хлопчики,,,,75.35
2018,,6 років,,,57.94
2018,,7 років,,,89.28
2018,,8 років,,,90.31
2018,,9 років,,,90.15
2018,,10 років,,,90.6
2018,,11 років,,,90.51
2018,,12 років,,,89.84
2018,,13 років,,,89.58
2018,,14 років,,,90.67
