Year,Стать,Місцевість проживання,Тип закладу освіти,Соціально-економічний статус,Навчальні предмети,Value
2015,дівчатка,,,,,
2016,дівчатка,,,,,
2017,дівчатка,,,,,
2018,дівчатка,,,,,
2019,дівчатка,,,,,
2020,дівчатка,,,,,
2021,дівчатка,,,,,
2022,дівчатка,,,,,
2023,дівчатка,,,,,19.02
2024,дівчатка,,,,,22.76
2015,хлопчики,,,,,
2016,хлопчики,,,,,
2017,хлопчики,,,,,
2018,хлопчики,,,,,
2019,хлопчики,,,,,
2020,хлопчики,,,,,
2021,хлопчики,,,,,
2022,хлопчики,,,,,
2023,хлопчики,,,,,16.17
2024,хлопчики,,,,,18.49
2015,,міська,,,,
2016,,міська,,,,
2017,,міська,,,,
2018,,міська,,,,
2019,,міська,,,,
2020,,міська,,,,
2021,,міська,,,,
2022,,міська,,,,
2023,,міська,,,,28.35
2024,,міська,,,,31.7
2015,,сільська,,,,
2016,,сільська,,,,
2017,,сільська,,,,
2018,,сільська,,,,
2019,,сільська,,,,
2020,,сільська,,,,
2021,,сільська,,,,
2022,,сільська,,,,
2023,,сільська,,,,6.84
2024,,сільська,,,,10.15
2015,,,ліцей,,,
2016,,,ліцей,,,
2017,,,ліцей,,,
2018,,,ліцей,,,
2019,,,ліцей,,,
2020,,,ліцей,,,
2021,,,ліцей,,,
2022,,,ліцей,,,
2023,,,ліцей,,,18.46
2024,,,ліцей,,,20.75
2015,,,гімназія,,,
2016,,,гімназія,,,
2017,,,гімназія,,,
2018,,,гімназія,,,
2019,,,гімназія,,,
2020,,,гімназія,,,
2021,,,гімназія,,,
2022,,,гімназія,,,
2023,,,гімназія,,,4.75
2024,,,гімназія,,,9.94
2015,,,заклади загальної середньої освіти (ЗЗСО),,,
2016,,,заклади загальної середньої освіти (ЗЗСО),,,
2017,,,заклади загальної середньої освіти (ЗЗСО),,,
2018,,,заклади загальної середньої освіти (ЗЗСО),,,
2019,,,заклади загальної середньої освіти (ЗЗСО),,,
2020,,,заклади загальної середньої освіти (ЗЗСО),,,
2021,,,заклади загальної середньої освіти (ЗЗСО),,,
2022,,,заклади загальної середньої освіти (ЗЗСО),,,
2023,,,заклади загальної середньої освіти (ЗЗСО),,,4.56
2024,,,заклади загальної середньої освіти (ЗЗСО),,,4.95
2015,,,інші,,,
2016,,,інші,,,
2017,,,інші,,,
2018,,,інші,,,
2019,,,інші,,,
2020,,,інші,,,
2021,,,інші,,,
2022,,,інші,,,
2023,,,інші,,,7.42
2024,,,інші,,,6.21
2015,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2016,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2017,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2018,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2019,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2020,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2021,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2022,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,
2023,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,12.4
2024,,,,"учасники, які мають друковані книги та інші матеріали, необхідні для навчання",,15.87
2015,,,,наявність власного простору (кімнати чи робочого місця),,
2016,,,,наявність власного простору (кімнати чи робочого місця),,
2017,,,,наявність власного простору (кімнати чи робочого місця),,
2018,,,,наявність власного простору (кімнати чи робочого місця),,
2019,,,,наявність власного простору (кімнати чи робочого місця),,
2020,,,,наявність власного простору (кімнати чи робочого місця),,
2021,,,,наявність власного простору (кімнати чи робочого місця),,
2022,,,,наявність власного простору (кімнати чи робочого місця),,
2023,,,,наявність власного простору (кімнати чи робочого місця),,15.18
2024,,,,наявність власного простору (кімнати чи робочого місця),,19.39
2015,,,,,математика 6-й клас,
2016,,,,,математика 6-й клас,
2017,,,,,математика 6-й клас,
2018,,,,,математика 6-й клас,
2019,,,,,математика 6-й клас,
2020,,,,,математика 6-й клас,
2021,,,,,математика 6-й клас,
2022,,,,,математика 6-й клас,
2023,,,,,математика 6-й клас,28.0
2024,,,,,математика 6-й клас,34.98
2015,,,,,математика 8-й клас,
2016,,,,,математика 8-й клас,
2017,,,,,математика 8-й клас,
2018,,,,,математика 8-й клас,
2019,,,,,математика 8-й клас,
2020,,,,,математика 8-й клас,
2021,,,,,математика 8-й клас,
2022,,,,,математика 8-й клас,
2023,,,,,математика 8-й клас,45.0
2024,,,,,математика 8-й клас,41.55
2015,,,,,українська мова 6-й клас,
2016,,,,,українська мова 6-й клас,
2017,,,,,українська мова 6-й клас,
2018,,,,,українська мова 6-й клас,
2019,,,,,українська мова 6-й клас,
2020,,,,,українська мова 6-й клас,
2021,,,,,українська мова 6-й клас,
2022,,,,,українська мова 6-й клас,
2023,,,,,українська мова 6-й клас,34.0
2024,,,,,українська мова 6-й клас,40.9
2015,,,,,українська мова 8-й клас,
2016,,,,,українська мова 8-й клас,
2017,,,,,українська мова 8-й клас,
2018,,,,,українська мова 8-й клас,
2019,,,,,українська мова 8-й клас,
2020,,,,,українська мова 8-й клас,
2021,,,,,українська мова 8-й клас,
2022,,,,,українська мова 8-й клас,
2023,,,,,українська мова 8-й клас,37.0
2024,,,,,українська мова 8-й клас,50.66
