Year,Стать,Вік,Область,Value
2015,,,,
2016,,,,
2017,,,,18.0
2017,дорослі,,,
2017,діти,,,
2017,,Жіноча,,
2017,,Чоловіча,,
2017,,,Автономна Республіка Крим,
2017,,,Вінницька,9.0
2017,,,Волинська,12.0
2017,,,Дніпропетровська,7.0
2017,,,Донецька,29.0
2017,,,Житомирська,18.0
2017,,,Закарпатська,21.0
2017,,,Запорізька,34.0
2017,,,Івано-Франківська,0.0
2017,,,Київська,25.0
2017,,,Кіровоградська,7.0
2017,,,Луганська,6.0
2017,,,Львівська,22.0
2017,,,Миколаївська,48.0
2017,,,Одеська,16.0
2017,,,Полтавська,0.0
2017,,,Рівненська,87.0
2017,,,Сумська,0.0
2017,,,Тернопільська,3.0
2017,,,Харківська,34.0
2017,,,Херсонська,5.0
2017,,,Хмельницька,33.0
2017,,,Черкаська,12.0
2017,,,Чернівецька,23.0
2017,,,Чернігівська,22.0
2017,,,м. Київ,25.0
2017,,,м. Севастополь,
2018,,,,15.0
2018,дорослі,,,
2018,діти,,,
2018,,Жіноча,,
2018,,Чоловіча,,
2018,,,Автономна Республіка Крим,
2018,,,Вінницька,6.0
2018,,,Волинська,9.0
2018,,,Дніпропетровська,8.0
2018,,,Донецька,40.0
2018,,,Житомирська,7.0
2018,,,Закарпатська,16.0
2018,,,Запорізька,37.0
2018,,,Івано-Франківська,0.0
2018,,,Київська,21.0
2018,,,Кіровоградська,11.0
2018,,,Луганська,3.0
2018,,,Львівська,21.0
2018,,,Миколаївська,23.0
2018,,,Одеська,9.0
2018,,,Полтавська,0.0
2018,,,Рівненська,52.0
2018,,,Сумська,0.0
2018,,,Тернопільська,1.0
2018,,,Харківська,45.0
2018,,,Херсонська,4.0
2018,,,Хмельницька,22.0
2018,,,Черкаська,7.0
2018,,,Чернівецька,21.0
2018,,,Чернігівська,29.0
2018,,,м. Київ,21.0
2018,,,м. Севастополь,
2019,,,,18.0
2019,дорослі,,,
2019,діти,,,
2019,,Жіноча,,
2019,,Чоловіча,,
2019,,,Автономна Республіка Крим,
2019,,,Вінницька,13.0
2019,,,Волинська,10.0
2019,,,Дніпропетровська,16.0
2019,,,Донецька,76.0
2019,,,Житомирська,7.0
2019,,,Закарпатська,11.0
2019,,,Запорізька,47.0
2019,,,Івано-Франківська,0.0
2019,,,Київська,7.0
