Year,Місцевість проживання,Область,Value
2015,,Україна,14.4
2015,міська,Україна,18.5
2015,сільська,Україна,6.7
2015,,Автономна Республіка Крим,
2015,,Вінницька,18.1
2015,,Волинська,12.2
2015,,Волинська,12.2
2015,,Дніпропетровська,19.0
2015,,Донецька,
2015,,Житомирська,15.6
2015,,Закарпатська,12.7
2015,,Запорізька,16.6
2015,,Івано-Франківська,14.5
2015,,Київська,16.3
2015,,Кіровоградська,17.1
2015,,Луганська,
2015,,Львівська,13.7
2015,,Миколаївська,17.9
2015,,Одеська,16.8
2015,,Полтавська,15.9
2015,,Рівненська,13.8
2015,,Сумська,14.6
2015,,Тернопільська,14.2
2015,,Харківська,15.4
2015,,Херсонська,18.6
2015,,Хмельницька,16.1
2015,,Черкаська,15.8
2015,,Чернівецька,14.9
2015,,Чернігівська,14.1
2015,,м. Київ,9.6
2015,,м. Севастополь,
2016,,Україна,15.3
2016,міська,Україна,19.7
2016,сільська,Україна,7.2
2016,,Автономна Республіка Крим,
2016,,Вінницька,18.7
2016,,Волинська,12.3
2016,,Волинська,12.3
2016,,Дніпропетровська,19.6
2016,,Донецька,
2016,,Житомирська,16.5
2016,,Закарпатська,13.1
2016,,Запорізька,17.0
2016,,Івано-Франківська,15.4
2016,,Київська,17.4
2016,,Кіровоградська,17.8
2016,,Луганська,
2016,,Львівська,14.3
2016,,Миколаївська,18.6
2016,,Одеська,17.5
2016,,Полтавська,16.7
2016,,Рівненська,14.4
2016,,Сумська,15.3
2016,,Тернопільська,14.9
2016,,Харківська,16.1
2016,,Херсонська,19.4
2016,,Хмельницька,16.9
2016,,Черкаська,16.6
2016,,Чернівецька,15.7
2016,,Чернігівська,14.9
2016,,м. Київ,10.1
2016,,м. Севастополь,
2017,,Україна,16.0
2017,міська,Україна,20.6
2017,сільська,Україна,7.6
2017,,Автономна Республіка Крим,
2017,,Вінницька,20.7
2017,,Волинська,13.1
2017,,Волинська,13.1
2017,,Дніпропетровська,20.5
2017,,Донецька,
2017,,Житомирська,16.7
2017,,Закарпатська,14.2
2017,,Запорізька,17.8
2017,,Івано-Франківська,15.8
2017,,Київська,18.0
2017,,Кіровоградська,18.7
2017,,Луганська,
2017,,Львівська,14.7
2017,,Миколаївська,19.5
2017,,Одеська,18.2
2017,,Полтавська,17.3
2017,,Рівненська,15.1
2017,,Сумська,16.0
2017,,Тернопільська,15.6
2017,,Харківська,16.9
2017,,Херсонська,20.3
2017,,Хмельницька,17.7
2017,,Черкаська,17.3
2017,,Чернівецька,16.4
2017,,Чернігівська,15.6
2017,,м. Київ,10.6
2017,,м. Севастополь,
2018,,Україна,16.9
2018,міська,Україна,21.7
2018,сільська,Україна,8.0
2018,,Автономна Республіка Крим,
2018,,Вінницька,22.7
2018,,Волинська,13.6
2018,,Волинська,13.6
2018,,Дніпропетровська,21.0
2018,,Донецька,
2018,,Житомирська,18.4
2018,,Закарпатська,14.8
2018,,Запорізька,19.1
2018,,Івано-Франківська,17.2
2018,,Київська,19.3
2018,,Кіровоградська,20.2
2018,,Луганська,
2018,,Львівська,15.8
2018,,Миколаївська,20.7
2018,,Одеська,19.4
2018,,Полтавська,18.6
2018,,Рівненська,16.3
2018,,Сумська,17.2
2018,,Тернопільська,16.8
2018,,Харківська,18.2
2018,,Херсонська,21.5
2018,,Хмельницька,18.9
2018,,Черкаська,18.5
2018,,Чернівецька,17.6
2018,,Чернігівська,16.8
2018,,м. Київ,11.4
2018,,м. Севастополь,
2019,,Україна,17.9
2019,міська,Україна,23.0
2019,сільська,Україна,8.4
2019,,Автономна Республіка Крим,
2019,,Вінницька,22.9
2019,,Волинська,14.2
2019,,Волинська,14.2
2019,,Дніпропетровська,21.3
2019,,Донецька,
2019,,Житомирська,18.8
2019,,Закарпатська,15.7
2019,,Запорізька,20.4
2019,,Івано-Франківська,17.7
2019,,Київська,20.4
2019,,Кіровоградська,21.0
2019,,Луганська,
2019,,Львівська,16.4
2019,,Миколаївська,21.6
2019,,Одеська,20.3
2019,,Полтавська,19.2
