Year,Види економічної діяльності,Область,Value
2016,,,
2016,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,
2016,Вирощування рису,,
2016,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,
2016,Вирощування тютюну,,
2016,Вирощування прядивних культур,,
2016,Вирощування інших однорічних і дворічних культур,,
2016,Вирощування винограду,,
2016,Вирощування тропічних і субтропічних фруктів,,
2016,Вирощування цитрусових,,
2016,Вирощування зерняткових і кісточкових фруктів,,
2016,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,
2016,Вирощування олійних плодів,,
2016,"Вирощування пряних, ароматичних і лікарських культур",,
2016,Вирощування інших багаторічних культур,,
2016,Відтворення рослин,,
2016,Розведення великої рогатої худоби молочних порід,,
2016,Розведення іншої великої рогатої худоби та буйволів,,
2016,Розведення коней та інших тварин родини конячих,,
2016,Розведення овець і кіз,,
2016,Розведення свиней,,
2016,Розведення свійської птиці,,
2016,Розведення інших тварин,,
2016,Змішане сільське господарство,,
2016,Допоміжна діяльність у рослинництві,,
2016,Допоміжна діяльність у тваринництві,,
2016,Післяурожайна діяльність,,
2016,Оброблення насіння для відтворення,,
2016,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,
2016,Лісівництво та інша діяльність у лісовому господарстві,,
2016,Лісозаготівлі,,
2016,Збирання дикорослих недеревних продуктів,,
2016,Надання допоміжних послуг у лісовому господарстві,,
2016,Морське рибальство,,
2016,Прісноводне рибальство,,
2016,Морське рибництво (аквакультура),,
2016,Прісноводне рибництво (аквакультура),,
2016,Добування бурого вугілля,,
2016,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,
2016,"Добування піску, гравію, глин і каоліну",,
2016,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,
2016,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,
2016,Виробництво м'яса,,
2016,Виробництво м'яса свійської птиці,,
2016,Виробництво м'ясних продуктів,,
2016,"Перероблення та консервування риби, ракоподібних і молюсків",,
2016,Перероблення та консервування картоплі,,
2016,Виробництво фруктових і овочевих соків,,
2016,Інші види перероблення та консервування фруктів і овочів,,
2016,Виробництво олії та тваринних жирів,,
2016,Виробництво маргарину і подібних харчових жирів,,
2016,"Перероблення молока, виробництво масла та сиру",,
2016,Виробництво морозива,,
2016,Виробництво продуктів борошномельно-круп'яної промисловості,,
2016,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",,
