Year,Види економічної діяльності,Річкові басейни,Область,Value
2015,,,,875.1
2015,,район басейну річок Приазов’я,,236.4
2015,,район басейну річок Причорномор’я,,25.88
2015,,район басейну річок Криму,,
2015,,район басейну річки Дунай,,19.35
2015,,район басейну річки Дністер,,11.17
2015,,район басейну річки Дніпро,,425.8
2015,,район басейну річки Дон,,91.23
2015,,район басейну річки Південний Буг,,25.83
2015,,район басейну річки Вісла,,39.51
2015,Тимчасове розміщування й організація харчування,,,
2015,Діяльність у сфері адміністративного та допоміжного обслуговування,,,
2015,"Сільське господарство, лісове господарство та рибне господарство",,,
2015,"Мистецтво, спорт, розваги та відпочинок",,,
2015,Будівництво,,,
2015,Освіта,,,
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,
2015,Фінансова та страхова діяльність,,,
2015,Діяльність домашніх господарств,,,
2015,Охорона здоров'я та надання соціальної допомоги,,,
2015,Інформація та телекомунікації,,,
2015,Переробна промисловість,,,
2015,Добувна промисловість і розроблення кар'єрів,,,
2015,Надання інших видів послуг,,,
2015,"Професійна, наукова та технічна діяльність",,,
2015,Державне управління й оборона; обов'язкове соціальне страхування,,,
2015,Операції з нерухомим майном,,,
2015,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,
2015,"Водопостачання; каналізація, поводження з відходами",,,
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,
2015,,,Україна,875.1
2015,,,Автономна Республіка Крим,
2015,,,Вінницька,0.617
2015,,,Волинська,0.327
2015,,,Дніпропетровська,266.6
2015,,,Донецька,263.7
2015,,,Житомирська,2.565
2015,,,Закарпатська,2.434
2015,,,Запорізька,70.04
2015,,,Івано-Франківська,0.649
2015,,,Київська,3.727
2015,,,Кіровоградська,4.166
2015,,,Луганська,72.21
2015,,,Львівська,45.08
2015,,,Миколаївська,20.98
2015,,,Одеська,43.69
2015,,,Полтавська,2.931
2015,,,Рівненська,5.67
2015,,,Сумська,21.98
2015,,,Тернопільська,2.327
2015,,,Харківська,10.41
2015,,,Херсонська,0.153
2015,,,Хмельницька,0.648
2015,,,Черкаська,5.958
2015,,,Чернівецька,2.268
2015,,,Чернігівська,4.968
2015,,,м. Київ,20.96
2015,,,м. Севастополь,
2016,,,,698.3
2016,,район басейну річок Приазов’я,,168.1
2016,,район басейну річок Причорномор’я,,11.01
2016,,район басейну річок Криму,,
2016,,район басейну річки Дунай,,20.57
2016,,район басейну річки Дністер,,11.87
2016,,район басейну річки Дніпро,,377.8
2016,,район басейну річки Дон,,42.64
2016,,район басейну річки Південний Буг,,26.19
2016,,район басейну річки Вісла,,40.11
2016,Тимчасове розміщування й організація харчування,,,
2016,Діяльність у сфері адміністративного та допоміжного обслуговування,,,
2016,"Сільське господарство, лісове господарство та рибне господарство",,,
2016,"Мистецтво, спорт, розваги та відпочинок",,,
2016,Будівництво,,,
2016,Освіта,,,
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,
2016,Фінансова та страхова діяльність,,,
2016,Діяльність домашніх господарств,,,
2016,Охорона здоров'я та надання соціальної допомоги,,,
2016,Інформація та телекомунікації,,,
2016,Переробна промисловість,,,
2016,Добувна промисловість і розроблення кар'єрів,,,
2016,Надання інших видів послуг,,,
2016,"Професійна, наукова та технічна діяльність",,,
2016,Державне управління й оборона; обов'язкове соціальне страхування,,,
2016,Операції з нерухомим майном,,,
2016,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,
2016,"Водопостачання; каналізація, поводження з відходами",,,
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,
2016,,,Україна,698.3
2016,,,Автономна Республіка Крим,
2016,,,Вінницька,0.046
2016,,,Волинська,0.326
2016,,,Дніпропетровська,243.8
2016,,,Донецька,180.2
2016,,,Житомирська,2.384
2016,,,Закарпатська,4.028
2016,,,Запорізька,64.3
2016,,,Івано-Франківська,1.035
2016,,,Київська,4.745
2016,,,Кіровоградська,1.429
2016,,,Луганська,19.14
2016,,,Львівська,46.16
2016,,,Миколаївська,22.16
2016,,,Одеська,28.53
2016,,,Полтавська,2.847
2016,,,Рівненська,4.626
2016,,,Сумська,23.73
2016,,,Тернопільська,2.454
2016,,,Харківська,9.77
2016,,,Херсонська,0.989
2016,,,Хмельницька,0.427
2016,,,Черкаська,7.318
2016,,,Чернівецька,1.932
2016,,,Чернігівська,6.272
2016,,,м. Київ,19.73
2016,,,м. Севастополь,
2017,,,,997.3
2017,,район басейну річок Приазов’я,,190.5
2017,,район басейну річок Причорномор’я,,12.07
2017,,район басейну річок Криму,,
2017,,район басейну річки Дунай,,24.64
2017,,район басейну річки Дністер,,11.74
2017,,район басейну річки Дніпро,,627.6
2017,,район басейну річки Дон,,41.55
2017,,район басейну річки Південний Буг,,24.73
2017,,район басейну річки Вісла,,64.52
2017,Тимчасове розміщування й організація харчування,,,
2017,Діяльність у сфері адміністративного та допоміжного обслуговування,,,
2017,"Сільське господарство, лісове господарство та рибне господарство",,,
2017,"Мистецтво, спорт, розваги та відпочинок",,,
2017,Будівництво,,,
2017,Освіта,,,
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,
2017,Фінансова та страхова діяльність,,,
2017,Діяльність домашніх господарств,,,
2017,Охорона здоров'я та надання соціальної допомоги,,,
2017,Інформація та телекомунікації,,,
2017,Переробна промисловість,,,
2017,Добувна промисловість і розроблення кар'єрів,,,
2017,Надання інших видів послуг,,,
2017,"Професійна, наукова та технічна діяльність",,,
2017,Державне управління й оборона; обов'язкове соціальне страхування,,,
2017,Операції з нерухомим майном,,,
2017,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,
2017,"Водопостачання; каналізація, поводження з відходами",,,
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,
2017,,,Україна,997.3
2017,,,Автономна Республіка Крим,
2017,,,Вінницька,0.833
2017,,,Волинська,0.106
2017,,,Дніпропетровська,230.3
2017,,,Донецька,199.4
2017,,,Житомирська,1.994
2017,,,Закарпатська,4.236
2017,,,Запорізька,64.17
2017,,,Івано-Франківська,1.103
2017,,,Київська,1.958
2017,,,Кіровоградська,1.328
2017,,,Луганська,18.46
2017,,,Львівська,70.81
2017,,,Миколаївська,22.36
2017,,,Одеська,32.65
2017,,,Полтавська,1.568
2017,,,Рівненська,4.498
2017,,,Сумська,23.03
2017,,,Тернопільська,2.603
2017,,,Харківська,9.81
2017,,,Херсонська,0.912
2017,,,Хмельницька,0.606
2017,,,Черкаська,4.486
2017,,,Чернівецька,1.871
2017,,,Чернігівська,13.94
2017,,,м. Київ,284.3
2017,,,м. Севастополь,
2018,,,,952.0
2018,,район басейну річок Приазов’я,,175.5
2018,,район басейну річок Причорномор’я,,12.25
2018,,район басейну річок Криму,,
2018,,район басейну річки Дунай,,7.111
2018,,район басейну річки Дністер,,11.66
2018,,район басейну річки Дніпро,,636.3
2018,,район басейну річки Дон,,46.99
2018,,район басейну річки Південний Буг,,26.03
2018,,район басейну річки Вісла,,36.12
2018,Тимчасове розміщування й організація харчування,,,
2018,Діяльність у сфері адміністративного та допоміжного обслуговування,,,
2018,"Сільське господарство, лісове господарство та рибне господарство",,,
2018,"Мистецтво, спорт, розваги та відпочинок",,,
2018,Будівництво,,,
2018,Освіта,,,
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,
2018,Фінансова та страхова діяльність,,,
2018,Діяльність домашніх господарств,,,
2018,Охорона здоров'я та надання соціальної допомоги,,,
2018,Інформація та телекомунікації,,,
2018,Переробна промисловість,,,
2018,Добувна промисловість і розроблення кар'єрів,,,
2018,Надання інших видів послуг,,,
2018,"Професійна, наукова та технічна діяльність",,,
2018,Державне управління й оборона; обов'язкове соціальне страхування,,,
2018,Операції з нерухомим майном,,,
2018,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,
2018,"Водопостачання; каналізація, поводження з відходами",,,
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,
2018,,,Україна,952.0
2018,,,Автономна Республіка Крим,
2018,,,Вінницька,0.988
2018,,,Волинська,0.428
2018,,,Дніпропетровська,233.9
2018,,,Донецька,185.6
2018,,,Житомирська,2.066
2018,,,Закарпатська,3.567
2018,,,Запорізька,65.95
2018,,,Івано-Франківська,0.56
2018,,,Київська,2.317
2018,,,Кіровоградська,3.319
2018,,,Луганська,17.94
2018,,,Львівська,42.01
2018,,,Миколаївська,21.22
2018,,,Одеська,14.91
2018,,,Полтавська,2.174
2018,,,Рівненська,4.449
2018,,,Сумська,23.11
2018,,,Тернопільська,2.554
2018,,,Харківська,14.07
2018,,,Херсонська,2.106
2018,,,Хмельницька,1.001
2018,,,Черкаська,7.171
2018,,,Чернівецька,1.89
2018,,,Чернігівська,15.57
2018,,,м. Київ,283.3
2018,,,м. Севастополь,
2019,,,,737.2
2019,,район басейну річок Приазов’я,,34.2
2019,,район басейну річок Причорномор’я,,1.939
2019,,район басейну річок Криму,,
2019,,район басейну річки Дунай,,36.53
2019,,район басейну річки Дністер,,10.31
2019,,район басейну річки Дніпро,,546.5
2019,,район басейну річки Дон,,46.31
2019,,район басейну річки Південний Буг,,21.59
2019,,район басейну річки Вісла,,39.85
2019,Тимчасове розміщування й організація харчування,,,
2019,Діяльність у сфері адміністративного та допоміжного обслуговування,,,
2019,"Сільське господарство, лісове господарство та рибне господарство",,,
2019,"Мистецтво, спорт, розваги та відпочинок",,,
2019,Будівництво,,,
2019,Освіта,,,
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,
2019,Фінансова та страхова діяльність,,,
2019,Діяльність домашніх господарств,,,
2019,Охорона здоров'я та надання соціальної допомоги,,,
2019,Інформація та телекомунікації,,,
2019,Переробна промисловість,,,
2019,Добувна промисловість і розроблення кар'єрів,,,
2019,Надання інших видів послуг,,,
2019,"Професійна, наукова та технічна діяльність",,,
2019,Державне управління й оборона; обов'язкове соціальне страхування,,,
2019,Операції з нерухомим майном,,,
2019,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,
2019,"Водопостачання; каналізація, поводження з відходами",,,
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,
2019,,,Україна,737.2
2019,,,Автономна Республіка Крим,
2019,,,Вінницька,0.672
2019,,,Волинська,0.472
2019,,,Дніпропетровська,200.0
2019,,,Донецька,45.33
2019,,,Житомирська,1.894
2019,,,Закарпатська,2.63
2019,,,Запорізька,11.04
2019,,,Івано-Франківська,0.604
2019,,,Київська,2.284
2019,,,Кіровоградська,3.024
2019,,,Луганська,15.64
2019,,,Львівська,45.43
2019,,,Миколаївська,19.66
2019,,,Одеська,36.21
2019,,,Полтавська,1.974
2019,,,Рівненська,4.631
2019,,,Сумська,21.23
2019,,,Тернопільська,2.371
2019,,,Харківська,14.73
2019,,,Херсонська,0.639
2019,,,Хмельницька,1.046
2019,,,Черкаська,2.854
2019,,,Чернівецька,1.366
2019,,,Чернігівська,14.1
2019,,,м. Київ,287.4
2019,,,м. Севастополь,
2020,,,,518.351
2020,,район басейну річок Приазов’я,,17.899
2020,,район басейну річок Причорномор’я,,3.408
2020,,район басейну річок Криму,,
2020,,район басейну річки Дунай,,25.829
2020,,район басейну річки Дністер,,9.528
2020,,район басейну річки Дніпро,,227.896
2020,,район басейну річки Дон,,90.946
2020,,район басейну річки Південний Буг,,24.759
2020,,район басейну річки Вісла,,118.086
2020,Тимчасове розміщування й організація харчування,,,0.023
2020,Діяльність у сфері адміністративного та допоміжного обслуговування,,,0.719
2020,"Сільське господарство, лісове господарство та рибне господарство",,,24.581
2020,"Мистецтво, спорт, розваги та відпочинок",,,0.013
2020,Будівництво,,,2.406
2020,Освіта,,,0.254
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,4.292
2020,Фінансова та страхова діяльність,,,
2020,Діяльність домашніх господарств,,,
2020,Охорона здоров'я та надання соціальної допомоги,,,0.457
2020,Інформація та телекомунікації,,,
2020,Переробна промисловість,,,25.49
2020,Добувна промисловість і розроблення кар'єрів,,,77.591
2020,Надання інших видів послуг,,,
2020,"Професійна, наукова та технічна діяльність",,,0.008
2020,Державне управління й оборона; обов'язкове соціальне страхування,,,1.114
2020,Операції з нерухомим майном,,,0.227
2020,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,0.541
2020,"Водопостачання; каналізація, поводження з відходами",,,380.58
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,0.056
2020,,,Україна,518.351
2020,,,Автономна Республіка Крим,
2020,,,Вінницька,0.133
2020,,,Волинська,0.423
2020,,,Дніпропетровська,127.731
2020,,,Донецька,76.398
2020,,,Житомирська,1.903
2020,,,Закарпатська,3.532
2020,,,Запорізька,11.597
2020,,,Івано-Франківська,1.34
2020,,,Київська,2.202
2020,,,Кіровоградська,3.624
2020,,,Луганська,33.797
2020,,,Львівська,123.15
2020,,,Миколаївська,20.69
2020,,,Одеська,24.558
2020,,,Полтавська,2.02
2020,,,Рівненська,14.983
2020,,,Сумська,19.889
2020,,,Тернопільська,2.067
2020,,,Харківська,12.547
2020,,,Херсонська,2.525
2020,,,Хмельницька,1.077
2020,,,Черкаська,3.203
2020,,,Чернівецька,1.697
2020,,,Чернігівська,10.777
2020,,,м. Київ,16.488
2020,,,м. Севастополь,
2021,,,,543.093
2021,,район басейну річок Приазов’я,,29.894
2021,,район басейну річок Причорномор’я,,3.311
2021,,район басейну річок Криму,,
2021,,район басейну річки Дунай,,33.597
2021,,район басейну річки Дністер,,10.8
2021,,район басейну річки Дніпро,,256.592
2021,,район басейну річки Дон,,69.206
2021,,район басейну річки Південний Буг,,25.468
2021,,район басейну річки Вісла,,114.225
2021,Тимчасове розміщування й організація харчування,,,0.074
2021,Діяльність у сфері адміністративного та допоміжного обслуговування,,,1.346
2021,"Сільське господарство, лісове господарство та рибне господарство",,,35.331
2021,"Мистецтво, спорт, розваги та відпочинок",,,0.016
2021,Будівництво,,,2.484
2021,Освіта,,,0.254
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,3.023
2021,Фінансова та страхова діяльність,,,
2021,Діяльність домашніх господарств,,,
2021,Охорона здоров'я та надання соціальної допомоги,,,0.465
2021,Інформація та телекомунікації,,,
2021,Переробна промисловість,,,16.478
2021,Добувна промисловість і розроблення кар'єрів,,,100.205
2021,Надання інших видів послуг,,,0.006
2021,"Професійна, наукова та технічна діяльність",,,0.007
2021,Державне управління й оборона; обов'язкове соціальне страхування,,,0.691
2021,Операції з нерухомим майном,,,0.147
2021,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,1.443
2021,"Водопостачання; каналізація, поводження з відходами",,,381.066
2021,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,0.057
2021,,,Україна,543.093
2021,,,Автономна Республіка Крим,
2021,,,Вінницька,0.814
2021,,,Волинська,0.485
2021,,,Дніпропетровська,120.326
2021,,,Донецька,90.022
2021,,,Житомирська,2.109
2021,,,Закарпатська,3.877
2021,,,Запорізька,7.116
2021,,,Івано-Франківська,1.307
2021,,,Київська,1.165
2021,,,Кіровоградська,16.045
2021,,,Луганська,21.229
2021,,,Львівська,119.826
2021,,,Миколаївська,20.241
2021,,,Одеська,33.084
2021,,,Полтавська,24.806
2021,,,Рівненська,8.25
2021,,,Сумська,18.51
2021,,,Тернопільська,2.173
2021,,,Харківська,5.367
2021,,,Херсонська,8.838
2021,,,Хмельницька,1.229
2021,,,Черкаська,4.134
2021,,,Чернівецька,1.376
2021,,,Чернігівська,14.506
2021,,,м. Київ,16.259
2021,,,м. Севастополь,
2022,,,,374.027
2022,,район басейну річок Приазов’я,,
2022,,район басейну річок Причорномор’я,,1.42
2022,,район басейну річок Криму,,
2022,,район басейну річки Дунай,,6.437
2022,,район басейну річки Дністер,,8.011
2022,,район басейну річки Дніпро,,210.212
2022,,район басейну річки Дон,,20.585
2022,,район басейну річки Південний Буг,,18.077
2022,,район басейну річки Вісла,,109.285
2022,Тимчасове розміщування й організація харчування,,,0.046
2022,Діяльність у сфері адміністративного та допоміжного обслуговування,,,0.512
2022,"Сільське господарство, лісове господарство та рибне господарство",,,14.242
2022,"Мистецтво, спорт, розваги та відпочинок",,,0.021
2022,Будівництво,,,0.568
2022,Освіта,,,0.271
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,0.215
2022,Фінансова та страхова діяльність,,,
2022,Діяльність домашніх господарств,,,
2022,Охорона здоров'я та надання соціальної допомоги,,,0.319
2022,Інформація та телекомунікації,,,
2022,Переробна промисловість,,,9.363
2022,Добувна промисловість і розроблення кар'єрів,,,77.409
2022,Надання інших видів послуг,,,
2022,"Професійна, наукова та технічна діяльність",,,0.023
2022,Державне управління й оборона; обов'язкове соціальне страхування,,,0.62
2022,Операції з нерухомим майном,,,0.135
2022,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,0.466
2022,"Водопостачання; каналізація, поводження з відходами",,,269.743
2022,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,0.074
2022,,,Україна,374.027
2022,,,Автономна Республіка Крим,
2022,,,Вінницька,0.52
2022,,,Волинська,
2022,,,Дніпропетровська,110.678
2022,,,Донецька,36.886
2022,,,Житомирська,1.289
2022,,,Закарпатська,3.733
2022,,,Запорізька,1.093
2022,,,Івано-Франківська,0.198
2022,,,Київська,1.677
2022,,,Кіровоградська,17.298
2022,,,Луганська,
2022,,,Львівська,113.858
2022,,,Миколаївська,13.286
2022,,,Одеська,4.74
2022,,,Полтавська,23.321
2022,,,Рівненська,4.127
2022,,,Сумська,14.838
2022,,,Тернопільська,2.074
2022,,,Харківська,3.322
2022,,,Херсонська,
2022,,,Хмельницька,0.394
2022,,,Черкаська,3.668
2022,,,Чернівецька,1.061
2022,,,Чернігівська,0.742
2022,,,м. Київ,15.228
2022,,,м. Севастополь,
2023,,,,375.647
2023,,район басейну річок Приазов’я,,
2023,,район басейну річок Причорномор’я,,1.505
2023,,район басейну річок Криму,,
2023,,район басейну річки Дунай,,17.854
2023,,район басейну річки Дністер,,9.434
2023,,район басейну річки Дніпро,,192.537
2023,,район басейну річки Дон,,22.07
2023,,район басейну річки Південний Буг,,19.324
2023,,район басейну річки Вісла,,112.923
2023,Тимчасове розміщування й організація харчування,,,0.044
2023,Діяльність у сфері адміністративного та допоміжного обслуговування,,,1.861
2023,"Сільське господарство, лісове господарство та рибне господарство",,,19.374
2023,"Мистецтво, спорт, розваги та відпочинок",,,0.093
2023,Будівництво,,,0.006
2023,Освіта,,,0.308
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,3.029
2023,Фінансова та страхова діяльність,,,
2023,Діяльність домашніх господарств,,,
2023,Охорона здоров'я та надання соціальної допомоги,,,0.352
2023,Інформація та телекомунікації,,,0.004
2023,Переробна промисловість,,,10.576
2023,Добувна промисловість і розроблення кар'єрів,,,50.179
2023,Надання інших видів послуг,,,
2023,"Професійна, наукова та технічна діяльність",,,0.241
2023,Державне управління й оборона; обов'язкове соціальне страхування,,,0.65
2023,Операції з нерухомим майном,,,0.149
2023,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,1.092
2023,"Водопостачання; каналізація, поводження з відходами",,,287.62
2023,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,0.07
2023,,,Україна,375.647
2023,,,Автономна Республіка Крим,
2023,,,Вінницька,0.423
2023,,,Волинська,0.046
2023,,,Дніпропетровська,106.636
2023,,,Донецька,33.315
2023,,,Житомирська,1.301
2023,,,Закарпатська,5.907
2023,,,Запорізька,1.285
2023,,,Івано-Франківська,1.121
2023,,,Київська,0.699
2023,,,Кіровоградська,16.289
2023,,,Луганська,
2023,,,Львівська,118.51
2023,,,Миколаївська,14.643
2023,,,Одеська,13.548
2023,,,Полтавська,15.643
2023,,,Рівненська,7.576
2023,,,Сумська,13.904
2023,,,Тернопільська,1.667
2023,,,Харківська,3.852
2023,,,Херсонська,
2023,,,Хмельницька,0.586
2023,,,Черкаська,3.566
2023,,,Чернівецька,1.551
2023,,,Чернігівська,0.648
2023,,,м. Київ,12.932
2023,,,м. Севастополь,
2024,,,,328.621
2024,,район басейну річок Приазов’я,,
2024,,район басейну річок Причорномор’я,,1.748
2024,,район басейну річок Криму,,
2024,,район басейну річки Дунай,,12.136
2024,,район басейну річки Дністер,,8.419
2024,,район басейну річки Дніпро,,169.643
2024,,район басейну річки Дон,,8.038
2024,,район басейну річки Південний Буг,,21.518
2024,,район басейну річки Вісла,,107.12
2024,Тимчасове розміщування й організація харчування,,,0.072
2024,Діяльність у сфері адміністративного та допоміжного обслуговування,,,0.446
2024,"Сільське господарство, лісове господарство та рибне господарство",,,19.501
2024,"Мистецтво, спорт, розваги та відпочинок",,,0.09
2024,Будівництво,,,0.04
2024,Освіта,,,0.261
2024,"Постачання електроенергії, газу, пари та кондиційованого повітря",,,1.2
2024,Фінансова та страхова діяльність,,,
2024,Діяльність домашніх господарств,,,
2024,Охорона здоров'я та надання соціальної допомоги,,,0.435
2024,Інформація та телекомунікації,,,0.004
2024,Переробна промисловість,,,7.769
2024,Добувна промисловість і розроблення кар'єрів,,,32.478
2024,Надання інших видів послуг,,,
2024,"Професійна, наукова та технічна діяльність",,,0.091
2024,Державне управління й оборона; обов'язкове соціальне страхування,,,0.597
2024,Операції з нерухомим майном,,,0.124
2024,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,1.282
2024,"Водопостачання; каналізація, поводження з відходами",,,264.191
2024,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,0.041
2024,,,Україна,328.621
2024,,,Автономна Республіка Крим,
2024,,,Вінницька,0.551
2024,,,Волинська,
2024,,,Дніпропетровська,106.493
2024,,,Донецька,9.433
2024,,,Житомирська,2.024
2024,,,Закарпатська,3.611
2024,,,Запорізька,0.206
2024,,,Івано-Франківська,0.501
2024,,,Київська,1.19
2024,,,Кіровоградська,16.944
2024,,,Луганська,
2024,,,Львівська,112.256
2024,,,Миколаївська,16.732
2024,,,Одеська,10.262
2024,,,Полтавська,6.811
2024,,,Рівненська,2.925
2024,,,Сумська,13.974
2024,,,Тернопільська,1.651
