Year,Показники виробничо–технологічних витрат у мережах постачання природного газу,Value
2015,виробничо–технологічні витрати під час транспортування природного газу,1466
2016,виробничо–технологічні витрати під час транспортування природного газу,1610
2017,виробничо–технологічні витрати під час транспортування природного газу,2116
2018,виробничо–технологічні витрати під час транспортування природного газу,1760
2019,виробничо–технологічні витрати під час транспортування природного газу,1809
2020,виробничо–технологічні витрати під час транспортування природного газу,807
2021,виробничо–технологічні витрати під час транспортування природного газу,659
2022,виробничо–технологічні витрати під час транспортування природного газу,447
2023,виробничо–технологічні витрати під час транспортування природного газу,302
2024,виробничо–технологічні витрати під час транспортування природного газу,170
2025,виробничо–технологічні витрати під час транспортування природного газу,166
2015,виробничо–технологічні витрати під час розподілу природного газу,1041
2016,виробничо–технологічні витрати під час розподілу природного газу,978
2017,виробничо–технологічні витрати під час розподілу природного газу,973
2018,виробничо–технологічні витрати під час розподілу природного газу,1026
2019,виробничо–технологічні витрати під час розподілу природного газу,1377
2020,виробничо–технологічні витрати під час розподілу природного газу,1342
2021,виробничо–технологічні витрати під час розподілу природного газу,1713
2022,виробничо–технологічні витрати під час розподілу природного газу,1244
2023,виробничо–технологічні витрати під час розподілу природного газу,1047
2024,виробничо–технологічні витрати під час розподілу природного газу,950
2025,виробничо–технологічні витрати під час розподілу природного газу,911
