Year,Категорія,За секторами ПЕК,Value
2018,,,43
2018,,природний газ,52
2018,,електрична енергія,41
2018,,нафта й рідке паливо,31
2018,,теплова енергія,47
2018,Органи влади,,36
2018,Баланси,,50
2018,Споживання,,47
2018,Природні монополії,,43
2018,Політика,,20
2018,Надійність і безпека,,47
2018,Звітність,,53
2018,Постачання,,38
2019,,,48
2019,,природний газ,54
2019,,електрична енергія,49
2019,,нафта й рідке паливо,27
2019,,енергетичне вугілля,48
2019,,теплова енергія,48
2019,Органи влади,,50
2019,Баланси,,58
2019,Споживання,,53
2019,Природні монополії,,46
2019,Політика,,56
2019,Надійність і безпека,,50
2019,Звітність,,27
2019,Постачання,,49
2020,,,58
2020,,природний газ,64
2020,,електрична енергія,66
2020,,нафта й рідке паливо,22
2020,,енергетичне вугілля,48
2020,,теплова енергія,74
2020,Органи влади,,56
2020,Баланси,,58
2020,Споживання,,68
2020,Природні монополії,,59
2020,Політика,,59
2020,Надійність і безпека,,53
2020,Звітність,,35
2020,Постачання,,58
2021,,,63
2021,,природний газ,72
2021,,електрична енергія,73
2021,,нафта й рідке паливо,23
2021,,енергетичне вугілля,60
2021,,теплова енергія,69
2021,Органи влади,,57
2021,Баланси,,58
2021,Споживання,,70
2021,Природні монополії,,70
2021,Політика,,54
2021,Надійність і безпека,,54
2021,Звітність,,53
2021,Постачання,,63
2022,,,39
2022,,природний газ,47
2022,,електрична енергія,41
2022,,нафта й рідке паливо,14
2022,,енергетичне вугілля,26
2022,,теплова енергія,43
2022,Органи влади,,32
2022,Баланси,,21
2022,Споживання,,49
2022,Природні монополії,,44
2022,Політика,,44
2022,Надійність і безпека,,25
2022,Звітність,,33
2022,Постачання,,37
2023,,,41
2023,,природний газ,48
2023,,електрична енергія,37
2023,,нафта й рідке паливо,14
2023,,енергетичне вугілля,25
2023,,теплова енергія,42
2023,Органи влади,,50
2023,Баланси,,17
2023,Споживання,,49
2023,Природні монополії,,39
2023,Політика,,43
2023,Надійність і безпека,,25
2023,Звітність,,30
2023,Постачання,,43
2024,,,44
2024,,природний газ,54
2024,,електрична енергія,40
2024,,нафта й рідке паливо,19
2024,,енергетичне вугілля,25
2024,,теплова енергія,43
2024,Органи влади,,55
2024,Баланси,,16
2024,Споживання,,55
2024,Природні монополії,,42
2024,Політика,,51
2024,Надійність і безпека,,37
2024,Звітність,,18
2024,Постачання,,46
