Year,Види економічної діяльності,Value
2015,,79.1
2016,,80.4
2017,,80.8
2018,,81.5
2019,,82.2
2020,,82.4
2021,,81.6
2022,,81.7
2023,,82.2
2024,,82.0
2015,"Сільське господарство, лісове господарство та рибне господарство",92.5
2016,"Сільське господарство, лісове господарство та рибне господарство",94.2
2017,"Сільське господарство, лісове господарство та рибне господарство",95.7
2018,"Сільське господарство, лісове господарство та рибне господарство",94.8
2019,"Сільське господарство, лісове господарство та рибне господарство",92.9
2020,"Сільське господарство, лісове господарство та рибне господарство",93.3
2021,"Сільське господарство, лісове господарство та рибне господарство",92.5
2022,"Сільське господарство, лісове господарство та рибне господарство",92.9
2023,"Сільське господарство, лісове господарство та рибне господарство",85.4
2024,"Сільське господарство, лісове господарство та рибне господарство",85.9
2015,Промисловість,63.7
2016,Промисловість,66.9
2017,Промисловість,68.1
2018,Промисловість,68.5
2019,Промисловість,68.4
2020,Промисловість,68.5
2021,Промисловість,66.8
2022,Промисловість,68.5
2023,Промисловість,68.0
2024,Промисловість,67.1
2015,Будівництво,98.8
2016,Будівництво,к
2017,Будівництво,98.4
2018,Будівництво,97.8
2019,Будівництво,97.4
2020,Будівництво,96.2
2021,Будівництво,93.6
2022,Будівництво,96.3
2023,Будівництво,96.1
2024,Будівництво,95.3
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,88.8
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,88.2
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,87.2
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,87.2
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,85.9
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,85.2
2021,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,83.8
2022,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,82.5
2023,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,83.7
2024,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,82.9
2015,"Транспорт, складське господарство, поштова та кур'єрська діяльність",50.0
2016,"Транспорт, складське господарство, поштова та кур'єрська діяльність",50.3
2017,"Транспорт, складське господарство, поштова та кур'єрська діяльність",50.4
2018,"Транспорт, складське господарство, поштова та кур'єрська діяльність",51.0
2019,"Транспорт, складське господарство, поштова та кур'єрська діяльність",52.5
2020,"Транспорт, складське господарство, поштова та кур'єрська діяльність",52.9
2021,"Транспорт, складське господарство, поштова та кур'єрська діяльність",53.0
2022,"Транспорт, складське господарство, поштова та кур'єрська діяльність",52.5
2023,"Транспорт, складське господарство, поштова та кур'єрська діяльність",56.4
2024,"Транспорт, складське господарство, поштова та кур'єрська діяльність",57.2
2015,Тимчасове розміщування й організація харчування,к
2016,Тимчасове розміщування й організація харчування,к
2017,Тимчасове розміщування й організація харчування,к
2018,Тимчасове розміщування й організація харчування,к
2019,Тимчасове розміщування й організація харчування,к
2020,Тимчасове розміщування й організація харчування,к
2021,Тимчасове розміщування й організація харчування,к
2022,Тимчасове розміщування й організація харчування,к
2023,Тимчасове розміщування й організація харчування,к
2024,Тимчасове розміщування й організація харчування,к
2015,Інформація та телекомунікації,83.1
2016,Інформація та телекомунікації,86.1
2017,Інформація та телекомунікації,87.5
2018,Інформація та телекомунікації,91.0
2019,Інформація та телекомунікації,92.1
2020,Інформація та телекомунікації,92.6
2021,Інформація та телекомунікації,94.0
2022,Інформація та телекомунікації,94.7
2023,Інформація та телекомунікації,95.1
