Year,Види транспорту,Value
2015,,1474.3
2016,,1542.6
2017,,1582.0
2018,,1643.0
2019,,1578.8
2020,,1641.0
2021,,1518.6
2022,,893.8
2023,,896.3
2024,,1014.3
2025,,951.6
2015,залізничний,350.0
2016,залізничний,343.4
2017,залізничний,339.5
2018,залізничний,322.4
2019,залізничний,312.9
2020,залізничний,305.5
2021,залізничний,314.3
2022,залізничний,150.6
2023,залізничний,148.4
2024,залізничний,174.9
2025,залізничний,161.3
2015,автомобільний,1020.6
2016,автомобільний,1085.7
2017,автомобільний,1121.7
2018,автомобільний,1205.5
2019,автомобільний,1147.0
2020,автомобільний,1232.4
2021,автомобільний,1121.3
2022,автомобільний,687.5
2023,автомобільний,659.4
2024,автомобільний,788.8
2025,автомобільний,754.6
2015,морський,3.3
2016,морський,3.0
2017,морський,2.3
2018,морський,1.9
2019,морський,2.1
2020,морський,1.8
2021,морський,1.8
2022,морський,0.7
2023,морський,0.3
2024,морський,0.2
2025,морський,0.0
2015,річковий,3.1
2016,річковий,3.7
2017,річковий,3.6
2018,річковий,3.7
2019,річковий,4.0
2020,річковий,3.8
2021,річковий,3.5
2022,річковий,1.2
2023,річковий,1.8
2024,річковий,2.1
2025,річковий,1.0
2015,трубопровідний,97.2
2016,трубопровідний,106.7
2017,трубопровідний,114.8
2018,трубопровідний,109.4
2019,трубопровідний,112.7
2020,трубопровідний,97.4
2021,трубопровідний,77.6
2022,трубопровідний,c
2023,трубопровідний,c
2024,трубопровідний,c
2025,трубопровідний,c
2015,авіаційний,0.1
2016,авіаційний,0.1
2017,авіаційний,0.1
2018,авіаційний,0.1
2019,авіаційний,0.1
2020,авіаційний,0.1
2021,авіаційний,0.1
2022,авіаційний,c
2023,авіаційний,c
2024,авіаційний,c
2025,авіаційний,c
