Year,Категорія,Місцевість проживання,Вік,Стать,Value
2015,,,,,0.8
2016,,,,,0.6
2017,,,,,2.8
2018,,,,,1.9
2019,,,,,3.8
2020,,,,,0.4
2021,,,,,0.7
2022,,,,,0.7
2023,,,,,0.4
2024,,,,,0.7
2015,внутрішньо переміщені особи,,,,
2016,внутрішньо переміщені особи,,,,
2017,внутрішньо переміщені особи,,,,29.2
2018,внутрішньо переміщені особи,,,,56.3
2019,внутрішньо переміщені особи,,,,63.6
2020,внутрішньо переміщені особи,,,,33.3
2021,внутрішньо переміщені особи,,,,79.2
2022,внутрішньо переміщені особи,,,,84.8
2023,внутрішньо переміщені особи,,,,40.7
2024,внутрішньо переміщені особи,,,,68.8
2015,"вік житла, яким забезпечено учасників",,,,
2016,"вік житла, яким забезпечено учасників",,,,
2017,"вік житла, яким забезпечено учасників",,,,
2018,"вік житла, яким забезпечено учасників",,,,
2019,"вік житла, яким забезпечено учасників",,,,
2020,"вік житла, яким забезпечено учасників",,,,
2021,"вік житла, яким забезпечено учасників",,,,
2022,"вік житла, яким забезпечено учасників",,,,
2023,"вік житла, яким забезпечено учасників",,,,
2024,"вік житла, яким забезпечено учасників",,,,
2015,,міська,,,
2016,,міська,,,
2017,,міська,,,
2018,,міська,,,
2019,,міська,,,
2020,,міська,,,
2021,,міська,,,
2022,,міська,,,
2023,,міська,,,
2024,,міська,,,
2015,,сільська,,,
2016,,сільська,,,
2017,,сільська,,,
2018,,сільська,,,
2019,,сільська,,,
2020,,сільська,,,
2021,,сільська,,,
2022,,сільська,,,
2023,,сільська,,,
2024,,сільська,,,
2015,,,вік,,
2016,,,вік,,
2017,,,вік,,
2018,,,вік,,
2019,,,вік,,
2020,,,вік,,
2021,,,вік,,
2022,,,вік,,
2023,,,вік,,
2024,,,вік,,
2015,,,,жінки,
2016,,,,жінки,
2017,,,,жінки,
2018,,,,жінки,
2019,,,,жінки,
2020,,,,жінки,
2021,,,,жінки,
2022,,,,жінки,
2023,,,,жінки,
2024,,,,жінки,
2015,,,,чоловіки,
2016,,,,чоловіки,
2017,,,,чоловіки,
2018,,,,чоловіки,
2019,,,,чоловіки,
2020,,,,чоловіки,
2021,,,,чоловіки,
2022,,,,чоловіки,
2023,,,,чоловіки,
2024,,,,чоловіки,
