Year,Область,Категорія,Value
2015,,за територіальними автоматизованими системами центрального оповіщення,4.0
2015,,за місцевими автоматизованими системами центрального оповіщення,0.05
2015,Автономна Республіка Крим,за територіальними автоматизованими системами центрального оповіщення,
2015,Автономна Республіка Крим,за місцевими автоматизованими системами центрального оповіщення,
2015,Вінницька,за територіальними автоматизованими системами центрального оповіщення,
2015,Вінницька,за місцевими автоматизованими системами центрального оповіщення,
2015,Волинська,за територіальними автоматизованими системами центрального оповіщення,
2015,Волинська,за місцевими автоматизованими системами центрального оповіщення,
2015,Дніпропетровська,за територіальними автоматизованими системами центрального оповіщення,
2015,Дніпропетровська,за місцевими автоматизованими системами центрального оповіщення,1.3
2015,Донецька,за територіальними автоматизованими системами центрального оповіщення,
2015,Донецька,за місцевими автоматизованими системами центрального оповіщення,
2015,Житомирська,за територіальними автоматизованими системами центрального оповіщення,
2015,Житомирська,за місцевими автоматизованими системами центрального оповіщення,
2015,Закарпатська,за територіальними автоматизованими системами центрального оповіщення,100.0
2015,Закарпатська,за місцевими автоматизованими системами центрального оповіщення,
2015,Запорізька,за територіальними автоматизованими системами центрального оповіщення,
2015,Запорізька,за місцевими автоматизованими системами центрального оповіщення,
2015,Івано-Франківська,за територіальними автоматизованими системами центрального оповіщення,
2015,Івано-Франківська,за місцевими автоматизованими системами центрального оповіщення,
2015,Київська,за територіальними автоматизованими системами центрального оповіщення,
2015,Київська,за місцевими автоматизованими системами центрального оповіщення,
2015,Кіровоградська,за територіальними автоматизованими системами центрального оповіщення,
2015,Кіровоградська,за місцевими автоматизованими системами центрального оповіщення,
2015,Луганська,за територіальними автоматизованими системами центрального оповіщення,
2015,Луганська,за місцевими автоматизованими системами центрального оповіщення,
2015,Львівська,за територіальними автоматизованими системами центрального оповіщення,
2015,Львівська,за місцевими автоматизованими системами центрального оповіщення,
2015,Миколаївська,за територіальними автоматизованими системами центрального оповіщення,
2015,Миколаївська,за місцевими автоматизованими системами центрального оповіщення,
2015,Одеська,за територіальними автоматизованими системами центрального оповіщення,
2015,Одеська,за місцевими автоматизованими системами центрального оповіщення,
2015,Полтавська,за територіальними автоматизованими системами центрального оповіщення,
2015,Полтавська,за місцевими автоматизованими системами центрального оповіщення,
2015,Рівненська,за територіальними автоматизованими системами центрального оповіщення,
2015,Рівненська,за місцевими автоматизованими системами центрального оповіщення,
2015,Сумська,за територіальними автоматизованими системами центрального оповіщення,
2015,Сумська,за місцевими автоматизованими системами центрального оповіщення,
2015,Тернопільська,за територіальними автоматизованими системами центрального оповіщення,
2015,Тернопільська,за місцевими автоматизованими системами центрального оповіщення,
2015,Харківська,за територіальними автоматизованими системами центрального оповіщення,
2015,Харківська,за місцевими автоматизованими системами центрального оповіщення,
2015,Херсонська,за територіальними автоматизованими системами центрального оповіщення,
2015,Херсонська,за місцевими автоматизованими системами центрального оповіщення,
2015,Хмельницька,за територіальними автоматизованими системами центрального оповіщення,
2015,Хмельницька,за місцевими автоматизованими системами центрального оповіщення,
2015,Черкаська,за територіальними автоматизованими системами центрального оповіщення,
2015,Черкаська,за місцевими автоматизованими системами центрального оповіщення,
2015,Чернівецька,за територіальними автоматизованими системами центрального оповіщення,
2015,Чернівецька,за місцевими автоматизованими системами центрального оповіщення,
2015,Чернігівська,за територіальними автоматизованими системами центрального оповіщення,
2015,Чернігівська,за місцевими автоматизованими системами центрального оповіщення,
2015,м. Київ,за територіальними автоматизованими системами центрального оповіщення,
2015,м. Київ,за місцевими автоматизованими системами центрального оповіщення,
2015,м. Севастополь,за територіальними автоматизованими системами центрального оповіщення,
2015,м. Севастополь,за місцевими автоматизованими системами центрального оповіщення,
2016,,за територіальними автоматизованими системами центрального оповіщення,4.0
2016,,за місцевими автоматизованими системами центрального оповіщення,0.05
2016,Автономна Республіка Крим,за територіальними автоматизованими системами центрального оповіщення,
2016,Автономна Республіка Крим,за місцевими автоматизованими системами центрального оповіщення,
2016,Вінницька,за територіальними автоматизованими системами центрального оповіщення,
2016,Вінницька,за місцевими автоматизованими системами центрального оповіщення,
2016,Волинська,за територіальними автоматизованими системами центрального оповіщення,
2016,Волинська,за місцевими автоматизованими системами центрального оповіщення,
2016,Дніпропетровська,за територіальними автоматизованими системами центрального оповіщення,
2016,Дніпропетровська,за місцевими автоматизованими системами центрального оповіщення,1.3
2016,Донецька,за територіальними автоматизованими системами центрального оповіщення,
2016,Донецька,за місцевими автоматизованими системами центрального оповіщення,
2016,Житомирська,за територіальними автоматизованими системами центрального оповіщення,
2016,Житомирська,за місцевими автоматизованими системами центрального оповіщення,
2016,Закарпатська,за територіальними автоматизованими системами центрального оповіщення,100.0
2016,Закарпатська,за місцевими автоматизованими системами центрального оповіщення,
2016,Запорізька,за територіальними автоматизованими системами центрального оповіщення,
2016,Запорізька,за місцевими автоматизованими системами центрального оповіщення,
2016,Івано-Франківська,за територіальними автоматизованими системами центрального оповіщення,
