Year,"Показник якості води (міліграмів на куб. дециметр) за складовими, відсотків",Value
2015,фосфор фосфатний,0.008
2016,фосфор фосфатний,0.009
2017,фосфор фосфатний,0.014
2018,фосфор фосфатний,0.013
2019,фосфор фосфатний,0.012
2020,фосфор фосфатний,0.013
2021,фосфор фосфатний,0.011
2022,фосфор фосфатний,0.011
2023,фосфор фосфатний,0.016
2024,фосфор фосфатний,0.019
2015,загальний фосфор,0.024
2016,загальний фосфор,0.028
2017,загальний фосфор,0.063
2018,загальний фосфор,0.03
2019,загальний фосфор,0.023
2020,загальний фосфор,0.03
2021,загальний фосфор,0.033
2022,загальний фосфор,0.038
2023,загальний фосфор,0.034
2024,загальний фосфор,0.087
2015,азот нітратний,1.227
2016,азот нітратний,0.822
2017,азот нітратний,0.057
2018,азот нітратний,0.076
2019,азот нітратний,0.18
2020,азот нітратний,0.044
2021,азот нітратний,0.128
2022,азот нітратний,0.117
2023,азот нітратний,0.219
2024,азот нітратний,0.29
2015,азот нітритний,0.002
2016,азот нітритний,0.002
2017,азот нітритний,0.002
2018,азот нітритний,0.003
2019,азот нітритний,0.002
2020,азот нітритний,0.003
2021,азот нітритний,0.003
2022,азот нітритний,0.004
2023,азот нітритний,0.006
2024,азот нітритний,0.004
2015,азот амонійний,0.001
2016,азот амонійний,0.002
2017,азот амонійний,0.0
2018,азот амонійний,0.002
2019,азот амонійний,0.0
2020,азот амонійний,0.004
2021,азот амонійний,0.01
2022,азот амонійний,0.011
2023,азот амонійний,0.053
2024,азот амонійний,0.019
2015,розчинений азот мінеральний,1.23
2016,розчинений азот мінеральний,0.826
2017,розчинений азот мінеральний,0.057
2018,розчинений азот мінеральний,0.002
2019,розчинений азот мінеральний,0.182
2020,розчинений азот мінеральний,0.048
2021,розчинений азот мінеральний,0.14
2022,розчинений азот мінеральний,0.131
2023,розчинений азот мінеральний,0.269
2024,розчинений азот мінеральний,0.299
2015,загальний азот,34.038
2016,загальний азот,1.783
2017,загальний азот,0.791
2018,загальний азот,0.691
2019,загальний азот,0.803
2020,загальний азот,0.521
2021,загальний азот,0.804
2022,загальний азот,0.674
2023,загальний азот,3.015
2024,загальний азот,5.985
2015,хлорофіл-а,0.002
2016,хлорофіл-а,0.002
2017,хлорофіл-а,0.002
2018,хлорофіл-а,0.003
2019,хлорофіл-а,0.002
2020,хлорофіл-а,0.002
2021,хлорофіл-а,0.002
2022,хлорофіл-а,0.003
2023,хлорофіл-а,0.004
2024,хлорофіл-а,0.002
2015,прозорість,
2016,прозорість,
2017,прозорість,
2018,прозорість,
2019,прозорість,
2020,прозорість,
2021,прозорість,
2022,прозорість,
2023,прозорість,
2024,прозорість,
2015,розчинений кисень,10.341
2016,розчинений кисень,10.154
2017,розчинений кисень,9.688
2018,розчинений кисень,9.793
2019,розчинений кисень,9.936
2020,розчинений кисень,8.548
2021,розчинений кисень,8.813
2022,розчинений кисень,8.663
2023,розчинений кисень,8.898
2024,розчинений кисень,9.432
2015,біологічне споживання кисню за п’ять днів,1.197
2016,біологічне споживання кисню за п’ять днів,1.085
2017,біологічне споживання кисню за п’ять днів,1.227
2018,біологічне споживання кисню за п’ять днів,1.383
2019,біологічне споживання кисню за п’ять днів,1.526
2020,біологічне споживання кисню за п’ять днів,0.953
2021,біологічне споживання кисню за п’ять днів,1.152
2022,біологічне споживання кисню за п’ять днів,1.099
2023,біологічне споживання кисню за п’ять днів,1.374
2024,біологічне споживання кисню за п’ять днів,1.579
