Year,Область,Value
2015,Україна,
2015,Автономна Республіка Крим,
2015,Вінницька,
2015,Волинська,
2015,Дніпропетровська,
2015,Донецька,
2015,Житомирська,
2015,Закарпатська,
2015,Запорізька,
2015,Івано-Франківська,
2015,Київська,
2015,Кіровоградська,
2015,Луганська,
2015,Львівська,
2015,Миколаївська,
2015,Одеська,
2015,Полтавська,
2015,Рівненська,
2015,Сумська,
2015,Тернопільська,
2015,Харківська,
2015,Херсонська,
2015,Хмельницька,
2015,Черкаська,
2015,Чернівецька,
2015,Чернігівська,
2015,м. Київ,
2015,м. Севастополь,
2016,Україна,14.0
2016,Автономна Республіка Крим,
2016,Вінницька,14.0
2016,Волинська,21.0
2016,Дніпропетровська,15.0
2016,Донецька,20.0
2016,Житомирська,16.0
2016,Закарпатська,21.0
2016,Запорізька,10.0
2016,Івано-Франківська,9.0
2016,Київська,17.0
2016,Кіровоградська,16.0
2016,Луганська,11.0
2016,Львівська,12.0
2016,Миколаївська,13.0
2016,Одеська,13.0
2016,Полтавська,17.0
2016,Рівненська,21.0
2016,Сумська,15.0
2016,Тернопільська,17.0
2016,Харківська,13.0
2016,Херсонська,14.0
2016,Хмельницька,17.0
2016,Черкаська,13.0
2016,Чернівецька,19.0
2016,Чернігівська,16.0
2016,м. Київ,9.0
2016,м. Севастополь,
2017,Україна,15.0
2017,Автономна Республіка Крим,
2017,Вінницька,18.0
2017,Волинська,22.0
2017,Дніпропетровська,15.0
2017,Донецька,19.0
2017,Житомирська,18.0
2017,Закарпатська,23.0
2017,Запорізька,12.0
2017,Івано-Франківська,16.0
2017,Київська,18.0
2017,Кіровоградська,19.0
2017,Луганська,13.0
2017,Львівська,12.0
2017,Миколаївська,16.0
2017,Одеська,14.0
2017,Полтавська,17.0
2017,Рівненська,21.0
2017,Сумська,12.0
2017,Тернопільська,18.0
2017,Харківська,14.0
2017,Херсонська,15.0
2017,Хмельницька,17.0
2017,Черкаська,13.0
2017,Чернівецька,20.0
2017,Чернігівська,16.0
2017,м. Київ,8.0
2017,м. Севастополь,
2018,Україна,13.0
2018,Автономна Республіка Крим,
2018,Вінницька,16.0
2018,Волинська,14.0
2018,Дніпропетровська,12.0
2018,Донецька,15.0
2018,Житомирська,19.0
2018,Закарпатська,12.0
2018,Запорізька,12.0
2018,Івано-Франківська,14.0
2018,Київська,17.0
2018,Кіровоградська,18.0
2018,Луганська,12.0
2018,Львівська,11.0
2018,Миколаївська,14.0
