Year,Область,"У тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",Вік,Стать,Тип місцевості проживання,Вид правничої допомоги,Категорія питань звернення,Value
2015,,,,,,,,38303.0
2015,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,41309.0
2015,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2015,,,до 18 років,,,,,169.0
2015,,,18–35 років,,,,,5827.0
2015,,,36–60 років,,,,,18009.0
2015,,,61 рік і старші,,,,,14298.0
2015,,,,Чоловіча,,,,15673.0
2015,,,,жінки,,,,22630.0
2015,,,,,міська,,,
2015,,,,,сільська,,,
2015,,,,,,первинна правнича допомога,,28444.0
2015,,,,,,вторинна правнича допомога,,8911.0
2015,,,,,,,соціальне забезпечення,6534.0
2015,,,,,,,спадкове право,3996.0
2015,,,,,,,сімейне право,4129.0
2015,,,,,,,медичне право,369.0
2015,,,,,,,трудове право,2151.0
2015,,,,,,,адміністративне право і адміністративний процес,1181.0
2015,,,,,,,земельне право,3376.0
2015,,,,,,,договірне право,3130.0
2015,,,,,,,житлове право,5168.0
2015,,,,,,,цивільне право та цивільний процес,5997.0
2015,,,,,,,виконання судових рішень,1016.0
2015,,,,,,,неправове питання,360.0
2015,,,,,,,інше,4249.0
2015,,,,,,,кримінальне право та кримінальний процес,
2015,,,,,,,пенсійне право,
2015,,,,,,,податкове право,
2015,,,,,,,виборче право,
2015,,,,,,,господарське право,
2015,,,,,,,питання пов’язані зі збройною агресією,
2015,Автономна Республіка Крим,,,,,,,
2015,Вінницька,,,,,,,1866.0
2015,Волинська,,,,,,,1232.0
2015,Дніпропетровська,,,,,,,4069.0
2015,Донецька,,,,,,,711.0
2015,Житомирська,,,,,,,1316.0
2015,Закарпатська,,,,,,,829.0
2015,Запорізька,,,,,,,2094.0
2015,Івано-Франківська,,,,,,,1062.0
2015,Київська,,,,,,,1223.0
2015,Кіровоградська,,,,,,,2054.0
2015,Луганська,,,,,,,250.0
2015,Львівська,,,,,,,1969.0
2015,Миколаївська,,,,,,,929.0
2015,Одеська,,,,,,,2175.0
2015,Полтавська,,,,,,,1960.0
2015,Рівненська,,,,,,,2067.0
2015,Сумська,,,,,,,2881.0
2015,Тернопільська,,,,,,,948.0
2015,Харківська,,,,,,,2680.0
2015,Херсонська,,,,,,,1072.0
2015,Хмельницька,,,,,,,1599.0
2015,Черкаська,,,,,,,1444.0
2015,Чернівецька,,,,,,,1147.0
2015,Чернігівська,,,,,,,1184.0
2015,м. Київ,,,,,,,2548.0
2015,м. Севастополь,,,,,,,
2016,,,,,,,,219981.0
2016,,Кількість зареєстрованих звернень клієнтів для надання безоплатної правничої допомоги,,,,,,275039.0
2016,,"у тому числі, які звернулися на єдиний контактний номер системи надання безоплатної правничої допомоги 0-800-213-103",,,,,,
2016,,,до 18 років,,,,,1413.0
2016,,,18–35 років,,,,,48456.0
2016,,,36–60 років,,,,,110488.0
2016,,,61 рік і старші,,,,,59624.0
2016,,,,Чоловіча,,,,93488.0
2016,,,,жінки,,,,126493.0
2016,,,,,міська,,,
2016,,,,,сільська,,,
2016,,,,,,первинна правнича допомога,,239164.0
2016,,,,,,вторинна правнича допомога,,34126.0
2016,,,,,,,соціальне забезпечення,50898.0
2016,,,,,,,спадкове право,29722.0
2016,,,,,,,сімейне право,29671.0
