Year,Область,Вік,Стать,Тип місцевості проживання,Рівень доходу,Value
2015,,до 30 років,,,,
2015,,30–54 роки,,,,
2015,,55 років і старші,,,,
2015,,,Чоловіча,,,
2015,,,жінки,,,
2015,,,,обласні центри,,
2015,,,,районні центри та міста,,
2015,,,,села,,
2015,,,,,нижче середнього та найнижчий,
2015,,,,,середній,
2015,,,,,найвищий та вище середнього,
2015,Україна,,,,,
2015,Автономна Республіка Крим,,,,,
2015,Вінницька,,,,,
2015,Волинська,,,,,
2015,Дніпропетровська,,,,,
2015,Донецька,,,,,
2015,Житомирська,,,,,
2015,Закарпатська,,,,,
2015,Запорізька,,,,,
2015,Івано-Франківська,,,,,
2015,Київська,,,,,
2015,Кіровоградська,,,,,
2015,Луганська,,,,,
2015,Львівська,,,,,
2015,Миколаївська,,,,,
2015,Одеська,,,,,
2015,Полтавська,,,,,
2015,Рівненська,,,,,
2015,Сумська,,,,,
2015,Тернопільська,,,,,
2015,Харківська,,,,,
2015,Херсонська,,,,,
2015,Хмельницька,,,,,
2015,Черкаська,,,,,
2015,Чернівецька,,,,,
2015,Чернігівська,,,,,
2015,м. Київ,,,,,
2015,м. Севастополь,,,,,
2015,Центр,,,,,
2015,Схід,,,,,
2015,Південь,,,,,
2015,Захід,,,,,
2016,,до 30 років,,,,
2016,,30–54 роки,,,,
2016,,55 років і старші,,,,
2016,,,Чоловіча,,,13.4
2016,,,жінки,,,10.6
2016,,,,обласні центри,,11.8
2016,,,,районні центри та міста,,14.0
2016,,,,села,,8.9
2016,,,,,нижче середнього та найнижчий,
2016,,,,,середній,
2016,,,,,найвищий та вище середнього,
2016,Україна,,,,,11.9
2016,Автономна Республіка Крим,,,,,
2016,Вінницька,,,,,
2016,Волинська,,,,,
2016,Дніпропетровська,,,,,
2016,Донецька,,,,,
2016,Житомирська,,,,,
2016,Закарпатська,,,,,
2016,Запорізька,,,,,
2016,Івано-Франківська,,,,,
2016,Київська,,,,,
2016,Кіровоградська,,,,,
2016,Луганська,,,,,
2016,Львівська,,,,,
2016,Миколаївська,,,,,
2016,Одеська,,,,,
2016,Полтавська,,,,,
2016,Рівненська,,,,,
2016,Сумська,,,,,
2016,Тернопільська,,,,,
2016,Харківська,,,,,
2016,Херсонська,,,,,
2016,Хмельницька,,,,,
2016,Черкаська,,,,,
2016,Чернівецька,,,,,
2016,Чернігівська,,,,,
2016,м. Київ,,,,,18.8
2016,м. Севастополь,,,,,
2016,Центр,,,,,10.6
2016,Схід,,,,,12.3
2016,Південь,,,,,9.0
2016,Захід,,,,,14.4
2017,,до 30 років,,,,
2017,,30–54 роки,,,,
2017,,55 років і старші,,,,
2017,,,Чоловіча,,,
2017,,,жінки,,,
2017,,,,обласні центри,,
2017,,,,районні центри та міста,,
2017,,,,села,,
2017,,,,,нижче середнього та найнижчий,
2017,,,,,середній,
2017,,,,,найвищий та вище середнього,
2017,Україна,,,,,
2017,Автономна Республіка Крим,,,,,
2017,Вінницька,,,,,
2017,Волинська,,,,,
2017,Дніпропетровська,,,,,
2017,Донецька,,,,,
2017,Житомирська,,,,,
2017,Закарпатська,,,,,
2017,Запорізька,,,,,
2017,Івано-Франківська,,,,,
2017,Київська,,,,,
2017,Кіровоградська,,,,,
2017,Луганська,,,,,
2017,Львівська,,,,,
2017,Миколаївська,,,,,
2017,Одеська,,,,,
2017,Полтавська,,,,,
2017,Рівненська,,,,,
2017,Сумська,,,,,
2017,Тернопільська,,,,,
2017,Харківська,,,,,
2017,Херсонська,,,,,
2017,Хмельницька,,,,,
2017,Черкаська,,,,,
2017,Чернівецька,,,,,
2017,Чернігівська,,,,,
2017,м. Київ,,,,,
2017,м. Севастополь,,,,,
2017,Центр,,,,,
2017,Схід,,,,,
2017,Південь,,,,,
2017,Захід,,,,,
2018,,до 30 років,,,,21.8
2018,,30–54 роки,,,,25.5
2018,,55 років і старші,,,,25.3
2018,,,Чоловіча,,,25.1
2018,,,жінки,,,24.0
2018,,,,обласні центри,,24.7
2018,,,,районні центри та міста,,21.8
2018,,,,села,,24.5
2018,,,,,нижче середнього та найнижчий,
2018,,,,,середній,
2018,,,,,найвищий та вище середнього,
2018,Україна,,,,,18.4
2018,Автономна Республіка Крим,,,,,
2018,Вінницька,,,,,
2018,Волинська,,,,,
2018,Дніпропетровська,,,,,
2018,Донецька,,,,,
2018,Житомирська,,,,,
2018,Закарпатська,,,,,
2018,Запорізька,,,,,
2018,Івано-Франківська,,,,,
2018,Київська,,,,,
2018,Кіровоградська,,,,,
2018,Луганська,,,,,
2018,Львівська,,,,,
2018,Миколаївська,,,,,
2018,Одеська,,,,,
2018,Полтавська,,,,,
2018,Рівненська,,,,,
2018,Сумська,,,,,
2018,Тернопільська,,,,,
2018,Харківська,,,,,
2018,Херсонська,,,,,
2018,Хмельницька,,,,,
2018,Черкаська,,,,,
2018,Чернівецька,,,,,
2018,Чернігівська,,,,,
2018,м. Київ,,,,,34.1
2018,м. Севастополь,,,,,
2018,Центр,,,,,37.0
2018,Схід,,,,,27.2
2018,Південь,,,,,20.7
2018,Захід,,,,,10.6
2019,,до 30 років,,,,
2019,,30–54 роки,,,,
2019,,55 років і старші,,,,
2019,,,Чоловіча,,,
2019,,,жінки,,,
2019,,,,обласні центри,,
2019,,,,районні центри та міста,,
2019,,,,села,,
2019,,,,,нижче середнього та найнижчий,
2019,,,,,середній,
2019,,,,,найвищий та вище середнього,
2019,Україна,,,,,
2019,Автономна Республіка Крим,,,,,
2019,Вінницька,,,,,
2019,Волинська,,,,,
2019,Дніпропетровська,,,,,
2019,Донецька,,,,,
2019,Житомирська,,,,,
2019,Закарпатська,,,,,
2019,Запорізька,,,,,
2019,Івано-Франківська,,,,,
2019,Київська,,,,,
2019,Кіровоградська,,,,,
2019,Луганська,,,,,
2019,Львівська,,,,,
2019,Миколаївська,,,,,
2019,Одеська,,,,,
2019,Полтавська,,,,,
2019,Рівненська,,,,,
2019,Сумська,,,,,
2019,Тернопільська,,,,,
2019,Харківська,,,,,
2019,Херсонська,,,,,
2019,Хмельницька,,,,,
2019,Черкаська,,,,,
2019,Чернівецька,,,,,
2019,Чернігівська,,,,,
2019,м. Київ,,,,,
2019,м. Севастополь,,,,,
2019,Центр,,,,,
2019,Схід,,,,,
2019,Південь,,,,,
2019,Захід,,,,,
2020,,до 30 років,,,,
2020,,30–54 роки,,,,
2020,,55 років і старші,,,,
2020,,,Чоловіча,,,
2020,,,жінки,,,
2020,,,,обласні центри,,
2020,,,,районні центри та міста,,
2020,,,,села,,
2020,,,,,нижче середнього та найнижчий,
2020,,,,,середній,
2020,,,,,найвищий та вище середнього,
2020,Україна,,,,,25.4
2020,Автономна Республіка Крим,,,,,
2020,Вінницька,,,,,
2020,Волинська,,,,,
2020,Дніпропетровська,,,,,
2020,Донецька,,,,,
2020,Житомирська,,,,,
2020,Закарпатська,,,,,
2020,Запорізька,,,,,
2020,Івано-Франківська,,,,,
2020,Київська,,,,,
2020,Кіровоградська,,,,,
2020,Луганська,,,,,
2020,Львівська,,,,,
2020,Миколаївська,,,,,
2020,Одеська,,,,,
2020,Полтавська,,,,,
2020,Рівненська,,,,,
2020,Сумська,,,,,
2020,Тернопільська,,,,,
2020,Харківська,,,,,
2020,Херсонська,,,,,
2020,Хмельницька,,,,,
2020,Черкаська,,,,,
2020,Чернівецька,,,,,
2020,Чернігівська,,,,,
2020,м. Київ,,,,,
2020,м. Севастополь,,,,,
2020,Центр,,,,,
2020,Схід,,,,,
2020,Південь,,,,,
2020,Захід,,,,,
2021,,до 30 років,,,,
2021,,30–54 роки,,,,
2021,,55 років і старші,,,,
2021,,,Чоловіча,,,
2021,,,жінки,,,
2021,,,,обласні центри,,
2021,,,,районні центри та міста,,
2021,,,,села,,
2021,,,,,нижче середнього та найнижчий,
2021,,,,,середній,
2021,,,,,найвищий та вище середнього,
2021,Україна,,,,,
2021,Автономна Республіка Крим,,,,,
2021,Вінницька,,,,,
2021,Волинська,,,,,
2021,Дніпропетровська,,,,,
2021,Донецька,,,,,
2021,Житомирська,,,,,
2021,Закарпатська,,,,,
2021,Запорізька,,,,,
2021,Івано-Франківська,,,,,
2021,Київська,,,,,
2021,Кіровоградська,,,,,
2021,Луганська,,,,,
2021,Львівська,,,,,
2021,Миколаївська,,,,,
2021,Одеська,,,,,
2021,Полтавська,,,,,
2021,Рівненська,,,,,
2021,Сумська,,,,,
2021,Тернопільська,,,,,
2021,Харківська,,,,,
2021,Херсонська,,,,,
2021,Хмельницька,,,,,
2021,Черкаська,,,,,
2021,Чернівецька,,,,,
2021,Чернігівська,,,,,
2021,м. Київ,,,,,
2021,м. Севастополь,,,,,
2021,Центр,,,,,
2021,Схід,,,,,
2021,Південь,,,,,
2021,Захід,,,,,
2022,,до 30 років,,,,
2022,,30–54 роки,,,,
2022,,55 років і старші,,,,
2022,,,Чоловіча,,,
2022,,,жінки,,,
2022,,,,обласні центри,,
2022,,,,районні центри та міста,,
2022,,,,села,,
2022,,,,,нижче середнього та найнижчий,
2022,,,,,середній,
2022,,,,,найвищий та вище середнього,
2022,Україна,,,,,
2022,Автономна Республіка Крим,,,,,
2022,Вінницька,,,,,
2022,Волинська,,,,,
2022,Дніпропетровська,,,,,
2022,Донецька,,,,,
2022,Житомирська,,,,,
2022,Закарпатська,,,,,
2022,Запорізька,,,,,
2022,Івано-Франківська,,,,,
2022,Київська,,,,,
2022,Кіровоградська,,,,,
2022,Луганська,,,,,
2022,Львівська,,,,,
2022,Миколаївська,,,,,
2022,Одеська,,,,,
2022,Полтавська,,,,,
2022,Рівненська,,,,,
2022,Сумська,,,,,
2022,Тернопільська,,,,,
2022,Харківська,,,,,
2022,Херсонська,,,,,
2022,Хмельницька,,,,,
2022,Черкаська,,,,,
2022,Чернівецька,,,,,
2022,Чернігівська,,,,,
2022,м. Київ,,,,,
2022,м. Севастополь,,,,,
2022,Центр,,,,,
2022,Схід,,,,,
2022,Південь,,,,,
2022,Захід,,,,,
2023,,до 30 років,,,,24.8
2023,,30–54 роки,,,,26.5
2023,,55 років і старші,,,,18.8
2023,,,Чоловіча,,,25.7
2023,,,жінки,,,22.1
2023,,,,обласні центри,,24.9
2023,,,,районні центри та міста,,25.0
2023,,,,села,,19.1
2023,,,,,нижче середнього та найнижчий,16.1
2023,,,,,середній,28.0
2023,,,,,найвищий та вище середнього,30.1
2023,Україна,,,,,23.8
2023,Автономна Республіка Крим,,,,,
2023,Вінницька,,,,,
2023,Волинська,,,,,
2023,Дніпропетровська,,,,,
2023,Донецька,,,,,
2023,Житомирська,,,,,
2023,Закарпатська,,,,,
2023,Запорізька,,,,,
2023,Івано-Франківська,,,,,
2023,Київська,,,,,
2023,Кіровоградська,,,,,
2023,Луганська,,,,,
2023,Львівська,,,,,
2023,Миколаївська,,,,,
2023,Одеська,,,,,
2023,Полтавська,,,,,
2023,Рівненська,,,,,
2023,Сумська,,,,,
2023,Тернопільська,,,,,
2023,Харківська,,,,,
2023,Херсонська,,,,,
2023,Хмельницька,,,,,
2023,Черкаська,,,,,
2023,Чернівецька,,,,,
2023,Чернігівська,,,,,
2023,м. Київ,,,,,30.9
2023,м. Севастополь,,,,,
2023,Центр,,,,,22.2
2023,Схід,,,,,32.1
2023,Південь,,,,,22.1
2023,Захід,,,,,21.9
2024,,до 30 років,,,,
2024,,30–54 роки,,,,
2024,,55 років і старші,,,,
2024,,,Чоловіча,,,
2024,,,жінки,,,
2024,,,,обласні центри,,
2024,,,,районні центри та міста,,
2024,,,,села,,
2024,,,,,нижче середнього та найнижчий,
2024,,,,,середній,
2024,,,,,найвищий та вище середнього,
2024,Україна,,,,,
2024,Автономна Республіка Крим,,,,,
2024,Вінницька,,,,,
2024,Волинська,,,,,
2024,Дніпропетровська,,,,,
2024,Донецька,,,,,
2024,Житомирська,,,,,
2024,Закарпатська,,,,,
2024,Запорізька,,,,,
2024,Івано-Франківська,,,,,
2024,Київська,,,,,
2024,Кіровоградська,,,,,
2024,Луганська,,,,,
2024,Львівська,,,,,
2024,Миколаївська,,,,,
2024,Одеська,,,,,
2024,Полтавська,,,,,
2024,Рівненська,,,,,
2024,Сумська,,,,,
2024,Тернопільська,,,,,
2024,Харківська,,,,,
2024,Херсонська,,,,,
2024,Хмельницька,,,,,
2024,Черкаська,,,,,
2024,Чернівецька,,,,,
2024,Чернігівська,,,,,
2024,м. Київ,,,,,
2024,м. Севастополь,,,,,
2024,Центр,,,,,
2024,Схід,,,,,
2024,Південь,,,,,
2024,Захід,,,,,
