Year,Стать,Вік,Місцевість проживання,Value
2016,,,,52.0
2017,,,,58.6
2018,,,,64.7
2019,,,,74.7
2020,,,,83.2
2021,,,,84.6
2022,,,,86.8
2023,,,,77.0
2024,,,,75.2
2016,Жіноча,,,50.5
2017,Жіноча,,,59.2
2018,Жіноча,,,66.5
2019,Жіноча,,,76.4
2020,Жіноча,,,85.3
2021,Жіноча,,,87.2
2022,Жіноча,,,89.5
2023,Жіноча,,,77.8
2024,Жіноча,,,76.8
2016,Чоловіча,,,50.1
2017,Чоловіча,,,58.0
2018,Чоловіча,,,63.2
2019,Чоловіча,,,73.1
2020,Чоловіча,,,81.3
2021,Чоловіча,,,82.4
2022,Чоловіча,,,84.6
2023,Чоловіча,,,76.3
2024,Чоловіча,,,73.9
2016,,0-17 років включно,,94.4
2017,,0-17 років включно,,94.5
2018,,0-17 років включно,,96.8
2019,,0-17 років включно,,98.2
2020,,0-17 років включно,,98.5
2021,,0-17 років включно,,97.5
2022,,0-17 років включно,,99.7
2023,,0-17 років включно,,88.5
2024,,0-17 років включно,,85.8
2016,,18 років і старше,,49.1
2017,,18 років і старше,,57.7
2018,,18 років і старше,,64.0
2019,,18 років і старше,,74.1
2020,,18 років і старше,,82.8
2021,,18 років і старше,,84.4
2022,,18 років і старше,,86.6
2023,,18 років і старше,,76.8
2024,,18 років і старше,,75.0
