Year,Стать,Вік,Value
2015,,,304.1
2016,,,285.8
2017,,,269.4
2018,,,255.0
2019,,,245.8
2020,,,240.7
2021,,,243.8
2022,,,230.5
2023,,,225.2
2024,,,214.4
2015,Жіноча,,117.0
2016,Жіноча,,110.6
2017,Жіноча,,103.7
2018,Жіноча,,97.0
2019,Жіноча,,92.7
2020,Жіноча,,92.0
2021,Жіноча,,93.5
2022,Жіноча,,85.3
2023,Жіноча,,82.2
2024,Жіноча,,80.7
2015,Чоловіча,,187.1
2016,Чоловіча,,175.2
2017,Чоловіча,,165.7
2018,Чоловіча,,158.0
2019,Чоловіча,,153.1
2020,Чоловіча,,148.7
2021,Чоловіча,,150.3
2022,Чоловіча,,145.2
2023,Чоловіча,,143.0
2024,Чоловіча,,133.7
2015,,14 - 30 років,299.1
2016,,14 - 30 років,280.4
2017,,14 - 30 років,262.1
2018,,14 - 30 років,245.4
2019,,14 - 30 років,235.2
2020,,14 - 30 років,229.7
2021,,14 - 30 років,232.3
2022,,14 - 30 років,218.1
2023,,14 - 30 років,208.2
2024,,14 - 30 років,195.3
2015,,30 років і старше,5.0
2016,,30 років і старше,5.4
2017,,30 років і старше,7.3
2018,,30 років і старше,9.6
2019,,30 років і старше,10.6
2020,,30 років і старше,11.0
2021,,30 років і старше,11.5
2022,,30 років і старше,12.4
2023,,30 років і старше,17.0
2024,,30 років і старше,19.1
