Year,Статус учасників освітнього процесу,Сфера учасників освітнього процесу,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,63.0
2021,,,75.0
2022,,,76.0
2023,,,78.0
2024,,,80.0
2015,здобувач фахової передвищої освіти,,
2016,здобувач фахової передвищої освіти,,
2017,здобувач фахової передвищої освіти,,
2018,здобувач фахової передвищої освіти,,
2019,здобувач фахової передвищої освіти,,
2020,здобувач фахової передвищої освіти,,60.0
2021,здобувач фахової передвищої освіти,,73.0
2022,здобувач фахової передвищої освіти,,74.0
2023,здобувач фахової передвищої освіти,,77.0
2024,здобувач фахової передвищої освіти,,78.0
2015,здобувач вищої освіти,,
2016,здобувач вищої освіти,,
2017,здобувач вищої освіти,,
2018,здобувач вищої освіти,,
2019,здобувач вищої освіти,,
2020,здобувач вищої освіти,,64.0
2021,здобувач вищої освіти,,74.0
2022,здобувач вищої освіти,,68.0
2023,здобувач вищої освіти,,76.0
2024,здобувач вищої освіти,,78.0
2015,педагогічний працівник закладу фахової передвищої освіти,,
2016,педагогічний працівник закладу фахової передвищої освіти,,
2017,педагогічний працівник закладу фахової передвищої освіти,,
2018,педагогічний працівник закладу фахової передвищої освіти,,
2019,педагогічний працівник закладу фахової передвищої освіти,,
2020,педагогічний працівник закладу фахової передвищої освіти,,61.0
2021,педагогічний працівник закладу фахової передвищої освіти,,74.0
2022,педагогічний працівник закладу фахової передвищої освіти,,82.0
2023,педагогічний працівник закладу фахової передвищої освіти,,78.0
2024,педагогічний працівник закладу фахової передвищої освіти,,84.0
2015,науково-педагогічний працівник закладу вищої освіти,,
2016,науково-педагогічний працівник закладу вищої освіти,,
2017,науково-педагогічний працівник закладу вищої освіти,,
2018,науково-педагогічний працівник закладу вищої освіти,,
2019,науково-педагогічний працівник закладу вищої освіти,,
2020,науково-педагогічний працівник закладу вищої освіти,,67.0
2021,науково-педагогічний працівник закладу вищої освіти,,77.0
2022,науково-педагогічний працівник закладу вищої освіти,,81.0
2023,науково-педагогічний працівник закладу вищої освіти,,79.0
2024,науково-педагогічний працівник закладу вищої освіти,,80.0
2015,,фахова передвища освіта,
2016,,фахова передвища освіта,
2017,,фахова передвища освіта,
2018,,фахова передвища освіта,
2019,,фахова передвища освіта,
2020,,фахова передвища освіта,61.0
2021,,фахова передвища освіта,74.0
2022,,фахова передвища освіта,78.0
2023,,фахова передвища освіта,78.0
2024,,фахова передвища освіта,81.0
2015,,вища освіта,
2016,,вища освіта,
2017,,вища освіта,
2018,,вища освіта,
2019,,вища освіта,
2020,,вища освіта,66.0
2021,,вища освіта,76.0
2022,,вища освіта,75.0
2023,,вища освіта,78.0
2024,,вища освіта,79.0
