Year,Місцевість проживання,Область,Value
2015,,,14.4
2015,міська,,18.5
2015,сільська,,6.7
2015,,Автономна Республіка Крим,
2015,,Вінницька,18.1
2015,,Волинська,12.2
2015,,Дніпропетровська,19.0
2015,,Донецька,
2015,,Житомирська,15.6
2015,,Закарпатська,12.7
2015,,Запорізька,16.6
2015,,Івано-Франківська,6.8
2015,,Київська,15.0
2015,,Кіровоградська,16.8
2015,,Луганська,
2015,,Львівська,9.7
2015,,Миколаївська,19.4
2015,,Одеська,13.0
2015,,Полтавська,18.6
2015,,Рівненська,9.0
2015,,Сумська,20.7
2015,,Тернопільська,11.1
2015,,Харківська,13.8
2015,,Херсонська,18.4
2015,,Хмельницька,12.6
2015,,Черкаська,21.0
2015,,Чернівецька,13.8
2015,,Чернігівська,17.2
2015,,м. Київ,17.7
2015,,м. Севастополь,
2016,,,15.3
2016,міська,,19.7
2016,сільська,,7.2
2016,,Автономна Республіка Крим,
2016,,Вінницька,18.7
2016,,Волинська,12.3
2016,,Дніпропетровська,19.6
2016,,Донецька,
2016,,Житомирська,16.5
2016,,Закарпатська,13.1
2016,,Запорізька,17.0
2016,,Івано-Франківська,7.5
2016,,Київська,15.2
2016,,Кіровоградська,17.7
2016,,Луганська,
2016,,Львівська,10.3
2016,,Миколаївська,21.4
2016,,Одеська,13.7
2016,,Полтавська,19.1
2016,,Рівненська,9.4
2016,,Сумська,21.9
2016,,Тернопільська,12.2
2016,,Харківська,15.1
2016,,Херсонська,17.9
2016,,Хмельницька,11.2
2016,,Черкаська,23.0
2016,,Чернівецька,15.1
2016,,Чернігівська,18.0
2016,,м. Київ,17.1
2016,,м. Севастополь,
2017,,,16.0
2017,міська,,20.6
2017,сільська,,7.6
2017,,Автономна Республіка Крим,
2017,,Вінницька,20.7
2017,,Волинська,13.1
2017,,Дніпропетровська,20.5
2017,,Донецька,
2017,,Житомирська,16.7
2017,,Закарпатська,14.2
2017,,Запорізька,17.8
2017,,Івано-Франківська,7.5
2017,,Київська,15.7
2017,,Кіровоградська,17.9
2017,,Луганська,
2017,,Львівська,10.8
2017,,Миколаївська,22.1
2017,,Одеська,13.7
2017,,Полтавська,20.3
2017,,Рівненська,9.4
2017,,Сумська,23.4
2017,,Тернопільська,12.3
2017,,Харківська,15.9
2017,,Херсонська,18.2
2017,,Хмельницька,12.6
2017,,Черкаська,23.7
2017,,Чернівецька,15.8
2017,,Чернігівська,18.4
2017,,м. Київ,16.9
2017,,м. Севастополь,
2018,,,16.9
2018,міська,,21.7
2018,сільська,,8.0
2018,,Автономна Республіка Крим,
2018,,Вінницька,22.7
2018,,Волинська,13.6
2018,,Дніпропетровська,21.0
2018,,Донецька,
2018,,Житомирська,18.4
2018,,Закарпатська,14.8
2018,,Запорізька,19.1
2018,,Івано-Франківська,7.9
2018,,Київська,16.3
2018,,Кіровоградська,19.8
2018,,Луганська,
2018,,Львівська,11.9
2018,,Миколаївська,21.9
2018,,Одеська,14.2
2018,,Полтавська,20.1
2018,,Рівненська,10.3
2018,,Сумська,25.7
2018,,Тернопільська,11.5
2018,,Харківська,17.5
2018,,Херсонська,19.3
2018,,Хмельницька,14.7
2018,,Черкаська,24.0
2018,,Чернівецька,16.8
2018,,Чернігівська,20.0
2018,,м. Київ,18.6
2018,,м. Севастополь,
2019,,,17.9
2019,міська,,23.0
2019,сільська,,8.4
2019,,Автономна Республіка Крим,
2019,,Вінницька,22.9
2019,,Волинська,14.2
2019,,Дніпропетровська,21.3
2019,,Донецька,
2019,,Житомирська,18.8
2019,,Закарпатська,15.7
2019,,Запорізька,20.4
2019,,Івано-Франківська,8.7
2019,,Київська,16.7
2019,,Кіровоградська,21.4
2019,,Луганська,
2019,,Львівська,12.1
2019,,Миколаївська,22.9
2019,,Одеська,13.4
2019,,Полтавська,21.9
2019,,Рівненська,11.6
2019,,Сумська,26.9
2019,,Тернопільська,12.3
2019,,Харківська,25.5
2019,,Херсонська,19.9
2019,,Хмельницька,16.5
2019,,Черкаська,24.8
2019,,Чернівецька,16.2
2019,,Чернігівська,21.4
2019,,м. Київ,20.1
2019,,м. Севастополь,
2020,,,16.3
2020,міська,,21.1
2020,сільська,,7.6
2020,,Автономна Республіка Крим,
2020,,Вінницька,21.4
2020,,Волинська,12.3
2020,,Дніпропетровська,20.6
2020,,Донецька,
2020,,Житомирська,18.5
2020,,Закарпатська,13.5
2020,,Запорізька,19.2
2020,,Івано-Франківська,8.0
2020,,Київська,14.6
2020,,Кіровоградська,19.8
2020,,Луганська,
2020,,Львівська,11.4
2020,,Миколаївська,24.9
2020,,Одеська,13.1
2020,,Полтавська,19.8
2020,,Рівненська,10.0
2020,,Сумська,24.6
2020,,Тернопільська,12.1
2020,,Харківська,18.4
2020,,Херсонська,19.3
2020,,Хмельницька,15.2
2020,,Черкаська,23.9
2020,,Чернівецька,13.7
2020,,Чернігівська,21.3
2020,,м. Київ,16.0
2020,,м. Севастополь,
2021,,,18.1
2021,міська,,23.4
2021,сільська,,8.7
2021,,Автономна Республіка Крим,
2021,,Вінницька,24.7
2021,,Волинська,13.7
2021,,Дніпропетровська,22.2
2021,,Донецька,
2021,,Житомирська,20.2
2021,,Закарпатська,14.8
2021,,Запорізька,21.2
2021,,Івано-Франківська,8.7
2021,,Київська,15.5
2021,,Кіровоградська,22.9
2021,,Луганська,
2021,,Львівська,13.1
2021,,Миколаївська,26.6
2021,,Одеська,14.5
2021,,Полтавська,22.0
2021,,Рівненська,12.0
2021,,Сумська,26.2
2021,,Тернопільська,12.8
2021,,Харківська,20.5
2021,,Херсонська,20.6
2021,,Хмельницька,18.2
2021,,Черкаська,25.5
2021,,Чернівецька,15.9
2021,,Чернігівська,22.2
2021,,м. Київ,18.1
2021,,м. Севастополь,
2022,,,12.3
2022,міська,,15.6
2022,сільська,,6.5
2022,,Автономна Республіка Крим,
2022,,Вінницька,18.4
2022,,Волинська,10.7
2022,,Дніпропетровська,17.8
2022,,Донецька,
2022,,Житомирська,16.0
2022,,Закарпатська,13.2
2022,,Запорізька,10.9
2022,,Івано-Франківська,8.0
2022,,Київська,10.7
2022,,Кіровоградська,17.0
2022,,Луганська,
2022,,Львівська,11.7
2022,,Миколаївська,12.1
2022,,Одеська,8.4
2022,,Полтавська,16.7
2022,,Рівненська,8.3
2022,,Сумська,23.5
2022,,Тернопільська,6.5
2022,,Харківська,13.1
2022,,Херсонська,4.8
2022,,Хмельницька,16.7
2022,,Черкаська,19.9
2022,,Чернівецька,13.2
2022,,Чернігівська,10.1
