Year,Показники технологічних витрат в електромережах,Value
2015,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.5
2016,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.74
2017,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.77
2018,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.6
2019,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.63
2020,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.34
2021,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),11.28
2022,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),12.85
2023,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),12.92
2024,частка технологічних витрат електричної енергії в мережах (від обсягу відбору),12.95
2015,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),9.79
2016,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),9.9
2017,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),9.89
2018,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),9.84
2019,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),10.35
2020,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),10.13
2021,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),9.86
2022,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),11.11
2023,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),10.99
2024,частка технологічних витрат електричної енергії в мережах систем розподілу (від обсягу відбору),10.39
