Year,Категорія,Сектори ПЕК,Value
2015,,,
2015,,природний газ,
2015,,електрична енергія,
2015,,нафта й рідке паливо,
2015,,енергетичне вугілля,
2015,,теплова енергія,
2015,Баланси,,
2015,Природні монополії,,
2015,Постачання,,
2015,Надійність і безпека,,
2015,Споживання,,
2015,Звітність,,
2015,Політика,,
2015,Органи влади,,
2016,,,
2016,,природний газ,
2016,,електрична енергія,
2016,,нафта й рідке паливо,
2016,,енергетичне вугілля,
2016,,теплова енергія,
2016,Баланси,,
2016,Природні монополії,,
2016,Постачання,,
2016,Надійність і безпека,,
2016,Споживання,,
2016,Звітність,,
2016,Політика,,
2016,Органи влади,,
2017,,,
2017,,природний газ,
2017,,електрична енергія,
2017,,нафта й рідке паливо,
2017,,енергетичне вугілля,
2017,,теплова енергія,
2017,Баланси,,
2017,Природні монополії,,
2017,Постачання,,
2017,Надійність і безпека,,
2017,Споживання,,
2017,Звітність,,
2017,Політика,,
2017,Органи влади,,
2018,,,43.0
2018,,природний газ,52.0
2018,,електрична енергія,41.0
2018,,нафта й рідке паливо,31.0
2018,,енергетичне вугілля,
2018,,теплова енергія,47.0
2018,Баланси,,50.0
2018,Природні монополії,,43.0
2018,Постачання,,38.0
2018,Надійність і безпека,,47.0
2018,Споживання,,47.0
2018,Звітність,,53.0
2018,Політика,,20.0
2018,Органи влади,,36.0
2019,,,48.0
2019,,природний газ,54.0
2019,,електрична енергія,49.0
2019,,нафта й рідке паливо,27.0
2019,,енергетичне вугілля,48.0
2019,,теплова енергія,48.0
2019,Баланси,,58.0
2019,Природні монополії,,46.0
2019,Постачання,,49.0
2019,Надійність і безпека,,50.0
2019,Споживання,,53.0
2019,Звітність,,27.0
2019,Політика,,56.0
2019,Органи влади,,50.0
2020,,,58.0
2020,,природний газ,64.0
2020,,електрична енергія,66.0
2020,,нафта й рідке паливо,22.0
2020,,енергетичне вугілля,48.0
2020,,теплова енергія,74.0
2020,Баланси,,58.0
2020,Природні монополії,,59.0
2020,Постачання,,58.0
2020,Надійність і безпека,,53.0
2020,Споживання,,68.0
2020,Звітність,,35.0
2020,Політика,,59.0
2020,Органи влади,,56.0
2021,,,63.0
2021,,природний газ,72.0
2021,,електрична енергія,73.0
2021,,нафта й рідке паливо,23.0
2021,,енергетичне вугілля,60.0
2021,,теплова енергія,69.0
2021,Баланси,,58.0
2021,Природні монополії,,70.0
2021,Постачання,,63.0
2021,Надійність і безпека,,54.0
2021,Споживання,,70.0
2021,Звітність,,53.0
2021,Політика,,54.0
2021,Органи влади,,57.0
2022,,,39.0
2022,,природний газ,47.0
2022,,електрична енергія,41.0
2022,,нафта й рідке паливо,14.0
2022,,енергетичне вугілля,26.0
2022,,теплова енергія,43.0
2022,Баланси,,21.0
2022,Природні монополії,,44.0
2022,Постачання,,37.0
2022,Надійність і безпека,,25.0
2022,Споживання,,49.0
2022,Звітність,,33.0
2022,Політика,,44.0
2022,Органи влади,,32.0
2023,,,41.0
2023,,природний газ,48.0
2023,,електрична енергія,37.0
2023,,нафта й рідке паливо,14.0
2023,,енергетичне вугілля,25.0
2023,,теплова енергія,42.0
2023,Баланси,,17.0
2023,Природні монополії,,39.0
2023,Постачання,,43.0
2023,Надійність і безпека,,25.0
2023,Споживання,,49.0
2023,Звітність,,30.0
2023,Політика,,43.0
2023,Органи влади,,50.0
2024,,,44.0
2024,,природний газ,54.0
2024,,електрична енергія,40.0
2024,,нафта й рідке паливо,19.0
2024,,енергетичне вугілля,25.0
2024,,теплова енергія,43.0
2024,Баланси,,16.0
2024,Природні монополії,,42.0
2024,Постачання,,46.0
2024,Надійність і безпека,,37.0
2024,Споживання,,55.0
2024,Звітність,,18.0
2024,Політика,,51.0
2024,Органи влади,,55.0
