Year,Середньомісячне споживання електричної енергії на побутового споживача,Value
2015,без електроопалення,
2016,без електроопалення,161.0
2017,без електроопалення,160.0
2018,без електроопалення,164.0
2019,без електроопалення,165.0
2020,без електроопалення,168.0
2021,без електроопалення,
2022,без електроопалення,
2023,без електроопалення,
2024,без електроопалення,
2015,з електроопаленням,
2016,з електроопаленням,1.129
2017,з електроопаленням,1.039
2018,з електроопаленням,975.0
2019,з електроопаленням,871.0
2020,з електроопаленням,954.0
2021,з електроопаленням,
2022,з електроопаленням,
2023,з електроопаленням,
2024,з електроопаленням,
