Year,Загальна кількість та зі смертельним наслідком,Стать,Види економічної діяльності,Value
2015,,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2015,загальна кількість,,,
2016,загальна кількість,,,
2017,загальна кількість,,,
2018,загальна кількість,,,
2019,загальна кількість,,,
2020,загальна кількість,,,
2021,загальна кількість,,,
2022,загальна кількість,,,
2023,загальна кількість,,,
2024,загальна кількість,,,22.0
2015,зі смертельним наслідком,,,
2016,зі смертельним наслідком,,,
2017,зі смертельним наслідком,,,
2018,зі смертельним наслідком,,,
2019,зі смертельним наслідком,,,
2020,зі смертельним наслідком,,,
2021,зі смертельним наслідком,,,
2022,зі смертельним наслідком,,,
2023,зі смертельним наслідком,,,
2024,зі смертельним наслідком,,,3.0
2015,,жінки,,
2016,,жінки,,
2017,,жінки,,
2018,,жінки,,
2019,,жінки,,
2020,,жінки,,
2021,,жінки,,
2022,,жінки,,
2023,,жінки,,
2024,,жінки,,6.0
2015,,чоловіки,,
2016,,чоловіки,,
2017,,чоловіки,,
2018,,чоловіки,,
2019,,чоловіки,,
2020,,чоловіки,,
2021,,чоловіки,,
2022,,чоловіки,,
2023,,чоловіки,,
2024,,чоловіки,,16.0
2015,,,Вугільна промисловість,
2016,,,Вугільна промисловість,
2017,,,Вугільна промисловість,
2018,,,Вугільна промисловість,
2019,,,Вугільна промисловість,
2020,,,Вугільна промисловість,
2021,,,Вугільна промисловість,
2022,,,Вугільна промисловість,
2023,,,Вугільна промисловість,
2024,,,Вугільна промисловість,636.0
2015,,,Гірничорудна та нерудна промисловість,
2016,,,Гірничорудна та нерудна промисловість,
2017,,,Гірничорудна та нерудна промисловість,
2018,,,Гірничорудна та нерудна промисловість,
2019,,,Гірничорудна та нерудна промисловість,
2020,,,Гірничорудна та нерудна промисловість,
2021,,,Гірничорудна та нерудна промисловість,
2022,,,Гірничорудна та нерудна промисловість,
2023,,,Гірничорудна та нерудна промисловість,
2024,,,Гірничорудна та нерудна промисловість,39.0
2015,,,Нафтогазовидобувна промисловість та геологорозвідка,
2016,,,Нафтогазовидобувна промисловість та геологорозвідка,
2017,,,Нафтогазовидобувна промисловість та геологорозвідка,
2018,,,Нафтогазовидобувна промисловість та геологорозвідка,
