Year,Види економічної діяльності,Value
2015,,
2016,,
2017,,
2018,,0.7
2019,,
2020,,1.1
2021,,
2022,,0.7
2023,,
2024,,2.1
2015,Промисловість (Код за КВЕД-2010 – B+C+D+E),
2016,Промисловість (Код за КВЕД-2010 – B+C+D+E),
2017,Промисловість (Код за КВЕД-2010 – B+C+D+E),
2018,Промисловість (Код за КВЕД-2010 – B+C+D+E),0.9
2019,Промисловість (Код за КВЕД-2010 – B+C+D+E),
2020,Промисловість (Код за КВЕД-2010 – B+C+D+E),1.9
2021,Промисловість (Код за КВЕД-2010 – B+C+D+E),
2022,Промисловість (Код за КВЕД-2010 – B+C+D+E),1.0
2023,Промисловість (Код за КВЕД-2010 – B+C+D+E),
2024,Промисловість (Код за КВЕД-2010 – B+C+D+E),2.8
2015,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2016,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2017,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2018,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),0.1
2019,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2020,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),1.8
2021,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2022,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),2.2
2023,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),
2024,Добувна промисловість і розроблення кар’єрів (Код за КВЕД-2010 – B),2.5
2015,Переробна промисловість (Код за КВЕД-2010 – C),
2016,Переробна промисловість (Код за КВЕД-2010 – C),
2017,Переробна промисловість (Код за КВЕД-2010 – C),
2018,Переробна промисловість (Код за КВЕД-2010 – C),1.4
2019,Переробна промисловість (Код за КВЕД-2010 – C),
2020,Переробна промисловість (Код за КВЕД-2010 – C),2.4
2021,Переробна промисловість (Код за КВЕД-2010 – C),
2022,Переробна промисловість (Код за КВЕД-2010 – C),1.4
2023,Переробна промисловість (Код за КВЕД-2010 – C),
2024,Переробна промисловість (Код за КВЕД-2010 – C),4.5
2015,"Виробництво харчових продуктів, напоїв і тютюнових виробів (Код за КВЕД-2010 – 10+11+12)",
