Year,Region,Category,Value
2015,,by_territorial_automated_centralized_warning_systems,4.0
2015,,by_local_automated_centralized_warning_systems,0.05
2015,autonomous_Republic_of_Crimea,by_territorial_automated_centralized_warning_systems,
2015,autonomous_Republic_of_Crimea,by_local_automated_centralized_warning_systems,
2015,11_reg_Vinnytsya,by_territorial_automated_centralized_warning_systems,
2015,11_reg_Vinnytsya,by_local_automated_centralized_warning_systems,
2015,12_reg_Volyn,by_territorial_automated_centralized_warning_systems,
2015,12_reg_Volyn,by_local_automated_centralized_warning_systems,
2015,13_reg_Dnipropetrovsk,by_territorial_automated_centralized_warning_systems,
2015,13_reg_Dnipropetrovsk,by_local_automated_centralized_warning_systems,1.3
2015,14_reg_Donetsk,by_territorial_automated_centralized_warning_systems,
2015,14_reg_Donetsk,by_local_automated_centralized_warning_systems,
2015,15_reg_Zhytomyr,by_territorial_automated_centralized_warning_systems,
2015,15_reg_Zhytomyr,by_local_automated_centralized_warning_systems,
2015,16_reg_Zakarpattya,by_territorial_automated_centralized_warning_systems,100.0
2015,16_reg_Zakarpattya,by_local_automated_centralized_warning_systems,
2015,17_reg_Zaporizhzhya,by_territorial_automated_centralized_warning_systems,
2015,17_reg_Zaporizhzhya,by_local_automated_centralized_warning_systems,
2015,18_reg_Ivano-Frankivsk,by_territorial_automated_centralized_warning_systems,
2015,18_reg_Ivano-Frankivsk,by_local_automated_centralized_warning_systems,
2015,19_reg_Kyiv,by_territorial_automated_centralized_warning_systems,
2015,19_reg_Kyiv,by_local_automated_centralized_warning_systems,
2015,20_reg_Kirovohrad,by_territorial_automated_centralized_warning_systems,
2015,20_reg_Kirovohrad,by_local_automated_centralized_warning_systems,
2015,21_reg_Luhansk,by_territorial_automated_centralized_warning_systems,
2015,21_reg_Luhansk,by_local_automated_centralized_warning_systems,
2015,22_reg_Lviv,by_territorial_automated_centralized_warning_systems,
2015,22_reg_Lviv,by_local_automated_centralized_warning_systems,
2015,23_reg_Mykolayiv,by_territorial_automated_centralized_warning_systems,
2015,23_reg_Mykolayiv,by_local_automated_centralized_warning_systems,
2015,24_reg_Odesa,by_territorial_automated_centralized_warning_systems,
2015,24_reg_Odesa,by_local_automated_centralized_warning_systems,
2015,25_reg_Poltava,by_territorial_automated_centralized_warning_systems,
2015,25_reg_Poltava,by_local_automated_centralized_warning_systems,
2015,26_reg_Rivne,by_territorial_automated_centralized_warning_systems,
2015,26_reg_Rivne,by_local_automated_centralized_warning_systems,
2015,27_reg_Sumy,by_territorial_automated_centralized_warning_systems,
2015,27_reg_Sumy,by_local_automated_centralized_warning_systems,
2015,28_reg_Ternopil,by_territorial_automated_centralized_warning_systems,
2015,28_reg_Ternopil,by_local_automated_centralized_warning_systems,
2015,29_reg_Kharkiv,by_territorial_automated_centralized_warning_systems,
2015,29_reg_Kharkiv,by_local_automated_centralized_warning_systems,
2015,30_reg_Kherson,by_territorial_automated_centralized_warning_systems,
2015,30_reg_Kherson,by_local_automated_centralized_warning_systems,
2015,31_reg_Khmelnytskiy,by_territorial_automated_centralized_warning_systems,
2015,31_reg_Khmelnytskiy,by_local_automated_centralized_warning_systems,
2015,32_reg_Cherkasy,by_territorial_automated_centralized_warning_systems,
2015,32_reg_Cherkasy,by_local_automated_centralized_warning_systems,
2015,33_reg_Chernivtsi,by_territorial_automated_centralized_warning_systems,
2015,33_reg_Chernivtsi,by_local_automated_centralized_warning_systems,
2015,34_reg_Chernihiv,by_territorial_automated_centralized_warning_systems,
2015,34_reg_Chernihiv,by_local_automated_centralized_warning_systems,
2015,35_reg_Kyiv_city,by_territorial_automated_centralized_warning_systems,
2015,35_reg_Kyiv_city,by_local_automated_centralized_warning_systems,
2015,city_Sevastopol,by_territorial_automated_centralized_warning_systems,
2015,city_Sevastopol,by_local_automated_centralized_warning_systems,
2016,,by_territorial_automated_centralized_warning_systems,4.0
2016,,by_local_automated_centralized_warning_systems,0.05
2016,autonomous_Republic_of_Crimea,by_territorial_automated_centralized_warning_systems,
