Year,Region,By safety,Value
2015,,hazardous_waste,14.0
2015,,non_hazardous_waste,7274.0
2015,Ukraine,,7288.0
2015,autonomous_Republic_of_Crimea,,
2015,11_reg_Vinnytsya,,1214.0
2015,12_reg_Volyn,,613.0
2015,13_reg_Dnipropetrovsk,,69533.0
2015,14_reg_Donetsk,,3942.0
2015,15_reg_Zhytomyr,,414.0
2015,16_reg_Zakarpattya,,106.0
2015,17_reg_Zaporizhzhya,,3105.0
2015,18_reg_Ivano-Frankivsk,,1537.0
2015,19_reg_Kyiv,,959.0
2015,20_reg_Kirovohrad,,34134.0
2015,21_reg_Luhansk,,1152.0
2015,22_reg_Lviv,,1165.0
2015,23_reg_Mykolayiv,,1986.0
2015,24_reg_Odesa,,252.0
2015,25_reg_Poltava,,3069.0
2015,26_reg_Rivne,,726.0
2015,27_reg_Sumy,,751.0
2015,28_reg_Ternopil,,758.0
2015,29_reg_Kharkiv,,628.0
2015,30_reg_Kherson,,392.0
2015,31_reg_Khmelnytskiy,,740.0
2015,32_reg_Cherkasy,,945.0
2015,33_reg_Chernivtsi,,438.0
2015,34_reg_Chernihiv,,826.0
2015,Kyiv_city,,556.0
2015,city_Sevastopol,,
2016,,hazardous_waste,15.0
2016,,non_hazardous_waste,6919.0
2016,Ukraine,,6934.0
2016,autonomous_Republic_of_Crimea,,
2016,11_reg_Vinnytsya,,1208.0
2016,12_reg_Volyn,,657.0
2016,13_reg_Dnipropetrovsk,,63482.0
2016,14_reg_Donetsk,,4749.0
2016,15_reg_Zhytomyr,,443.0
2016,16_reg_Zakarpattya,,124.0
2016,17_reg_Zaporizhzhya,,2886.0
2016,18_reg_Ivano-Frankivsk,,1401.0
2016,19_reg_Kyiv,,901.0
2016,20_reg_Kirovohrad,,35492.0
2016,21_reg_Luhansk,,1116.0
2016,22_reg_Lviv,,1095.0
2016,23_reg_Mykolayiv,,2050.0
2016,24_reg_Odesa,,271.0
2016,25_reg_Poltava,,3783.0
2016,26_reg_Rivne,,614.0
2016,27_reg_Sumy,,607.0
2016,28_reg_Ternopil,,812.0
2016,29_reg_Kharkiv,,721.0
2016,30_reg_Kherson,,367.0
2016,31_reg_Khmelnytskiy,,1008.0
2016,32_reg_Cherkasy,,986.0
2016,33_reg_Chernivtsi,,427.0
2016,34_reg_Chernihiv,,693.0
2016,Kyiv_city,,572.0
2016,city_Sevastopol,,
2017,,hazardous_waste,14.0
2017,,non_hazardous_waste,8602.0
2017,Ukraine,,8616.0
2017,autonomous_Republic_of_Crimea,,
2017,11_reg_Vinnytsya,,1479.0
2017,12_reg_Volyn,,705.0
2017,13_reg_Dnipropetrovsk,,75250.0
2017,14_reg_Donetsk,,5313.0
2017,15_reg_Zhytomyr,,445.0
2017,16_reg_Zakarpattya,,138.0
2017,17_reg_Zaporizhzhya,,2963.0
2017,18_reg_Ivano-Frankivsk,,1414.0
2017,19_reg_Kyiv,,726.0
2017,20_reg_Kirovohrad,,39150.0
2017,21_reg_Luhansk,,295.0
2017,22_reg_Lviv,,981.0
2017,23_reg_Mykolayiv,,2032.0
2017,24_reg_Odesa,,310.0
2017,25_reg_Poltava,,24728.0
2017,26_reg_Rivne,,394.0
2017,27_reg_Sumy,,528.0
2017,28_reg_Ternopil,,1805.0
2017,29_reg_Kharkiv,,669.0
2017,30_reg_Kherson,,380.0
2017,31_reg_Khmelnytskiy,,725.0
2017,32_reg_Cherkasy,,1057.0
2017,33_reg_Chernivtsi,,407.0
2017,34_reg_Chernihiv,,714.0
2017,Kyiv_city,,324.0
2017,city_Sevastopol,,
2018,,hazardous_waste,15.0
2018,,non_hazardous_waste,8602.0
2018,Ukraine,,8335.0
2018,autonomous_Republic_of_Crimea,,
2018,11_reg_Vinnytsya,,1137.0
