Year,Age,Sex,Type of residence,group_21_1,Region,Value
2015,,,,,,
2015,group_label_256,,,,,
2015,group_label_257,,,,,
2015,group_label_258,,,,,
2015,,males_1,,,,
2015,,females_1,,,,
2015,,,group_label_259,,,
2015,,,group_label_260,,,
2015,,,group_label_261,,,
2015,,,,group_label_262,,
2015,,,,group_label_263,,
2015,,,,group_label_264,,
2015,,,,,West,
2015,,,,,Center,
2015,,,,,South,
2015,,,,,East,
2015,,,,,Kyiv_city,
2016,,,,,,11.9
2016,group_label_256,,,,,
2016,group_label_257,,,,,
2016,group_label_258,,,,,
2016,,males_1,,,,13.4
2016,,females_1,,,,10.6
2016,,,group_label_259,,,11.8
2016,,,group_label_260,,,14.0
2016,,,group_label_261,,,8.9
2016,,,,group_label_262,,
2016,,,,group_label_263,,
2016,,,,group_label_264,,
2016,,,,,West,14.4
2016,,,,,Center,10.6
2016,,,,,South,9.0
2016,,,,,East,12.3
2016,,,,,Kyiv_city,18.8
2017,,,,,,
2017,group_label_256,,,,,
2017,group_label_257,,,,,
2017,group_label_258,,,,,
2017,,males_1,,,,
2017,,females_1,,,,
2017,,,group_label_259,,,
2017,,,group_label_260,,,
2017,,,group_label_261,,,
2017,,,,group_label_262,,
2017,,,,group_label_263,,
2017,,,,group_label_264,,
2017,,,,,West,
2017,,,,,Center,
2017,,,,,South,
2017,,,,,East,
2017,,,,,Kyiv_city,
2018,,,,,,18.4
2018,group_label_256,,,,,21.8
2018,group_label_257,,,,,25.5
2018,group_label_258,,,,,25.3
2018,,males_1,,,,25.1
2018,,females_1,,,,24.0
2018,,,group_label_259,,,24.7
2018,,,group_label_260,,,21.8
2018,,,group_label_261,,,24.5
2018,,,,group_label_262,,
2018,,,,group_label_263,,
2018,,,,group_label_264,,
2018,,,,,West,10.6
2018,,,,,Center,37.0
2018,,,,,South,20.7
2018,,,,,East,27.2
2018,,,,,Kyiv_city,34.1
2019,,,,,,
2019,group_label_256,,,,,
2019,group_label_257,,,,,
2019,group_label_258,,,,,
2019,,males_1,,,,
2019,,females_1,,,,
2019,,,group_label_259,,,
2019,,,group_label_260,,,
2019,,,group_label_261,,,
2019,,,,group_label_262,,
2019,,,,group_label_263,,
2019,,,,group_label_264,,
2019,,,,,West,
2019,,,,,Center,
2019,,,,,South,
2019,,,,,East,
2019,,,,,Kyiv_city,
2020,,,,,,25.4
2020,group_label_256,,,,,
2020,group_label_257,,,,,
2020,group_label_258,,,,,
2020,,males_1,,,,
2020,,females_1,,,,
2020,,,group_label_259,,,
2020,,,group_label_260,,,
2020,,,group_label_261,,,
2020,,,,group_label_262,,
2020,,,,group_label_263,,
2020,,,,group_label_264,,
2020,,,,,West,
2020,,,,,Center,
2020,,,,,South,
2020,,,,,East,
2020,,,,,Kyiv_city,
2021,,,,,,
2021,group_label_256,,,,,
2021,group_label_257,,,,,
2021,group_label_258,,,,,
2021,,males_1,,,,
2021,,females_1,,,,
2021,,,group_label_259,,,
2021,,,group_label_260,,,
2021,,,group_label_261,,,
2021,,,,group_label_262,,
2021,,,,group_label_263,,
2021,,,,group_label_264,,
2021,,,,,West,
2021,,,,,Center,
2021,,,,,South,
2021,,,,,East,
2021,,,,,Kyiv_city,
2022,,,,,,
2022,group_label_256,,,,,
2022,group_label_257,,,,,
2022,group_label_258,,,,,
2022,,males_1,,,,
2022,,females_1,,,,
2022,,,group_label_259,,,
2022,,,group_label_260,,,
2022,,,group_label_261,,,
2022,,,,group_label_262,,
2022,,,,group_label_263,,
2022,,,,group_label_264,,
2022,,,,,West,
2022,,,,,Center,
2022,,,,,South,
2022,,,,,East,
2022,,,,,Kyiv_city,
2023,,,,,,23.8
2023,group_label_256,,,,,24.8
2023,group_label_257,,,,,26.5
2023,group_label_258,,,,,18.8
2023,,males_1,,,,25.7
2023,,females_1,,,,22.1
2023,,,group_label_259,,,24.9
2023,,,group_label_260,,,25.0
2023,,,group_label_261,,,19.1
2023,,,,group_label_262,,16.1
2023,,,,group_label_263,,28.0
2023,,,,group_label_264,,30.1
2023,,,,,West,21.9
2023,,,,,Center,22.2
2023,,,,,South,22.1
2023,,,,,East,32.1
2023,,,,,Kyiv_city,30.9
2024,,,,,,
2024,group_label_256,,,,,
2024,group_label_257,,,,,
2024,group_label_258,,,,,
2024,,males_1,,,,
2024,,females_1,,,,
2024,,,group_label_259,,,
2024,,,group_label_260,,,
2024,,,group_label_261,,,
2024,,,,group_label_262,,
2024,,,,group_label_263,,
2024,,,,group_label_264,,
2024,,,,,West,
2024,,,,,Center,
2024,,,,,South,
2024,,,,,East,
2024,,,,,Kyiv_city,
