Year,group_26,Value
2015,,
2016,,37.0
2017,,
2018,,
2019,,24.0
2020,,
2021,,
2022,,26.0
2023,,
2024,,
2015,group_label_265,
2016,group_label_265,
2017,group_label_265,
2018,group_label_265,
2019,group_label_265,2.0
2020,group_label_265,
2021,group_label_265,
2022,group_label_265,2.0
2023,group_label_265,
2024,group_label_265,
2015,group_label_324,
2016,group_label_324,
2017,group_label_324,
2018,group_label_324,
2019,group_label_324,16.0
2020,group_label_324,
2021,group_label_324,
2022,group_label_324,16.0
2023,group_label_324,
2024,group_label_324,
2015,group_label_266,
2016,group_label_266,9.0
2017,group_label_266,
2018,group_label_266,
2019,group_label_266,6.0
2020,group_label_266,
2021,group_label_266,
2022,group_label_266,8.0
2023,group_label_266,
2024,group_label_266,
