Year,Level,Settlement,Sex,Value
2015,1_level,village_,,56.0
2016,1_level,village_,,62.0
2017,1_level,village_,,65.0
2018,1_level,village_,,62.0
2019,1_level,village_,,59.0
2020,1_level,village_,,50.0
2021,1_level,village_,,43.0
2022,1_level,village_,,
2023,1_level,village_,,
2024,1_level,village_,,
2015,1_level,urban_settl,,11.0
2016,1_level,urban_settl,,11.0
2017,1_level,urban_settl,,10.0
2018,1_level,urban_settl,,11.0
2019,1_level,urban_settl,,11.0
2020,1_level,urban_settl,,12.0
2021,1_level,urban_settl,,13.0
2022,1_level,urban_settl,,
2023,1_level,urban_settl,,
2024,1_level,urban_settl,,
2015,1_level,city,,33.0
2016,1_level,city,,28.0
2017,1_level,city,,25.0
2018,1_level,city,,28.0
2019,1_level,city,,30.0
2020,1_level,city,,37.0
2021,1_level,city,,45.0
2022,1_level,city,,
2023,1_level,city,,
2024,1_level,city,,
2015,1_level,,females_a,32.0
2016,1_level,,females_a,30.0
2017,1_level,,females_a,27.0
2018,1_level,,females_a,29.0
2019,1_level,,females_a,29.0
2020,1_level,,females_a,31.0
2021,1_level,,females_a,35.0
2022,1_level,,females_a,
2023,1_level,,females_a,
2024,1_level,,females_a,
2015,1_level,,males_a,68.0
2016,1_level,,males_a,70.0
2017,1_level,,males_a,73.0
2018,1_level,,males_a,71.0
2019,1_level,,males_a,71.0
2020,1_level,,males_a,69.0
2021,1_level,,males_a,65.0
2022,1_level,,males_a,
2023,1_level,,males_a,
2024,1_level,,males_a,
2015,2_level,village_,,35.0
2016,2_level,village_,,41.0
2017,2_level,village_,,41.0
2018,2_level,village_,,38.0
2019,2_level,village_,,35.0
2020,2_level,village_,,34.0
2021,2_level,village_,,29.0
2022,2_level,village_,,
2023,2_level,village_,,
2024,2_level,village_,,
2015,2_level,urban_settl,,10.0
2016,2_level,urban_settl,,11.0
2017,2_level,urban_settl,,10.0
2018,2_level,urban_settl,,11.0
2019,2_level,urban_settl,,10.0
2020,2_level,urban_settl,,11.0
2021,2_level,urban_settl,,11.0
2022,2_level,urban_settl,,
2023,2_level,urban_settl,,
2024,2_level,urban_settl,,
2015,2_level,city,,54.0
2016,2_level,city,,48.0
2017,2_level,city,,48.0
2018,2_level,city,,51.0
2019,2_level,city,,54.0
2020,2_level,city,,55.0
2021,2_level,city,,60.0
2022,2_level,city,,
2023,2_level,city,,
2024,2_level,city,,
2015,2_level,,females_a,48.0
2016,2_level,,females_a,46.0
2017,2_level,,females_a,43.0
2018,2_level,,females_a,44.0
2019,2_level,,females_a,45.0
2020,2_level,,females_a,44.0
2021,2_level,,females_a,46.0
2022,2_level,,females_a,
2023,2_level,,females_a,
2024,2_level,,females_a,
2015,2_level,,males_a,52.0
2016,2_level,,males_a,54.0
2017,2_level,,males_a,57.0
2018,2_level,,males_a,56.0
2019,2_level,,males_a,55.0
2020,2_level,,males_a,56.0
2021,2_level,,males_a,54.0
2022,2_level,,males_a,
2023,2_level,,males_a,
2024,2_level,,males_a,
2015,3_level,village_,,19.0
2016,3_level,village_,,24.0
2017,3_level,village_,,22.0
2018,3_level,village_,,20.0
2019,3_level,village_,,19.0
2020,3_level,village_,,20.0
2021,3_level,village_,,18.0
2022,3_level,village_,,
2023,3_level,village_,,
2024,3_level,village_,,
2015,3_level,urban_settl,,9.0
2016,3_level,urban_settl,,10.0
2017,3_level,urban_settl,,9.0
2018,3_level,urban_settl,,9.0
2019,3_level,urban_settl,,9.0
2020,3_level,urban_settl,,9.0
2021,3_level,urban_settl,,9.0
2022,3_level,urban_settl,,
2023,3_level,urban_settl,,
2024,3_level,urban_settl,,
2015,3_level,city,,71.0
2016,3_level,city,,67.0
2017,3_level,city,,69.0
2018,3_level,city,,71.0
2019,3_level,city,,72.0
2020,3_level,city,,71.0
2021,3_level,city,,73.0
2022,3_level,city,,
2023,3_level,city,,
2024,3_level,city,,
2015,3_level,,females_a,60.0
2016,3_level,,females_a,56.0
2017,3_level,,females_a,56.0
2018,3_level,,females_a,56.0
2019,3_level,,females_a,58.0
2020,3_level,,females_a,55.0
2021,3_level,,females_a,57.0
2022,3_level,,females_a,
2023,3_level,,females_a,
2024,3_level,,females_a,
2015,3_level,,males_a,40.0
2016,3_level,,males_a,44.0
2017,3_level,,males_a,44.0
2018,3_level,,males_a,44.0
2019,3_level,,males_a,42.0
2020,3_level,,males_a,45.0
2021,3_level,,males_a,43.0
2022,3_level,,males_a,
2023,3_level,,males_a,
2024,3_level,,males_a,
2015,4_level,village_,,10.0
2016,4_level,village_,,13.0
2017,4_level,village_,,12.0
2018,4_level,village_,,11.0
2019,4_level,village_,,10.0
2020,4_level,village_,,12.0
2021,4_level,village_,,10.0
2022,4_level,village_,,
2023,4_level,village_,,
2024,4_level,village_,,
2015,4_level,urban_settl,,8.0
2016,4_level,urban_settl,,7.0
2017,4_level,urban_settl,,8.0
2018,4_level,urban_settl,,8.0
2019,4_level,urban_settl,,8.0
2020,4_level,urban_settl,,7.0
2021,4_level,urban_settl,,7.0
2022,4_level,urban_settl,,
2023,4_level,urban_settl,,
2024,4_level,urban_settl,,
2015,4_level,city,,82.0
2016,4_level,city,,80.0
2017,4_level,city,,81.0
2018,4_level,city,,81.0
2019,4_level,city,,82.0
2020,4_level,city,,81.0
2021,4_level,city,,82.0
2022,4_level,city,,
2023,4_level,city,,
2024,4_level,city,,
2015,4_level,,females_a,72.0
2016,4_level,,females_a,71.0
2017,4_level,,females_a,71.0
2018,4_level,,females_a,71.0
2019,4_level,,females_a,71.0
2020,4_level,,females_a,69.0
2021,4_level,,females_a,69.0
2022,4_level,,females_a,
2023,4_level,,females_a,
2024,4_level,,females_a,
2015,4_level,,males_a,28.0
2016,4_level,,males_a,29.0
2017,4_level,,males_a,29.0
2018,4_level,,males_a,29.0
2019,4_level,,males_a,29.0
2020,4_level,,males_a,31.0
2021,4_level,,males_a,31.0
2022,4_level,,males_a,
2023,4_level,,males_a,
2024,4_level,,males_a,
