Year,Sex,Type of residence,Value
2015,,,8.0
2016,,,8.0
2017,,,8.0
2018,,,8.0
2019,,,8.0
2020,,,7.0
2021,,,7.0
2022,,,6.0
2023,,,7.0
2024,,,7.0
2015,girls,,
2016,girls,,
2017,girls,,
2018,girls,,
2019,girls,,10.0
2020,girls,,10.0
2021,girls,,10.0
2022,girls,,10.0
2023,girls,,10.0
2024,girls,,10.0
2015,boys,,
2016,boys,,
2017,boys,,
2018,boys,,
2019,boys,,5.0
2020,boys,,5.0
2021,boys,,5.0
2022,boys,,4.0
2023,boys,,4.0
2024,boys,,5.0
2015,,urban,11.0
2016,,urban,10.0
2017,,urban,10.0
2018,,urban,10.0
2019,,urban,10.0
2020,,urban,9.0
2021,,urban,9.0
2022,,urban,9.0
2023,,urban,8.0
2024,,urban,9.0
2015,,rural,3.0
2016,,rural,3.0
2017,,rural,3.0
2018,,rural,3.0
2019,,rural,3.0
2020,,rural,4.0
2021,,rural,4.0
2022,,rural,4.0
2023,,rural,4.0
2024,,rural,4.0
