Year,Region,Value
2015,Ukraine,
2015,autonomous_Republic_of_Crimea,
2015,11_reg_Vinnytsya,
2015,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,
2015,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,
2015,19_reg_Kyiv,
2015,20_reg_Kirovohrad,
2015,21_reg_Luhansk,
2015,22_reg_Lviv,
2015,23_reg_Mykolayiv,
2015,24_reg_Odesa,
2015,25_reg_Poltava,
2015,26_reg_Rivne,
2015,27_reg_Sumy,
2015,28_reg_Ternopil,
2015,29_reg_Kharkiv,
2015,30_reg_Kherson,
2015,31_reg_Khmelnytskiy,
2015,32_reg_Cherkasy,
2015,33_reg_Chernivtsi,
2015,34_reg_Chernihiv,
2015,35_reg_Kyiv_city,
2015,city_Sevastopol,
2016,Ukraine,
2016,autonomous_Republic_of_Crimea,
2016,11_reg_Vinnytsya,
2016,12_reg_Volyn,
2016,13_reg_Dnipropetrovsk,
2016,14_reg_Donetsk,
2016,15_reg_Zhytomyr,
2016,16_reg_Zakarpattya,
2016,17_reg_Zaporizhzhya,
2016,18_reg_Ivano-Frankivsk,
2016,19_reg_Kyiv,
2016,20_reg_Kirovohrad,
2016,21_reg_Luhansk,
2016,22_reg_Lviv,
2016,23_reg_Mykolayiv,
2016,24_reg_Odesa,
2016,25_reg_Poltava,
2016,26_reg_Rivne,
2016,27_reg_Sumy,
2016,28_reg_Ternopil,
2016,29_reg_Kharkiv,
2016,30_reg_Kherson,
2016,31_reg_Khmelnytskiy,
2016,32_reg_Cherkasy,
2016,33_reg_Chernivtsi,
2016,34_reg_Chernihiv,
2016,35_reg_Kyiv_city,
2016,city_Sevastopol,
2017,Ukraine,
2017,autonomous_Republic_of_Crimea,
2017,11_reg_Vinnytsya,
2017,12_reg_Volyn,
2017,13_reg_Dnipropetrovsk,
2017,14_reg_Donetsk,
2017,15_reg_Zhytomyr,
