Year,Type of economic activity,Organisation and legal forms,Region,Number of employees,Value
2015,B01,,,,
2015,B02,,,,
2015,B03,,,,
2015,B04,,,,
2015,B05,,,,
2015,B06,,,,
2015,B07,,,,
2015,B08,,,,
2015,B09,,,,
2015,B10,,,,
2015,B11,,,,
2015,B12,,,,
2015,B13,,,,
2015,B14,,,,
2015,B15,,,,
2015,B16,,,,
2015,B17,,,,
2015,B18,,,,
2015,B19,,,,
2015,B20,,,,
2015,B21,,,,
2015,B22,,,,
2015,B23,,,,
2015,B24,,,,
2015,B25,,,,
2015,B26,,,,
2015,B27,,,,
2015,B28,,,,
2015,B29,,,,
2015,B30,,,,
2015,B31,,,,
2015,B32,,,,
2015,B33,,,,
2015,B34,,,,
2015,B35,,,,
2015,B36,,,,
2015,B37,,,,
2015,B38,,,,
2015,B39,,,,
2015,B40,,,,
2015,B41,,,,
2015,B42,,,,
2015,B43,,,,
2015,B44,,,,
2015,B45,,,,
2015,B46,,,,
2015,B47,,,,
2015,B48,,,,
2015,B49,,,,
2015,B50,,,,
2015,B51,,,,
2015,B52,,,,
2015,B53,,,,
2015,B54,,,,
2015,B55,,,,
2015,B56,,,,
2015,B57,,,,
2015,B58,,,,
2015,B59,,,,
2015,B60,,,,
2015,B61,,,,
2015,B62,,,,
2015,B63,,,,
2015,B64,,,,
2015,B65,,,,
2015,B66,,,,
2015,B67,,,,
2015,B68,,,,
2015,B69,,,,
2015,B70,,,,
2015,B71,,,,
2015,B72,,,,
2015,B73,,,,
2015,B74,,,,
2015,B75,,,,
2015,B76,,,,
2015,B77,,,,
2015,B78,,,,
2015,B79,,,,
2015,B80,,,,
2015,B81,,,,
2015,B82,,,,
2015,B83,,,,
2015,B84,,,,
2015,B85,,,,
2015,B86,,,,
2015,B87,,,,
2015,B88,,,,
2015,B89,,,,
2015,B90,,,,
2015,B91,,,,
2015,B92,,,,
2015,B93,,,,
2015,B94,,,,
2015,B95,,,,
2015,B96,,,,
2015,B97,,,,
2015,B98,,,,
2015,B99,,,,
2015,B100,,,,
2015,B101,,,,
2015,B102,,,,
2015,B103,,,,
2015,B104,,,,
2015,B105,,,,
2015,B106,,,,
2015,B107,,,,
2015,B108,,,,
2015,B109,,,,
2015,B110,,,,
2015,B111,,,,
2015,B112,,,,
2015,B113,,,,
2015,B114,,,,
2015,B115,,,,
2015,B116,,,,
2015,B117,,,,
2015,B118,,,,
2015,B119,,,,
2015,B120,,,,
2015,B121,,,,
2015,B122,,,,
2015,B123,,,,
2015,B124,,,,
2015,B125,,,,
2015,B126,,,,
2015,B127,,,,
2015,B128,,,,
2015,B129,,,,
2015,B130,,,,
2015,B131,,,,
2015,B132,,,,
2015,B133,,,,
2015,B134,,,,
2015,B135,,,,
2015,B136,,,,
2015,B137,,,,
2015,B138,,,,
2015,B139,,,,
2015,B140,,,,
2015,B141,,,,
2015,B142,,,,
2015,B143,,,,
2015,B144,,,,
2015,B145,,,,
2015,B146,,,,
2015,B147,,,,
2015,B148,,,,
2015,B149,,,,
2015,B150,,,,
2015,B151,,,,
2015,B152,,,,
2015,B153,,,,
2015,B154,,,,
2015,B155,,,,
2015,B156,,,,
2015,B157,,,,
2015,B158,,,,
2015,B159,,,,
2015,B160,,,,
2015,B161,,,,
2015,B162,,,,
2015,B163,,,,
2015,B164,,,,
2015,B165,,,,
2015,B166,,,,
2015,B167,,,,
2015,B168,,,,
2015,B169,,,,
2015,B170,,,,
2015,B171,,,,
2015,B172,,,,
2015,B173,,,,
2015,B174,,,,
2015,B175,,,,
2015,B176,,,,
2015,B177,,,,
2015,B178,,,,
2015,B179,,,,
2015,B180,,,,
2015,B181,,,,
2015,B182,,,,
2015,B183,,,,
2015,B184,,,,
2015,B185,,,,
2015,B186,,,,
2015,B187,,,,
2015,B188,,,,
2015,B189,,,,
2015,B190,,,,
2015,B191,,,,
2015,B192,,,,
2015,B193,,,,
2015,B194,,,,
2015,B195,,,,
2015,B196,,,,
2015,B197,,,,
2015,B198,,,,
2015,B199,,,,
2015,B200,,,,
2015,B201,,,,
2015,B202,,,,
2015,B203,,,,
2015,B204,,,,
2015,B205,,,,
2015,B206,,,,
2015,B207,,,,
2015,B208,,,,
2015,B209,,,,
2015,B210,,,,
2015,B211,,,,
2015,B212,,,,
2015,B213,,,,
2015,B214,,,,
2015,B215,,,,
2015,B216,,,,
2015,B217,,,,
2015,B218,,,,
2015,B219,,,,
2015,B220,,,,
2015,B221,,,,
2015,B222,,,,
2015,B223,,,,
2015,B224,,,,
2015,B225,,,,
2015,B226,,,,
2015,B227,,,,
2015,B228,,,,
2015,B229,,,,
2015,B230,,,,
2015,B231,,,,
2015,B232,,,,
2015,B233,,,,
2015,B234,,,,
2015,B235,,,,
2015,B236,,,,
2015,B237,,,,
2015,B238,,,,
2015,B239,,,,
2015,B240,,,,
2015,B241,,,,
2015,B242,,,,
2015,B243,,,,
2015,B244,,,,
2015,B245,,,,
2015,B246,,,,
2015,B247,,,,
2015,B248,,,,
2015,B249,,,,
2015,B250,,,,
2015,B251,,,,
2015,B252,,,,
2015,B253,,,,
2015,B254,,,,
2015,B255,,,,
2015,B256,,,,
2015,B257,,,,
2015,B258,,,,
2015,B259,,,,
2015,B260,,,,
2015,B261,,,,
2015,B262,,,,
2015,B263,,,,
2015,B264,,,,
2015,B265,,,,
2015,B266,,,,
2015,B267,,,,
2015,B268,,,,
2015,B269,,,,
2015,B270,,,,
2015,B271,,,,
2015,B272,,,,
2015,B273,,,,
2015,B274,,,,
2015,B275,,,,
2015,B276,,,,
2015,B277,,,,
2015,B278,,,,
2015,B279,,,,
2015,B280,,,,
2015,B281,,,,
2015,B282,,,,
2015,B283,,,,
2015,B284,,,,
2015,B285,,,,
2015,B286,,,,
2015,B287,,,,
2015,B288,,,,
2015,B289,,,,
2015,B290,,,,
2015,B291,,,,
2015,B292,,,,
2015,B293,,,,
2015,B294,,,,
2015,B295,,,,
2015,B296,,,,
2015,B297,,,,
2015,B298,,,,
2015,B299,,,,
2015,B300,,,,
2015,B301,,,,
2015,B302,,,,
2015,B303,,,,
2015,B304,,,,
2015,B305,,,,
2015,B306,,,,
2015,B307,,,,
2015,B308,,,,
2015,B309,,,,
2015,B310,,,,
2015,B311,,,,
2015,B312,,,,
2015,B313,,,,
2015,B314,,,,
2015,B315,,,,
2015,B316,,,,
2015,B317,,,,
2015,B318,,,,
2015,B319,,,,
2015,B320,,,,
2015,B321,,,,
2015,B322,,,,
2015,B323,,,,
2015,B324,,,,
2015,B325,,,,
2015,B326,,,,
2015,B327,,,,
2015,B328,,,,
2015,B329,,,,
2015,B330,,,,
2015,B331,,,,
2015,B332,,,,
2015,B333,,,,
2015,B334,,,,
2015,B335,,,,
2015,B336,,,,
2015,B337,,,,
2015,B338,,,,
2015,B339,,,,
2015,B340,,,,
2015,B341,,,,
2015,B342,,,,
2015,B343,,,,
2015,B344,,,,
2015,B345,,,,
2015,B346,,,,
2015,B347,,,,
2015,B348,,,,
2015,B349,,,,
2015,B350,,,,
2015,B351,,,,
2015,B352,,,,
2015,B353,,,,
2015,B354,,,,
2015,B355,,,,
2015,B356,,,,
2015,B357,,,,
2015,B358,,,,
2015,B359,,,,
2015,B360,,,,
2015,B361,,,,
2015,B362,,,,
2015,B363,,,,
2015,B364,,,,
2015,B365,,,,
2015,B366,,,,
2015,B367,,,,
2015,B368,,,,
2015,B369,,,,
2015,B370,,,,
2015,B371,,,,
2015,B372,,,,
2015,B373,,,,
2015,B374,,,,
2015,B375,,,,
2015,B376,,,,
2015,B377,,,,
2015,B378,,,,
2015,B379,,,,
2015,B380,,,,
2015,B381,,,,
2015,B382,,,,
2015,B383,,,,
2015,B384,,,,
2015,B385,,,,
2015,B386,,,,
2015,B387,,,,
2015,B388,,,,
2015,B389,,,,
2015,B390,,,,
2015,B391,,,,
2015,B392,,,,
2015,B393,,,,
2015,B394,,,,
2015,B395,,,,
2015,B396,,,,
2015,B397,,,,
2015,B398,,,,
2015,B399,,,,
2015,B400,,,,
2015,B401,,,,
2015,B402,,,,
2015,B403,,,,
2015,B404,,,,
2015,B405,,,,
2015,B406,,,,
2015,B407,,,,
2015,B408,,,,
2015,B409,,,,
2015,B410,,,,
2015,B411,,,,
2015,B412,,,,
2015,B413,,,,
2015,B414,,,,
2015,B415,,,,
2015,B416,,,,
2015,B417,,,,
2015,B418,,,,
2015,B419,,,,
2015,B420,,,,
2015,B421,,,,
2015,B422,,,,
2015,B423,,,,
2015,B424,,,,
2015,B425,,,,
2015,B426,,,,
2015,B427,,,,
2015,B428,,,,
2015,B429,,,,
2015,B430,,,,
2015,B431,,,,
2015,B432,,,,
2015,B433,,,,
2015,B434,,,,
2015,B435,,,,
2015,B436,,,,
2015,B437,,,,
2015,B438,,,,
2015,B439,,,,
2015,B440,,,,
2015,B441,,,,
2015,B442,,,,
2015,B443,,,,
2015,B444,,,,
2015,B445,,,,
2015,B446,,,,
2015,B447,,,,
2015,B448,,,,
2015,B449,,,,
2015,B450,,,,
2015,B451,,,,
2015,B452,,,,
2015,B453,,,,
2015,B454,,,,
2015,B455,,,,
2015,B456,,,,
2015,B457,,,,
2015,B458,,,,
2015,B459,,,,
2015,B460,,,,
2015,B461,,,,
2015,B462,,,,
2015,B463,,,,
2015,B464,,,,
2015,B465,,,,
2015,B466,,,,
2015,B467,,,,
2015,B468,,,,
2015,B469,,,,
2015,B470,,,,
2015,B471,,,,
2015,B472,,,,
2015,B473,,,,
2015,B474,,,,
2015,B475,,,,
2015,B476,,,,
2015,B477,,,,
2015,B478,,,,
2015,B479,,,,
2015,B480,,,,
2015,B481,,,,
2015,B482,,,,
2015,B483,,,,
2015,B484,,,,
2015,B485,,,,
2015,B486,,,,
2015,B487,,,,
2015,B488,,,,
2015,B489,,,,
2015,B490,,,,
2015,B491,,,,
2015,B492,,,,
2015,B493,,,,
2015,B494,,,,
2015,B495,,,,
2015,B496,,,,
2015,B497,,,,
2015,B498,,,,
2015,B499,,,,
2015,B500,,,,
2015,B501,,,,
2015,B502,,,,
2015,B503,,,,
2015,B504,,,,
2015,B505,,,,
2015,B506,,,,
2015,B507,,,,
2015,B508,,,,
2015,B509,,,,
2015,B510,,,,
2015,B511,,,,
2015,B512,,,,
2015,B513,,,,
2015,B514,,,,
2015,B515,,,,
2015,B516,,,,
2015,B517,,,,
2015,B518,,,,
2015,B519,,,,
2015,B520,,,,
2015,B521,,,,
2015,B522,,,,
2015,B523,,,,
2015,B524,,,,
2015,B525,,,,
2015,B526,,,,
2015,B527,,,,
2015,B528,,,,
2015,B529,,,,
2015,B530,,,,
2015,B531,,,,
2015,B532,,,,
2015,B533,,,,
2015,B534,,,,
2015,B535,,,,
2015,B536,,,,
2015,B537,,,,
2015,B538,,,,
2015,B539,,,,
2015,B540,,,,
2015,B541,,,,
2015,B542,,,,
2015,B543,,,,
2015,B544,,,,
2015,B545,,,,
2015,B546,,,,
2015,B547,,,,
2015,B548,,,,
2015,B549,,,,
2015,B550,,,,
2015,B551,,,,
