Year,Type of residence,Type of water supply,Value
2015,urban_a,,1.6
2016,urban_a,,1.1
2017,urban_a,,4.3
2018,urban_a,,4.0
2019,urban_a,,4.1
2020,urban_a,,0.8
2021,urban_a,,2.0
2022,urban_a,,0.5
2023,urban_a,,0.6
2015,rural_a,,0.0
2016,rural_a,,0.5
2017,rural_a,,6.6
2018,rural_a,,9.8
2019,rural_a,,12.5
2020,rural_a,,6.5
2021,rural_a,,2.8
2022,rural_a,,12.2
2023,rural_a,,2.9
2015,,centralized_a,1.1
2016,,centralized_a,1.1
2017,,centralized_a,3.9
2018,,centralized_a,4.0
2019,,centralized_a,4.6
2020,,centralized_a,4.7
2021,,centralized_a,1.9
2022,,centralized_a,1.2
2023,,centralized_a,0.8
2015,,decentralized,1.7
2016,,decentralized,0.4
2017,,decentralized,3.0
2018,,decentralized,2.5
2019,,decentralized,4.0
2020,,decentralized,8.8
2021,,decentralized,7.1
2022,,decentralized,4.9
2023,,decentralized,6.3
