Year,Type of economic activity,By river basins,Region,Value
2015,,,,875.1
2015,group_label_317,,,
2015,mining_and_quarrying,,,
2015,manufacturing,,,
2015,57_energy,,,
2015,58_water_supply,,,
2015,7_constr,,,
2015,group_label_301,,,
2015,transportation_and_storage_post_and_courier_services,,,
2015,group_label_302,,,
2015,group_label_303,,,
2015,group_label_304,,,
2015,group_label_305,,,
2015,group_label_306,,,
2015,group_label_307,,,
2015,group_label_270,,,
2015,group_label_308,,,
2015,group_label_271,,,
2015,group_label_309,,,
2015,group_label_318,,,
2015,household_activities,,,
2015,,dnipro_river_basin_area,,425.8
2015,,dniester_river_basin_area,,11.17
2015,,danube_river_basin_area,,19.35
2015,,southern_bug_river_basin_area,,25.83
2015,,don_river_basin_area,,91.23
2015,,vistula_river_basin_area,,39.51
2015,,crimea_river_basin_area,,
2015,,black_sea_river_basin_area,,25.88
2015,,azov_river_basin_area,,236.4
2015,,,autonomous_Republic_of_Crimea,
2015,,,11_reg_Vinnytsya,0.617
2015,,,12_reg_Volyn,0.327
2015,,,13_reg_Dnipropetrovsk,266.6
2015,,,14_reg_Donetsk,263.7
2015,,,15_reg_Zhytomyr,2.565
2015,,,16_reg_Zakarpattya,2.434
2015,,,17_reg_Zaporizhzhya,70.04
2015,,,18_reg_Ivano-Frankivsk,0.649
2015,,,19_reg_Kyiv,3.727
2015,,,20_reg_Kirovohrad,4.166
2015,,,21_reg_Luhansk,72.21
2015,,,22_reg_Lviv,45.08
2015,,,23_reg_Mykolayiv,20.98
2015,,,24_reg_Odesa,43.69
2015,,,25_reg_Poltava,2.931
2015,,,26_reg_Rivne,5.67
2015,,,27_reg_Sumy,21.98
2015,,,28_reg_Ternopil,2.327
2015,,,29_reg_Kharkiv,10.41
2015,,,30_reg_Kherson,0.153
2015,,,31_reg_Khmelnytskiy,0.648
2015,,,32_reg_Cherkasy,5.958
2015,,,33_reg_Chernivtsi,2.268
2015,,,34_reg_Chernihiv,4.968
2015,,,Kyiv_city,20.96
2015,,,city_Sevastopol,
2016,,,,698.3
2016,group_label_317,,,
2016,mining_and_quarrying,,,
2016,manufacturing,,,
2016,57_energy,,,
2016,58_water_supply,,,
2016,7_constr,,,
2016,group_label_301,,,
2016,transportation_and_storage_post_and_courier_services,,,
2016,group_label_302,,,
2016,group_label_303,,,
2016,group_label_304,,,
2016,group_label_305,,,
2016,group_label_306,,,
