Year,m_trans,Value
2015,,5166.8
2016,,4853.8
2017,,4648.2
2018,,4487.1
2019,,4262.3
2020,,2570.2
2021,,2655.4
2022,,1600.6
2023,,
2015,tr_1_rail_a,389.8
2016,tr_1_rail_a,389.1
2017,tr_1_rail_a,164.9
2018,tr_1_rail_a,158.0
2019,tr_1_rail_a,154.8
2020,tr_1_rail_a,68.3
2021,tr_1_rail_a,81.3
2022,tr_1_rail_a,
2023,tr_1_rail_a,
2015,tr_2_motor_a,2250.3
2016,tr_2_motor_a,2024.9
2017,tr_2_motor_a,2019.3
2018,tr_2_motor_a,1906.8
2019,tr_2_motor_a,1804.9
2020,tr_2_motor_a,1083.9
2021,tr_2_motor_a,1089.3
2022,tr_2_motor_a,
2023,tr_2_motor_a,
2015,tr_3_sea_a,0.0
2016,tr_3_sea_a,0.0
2017,tr_3_sea_a,0.0
2018,tr_3_sea_a,0.1
2019,tr_3_sea_a,0.1
2020,tr_3_sea_a,0.1
2021,tr_3_sea_a,0.1
2022,tr_3_sea_a,
2023,tr_3_sea_a,
2015,tr_4_river_a,0.6
2016,tr_4_river_a,0.4
2017,tr_4_river_a,0.6
2018,tr_4_river_a,0.6
2019,tr_4_river_a,0.6
2020,tr_4_river_a,0.2
2021,tr_4_river_a,0.4
2022,tr_4_river_a,
2023,tr_4_river_a,
2015,tr_6_air_a,6.3
2016,tr_6_air_a,8.3
2017,tr_6_air_a,10.6
2018,tr_6_air_a,12.5
2019,tr_6_air_a,13.7
2020,tr_6_air_a,4.8
2021,tr_6_air_a,9.3
2022,tr_6_air_a,
2023,tr_6_air_a,
2015,3_tr_urban,2519.8
2016,3_tr_urban,2431.1
2017,3_tr_urban,2452.8
2018,3_tr_urban,2409.1
2019,3_tr_urban,2288.2
2020,3_tr_urban,1412.9
2021,3_tr_urban,1475.0
2022,3_tr_urban,
2023,3_tr_urban,
2015,tr_7_tram_a,738.6
2016,tr_7_tram_a,694.0
2017,tr_7_tram_a,675.8
2018,tr_7_tram_a,666.3
2019,tr_7_tram_a,627.5
2020,tr_7_tram_a,422.8
2021,tr_7_tram_a,398.0
2022,tr_7_tram_a,
2023,tr_7_tram_a,
2015,tr_8_trolley_a,1080.8
2016,tr_8_trolley_a,1038.7
2017,tr_8_trolley_a,1058.1
2018,tr_8_trolley_a,1016.2
2019,tr_8_trolley_a,945.7
2020,tr_8_trolley_a,579.0
2021,tr_8_trolley_a,594.4
2022,tr_8_trolley_a,
2023,tr_8_trolley_a,
2015,tr_9_subway_a,700.4
2016,tr_9_subway_a,698.4
2017,tr_9_subway_a,718.9
2018,tr_9_subway_a,726.6
2019,tr_9_subway_a,715.0
2020,tr_9_subway_a,411.1
2021,tr_9_subway_a,482.6
2022,tr_9_subway_a,
2023,tr_9_subway_a,
