Year,Type of residence,Sex of the head of household,Value
2015,,,1.5
2016,,,1.4
2017,,,1.6
2018,,,1.5
2019,,,1.2
2020,,,1.4
2021,,,1.2
2022,,,
2023,,,
2015,urban_a,,1.4
2016,urban_a,,1.4
2017,urban_a,,1.6
2018,urban_a,,1.5
2019,urban_a,,1.2
2020,urban_a,,1.3
2021,urban_a,,1.2
2022,urban_a,,
2023,urban_a,,
2015,rural_a,,1.5
2016,rural_a,,1.5
2017,rural_a,,1.6
2018,rural_a,,1.6
2019,rural_a,,1.3
2020,rural_a,,1.5
2021,rural_a,,1.2
2022,rural_a,,
2023,rural_a,,
2015,,mal,
2016,,mal,
2017,,mal,
2018,,mal,
2019,,mal,
2020,,mal,
2021,,mal,
2022,,mal,
2023,,mal,
2015,,femal,
2016,,femal,
2017,,femal,
2018,,femal,
2019,,femal,
2020,,femal,
2021,,femal,
2022,,femal,
2023,,femal,
